'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,-2.600,-2.100,2.800,-5.200
0.001,-2.700,-1.900,2.900,-5.400
0.002,-3.000,-1.800,3.000,-5.500
0.003,-3.200,-1.500,3.100,-5.600
0.004,-3.400,-0.900,3.200,-5.900
0.005,-3.700,-0.600,3.300,-6.200
0.006,-4.000,-1.000,3.300,-6.400
0.007,-4.300,-2.200,3.300,-6.300
0.008,-4.700,-3.500,3.300,-5.800
0.009,-5.100,-4.000,3.200,-5.400
0.010,-5.400,-3.400,3.200,-5.000
0.011,-5.700,-2.400,3.200,-4.900
0.012,-6.100,-2.500,3.200,-4.900
0.013,-6.600,-4.500,3.100,-5.000
0.014,-7.100,-7.900,3.100,-5.100
0.015,-7.600,-11.300,3.200,-5.400
0.016,-8.200,-13.500,3.200,-5.800
0.017,-8.700,-14.500,3.300,-6.300
0.018,-9.300,-14.900,3.400,-6.800
0.019,-9.900,-15.600,3.500,-7.100
0.020,-10.500,-16.800,3.600,-7.200
0.021,-11.100,-17.800,3.800,-7.200
0.022,-11.600,-18.000,4.000,-7.200
0.023,-12.100,-17.300,4.200,-6.900
0.024,-12.500,-16.000,4.400,-6.400
0.025,-13.000,-14.700,4.600,-5.700
0.026,-13.400,-13.400,4.800,-5.000
0.027,-13.800,-12.000,5.100,-4.200
0.028,-14.100,-10.100,5.300,-3.500
0.029,-14.300,-7.700,5.400,-2.700
0.030,-14.500,-5.100,5.600,-2.100
0.031,-14.600,-2.800,5.700,-1.700
0.032,-14.600,-1.400,5.800,-1.500
0.033,-14.700,-0.700,5.900,-1.500
0.034,-14.700,-0.500,5.900,-1.500
0.035,-14.800,-0.400,5.800,-1.500
0.036,-14.900,-0.700,5.800,-1.600
0.037,-15.000,-1.500,5.800,-1.800
0.038,-15.100,-3.000,5.700,-2.100
0.039,-15.300,-4.800,5.700,-2.600
0.040,-15.500,-6.200,5.600,-3.000
0.041,-15.800,-7.000,5.500,-3.500
0.042,-16.000,-7.200,5.500,-4.000
0.043,-16.200,-7.300,5.500,-4.800
0.044,-16.400,-7.300,5.500,-5.600
0.045,-16.600,-7.200,5.500,-6.400
0.046,-16.800,-6.800,5.500,-7.100
0.047,-17.000,-6.000,5.500,-7.500
0.048,-17.100,-5.400,5.400,-7.900
0.049,-17.100,-5.600,5.400,-8.100
0.050,-17.000,-6.500,5.300,-8.300
0.051,-16.800,-7.900,5.200,-8.100
0.052,-16.700,-9.200,5.100,-7.600
0.053,-16.500,-10.300,5.000,-6.800
0.054,-16.300,-11.300,4.800,-6.000
0.055,-16.000,-12.400,4.700,-5.200
0.056,-15.700,-13.500,4.500,-4.500
0.057,-15.300,-14.400,4.400,-3.800
0.058,-15.000,-14.700,4.200,-3.200
0.059,-14.600,-14.300,4.000,-2.700
0.060,-14.100,-13.400,3.900,-2.500
0.061,-13.700,-12.200,3.700,-2.600
0.062,-13.200,-11.000,3.500,-2.700
0.063,-12.700,-9.800,3.300,-2.800
0.064,-12.200,-8.200,3.000,-2.900
0.065,-11.800,-6.300,2.800,-3.000
0.066,-11.400,-4.200,2.700,-3.100
0.067,-11.100,-2.500,2.600,-3.300
0.068,-10.800,-1.400,2.600,-3.500
0.069,-10.500,-0.900,2.600,-3.600
0.070,-10.200,-0.900,2.600,-3.800
0.071,-9.900,-1.100,2.600,-3.900
0.072,-9.600,-1.400,2.500,-4.100
0.073,-9.300,-2.100,2.400,-4.100
0.074,-8.900,-3.200,2.400,-4.000
0.075,-8.500,-4.600,2.300,-3.900
0.076,-8.100,-5.900,2.300,-3.900
0.077,-7.800,-6.600,2.200,-4.000
0.078,-7.300,-6.600,2.000,-4.000
0.079,-6.900,-6.100,1.800,-3.800
0.080,-6.500,-5.600,1.600,-3.400
0.081,-6.100,-4.900,1.500,-2.900
0.082,-5.800,-3.900,1.300,-2.400
0.083,-5.500,-2.700,1.200,-2.100
0.084,-5.200,-1.200,1.100,-1.900
0.085,-4.800,0.400,0.900,-1.600
0.086,-4.500,1.600,0.800,-1.400
0.087,-4.100,2.400,0.600,-1.300
0.088,-3.700,2.800,0.500,-1.400
0.089,-3.400,3.000,0.400,-1.600
0.090,-3.200,2.900,0.400,-2.000
0.091,-2.900,2.500,0.300,-2.400
0.092,-2.700,1.900,0.300,-2.800
0.093,-2.400,1.200,0.200,-3.200
0.094,-2.300,0.500,0.200,-3.600
0.095,-2.100,0.100,0.200,-4.100
0.096,-1.800,0.000,0.200,-4.500
0.097,-1.500,0.300,0.100,-5.000
0.098,-1.100,1.100,0.100,-5.300
0.099,-0.800,2.000,0.000,-5.600
0.100,-0.400,2.900,0.000,-5.700
0.101,0.000,3.700,-0.100,-5.700
0.102,0.400,4.500,-0.200,-5.700
0.103,0.900,5.500,-0.300,-5.700
0.104,1.300,6.700,-0.300,-5.600
0.105,1.600,7.800,-0.500,-5.600
0.106,1.800,8.400,-0.600,-5.400
0.107,2.000,8.600,-0.700,-4.900
0.108,2.200,8.700,-0.800,-4.400
0.109,2.500,9.000,-0.900,-3.800
0.110,2.700,9.900,-1.100,-3.300
0.111,2.900,10.500,-1.300,-2.900
0.112,3.000,10.200,-1.400,-2.600
0.113,3.000,8.700,-1.600,-2.300
0.114,2.900,6.500,-1.700,-1.900
0.115,2.900,4.500,-1.800,-1.500
0.116,2.900,3.300,-1.900,-1.100
0.117,3.000,3.000,-1.900,-0.800
0.118,3.000,3.100,-1.900,-0.500
0.119,3.000,3.300,-2.000,-0.300
0.120,2.900,3.900,-2.100,-0.100
0.121,3.000,5.200,-2.100,0.000
0.122,3.000,7.500,-2.100,0.200
0.123,3.100,10.200,-2.000,0.400
0.124,3.200,12.700,-1.900,0.500
0.125,3.200,14.700,-1.800,0.700
0.126,3.300,16.000,-1.700,0.800
0.127,3.400,17.200,-1.700,1.000
0.128,3.600,18.300,-1.600,1.000
0.129,3.700,19.100,-1.500,1.000
0.130,3.700,19.100,-1.500,0.900
0.131,3.800,18.100,-1.500,1.000
0.132,3.900,16.200,-1.500,1.100
0.133,3.900,14.000,-1.500,1.200
0.134,4.000,11.800,-1.500,1.100
0.135,4.100,9.800,-1.600,0.800
0.136,4.100,7.500,-1.600,0.200
0.137,4.100,4.900,-1.700,-0.400
0.138,4.100,2.000,-1.700,-0.900
0.139,4.100,-0.500,-1.700,-1.400
0.140,4.100,-1.800,-1.800,-1.900
0.141,4.300,-1.700,-1.800,-2.500
0.142,4.500,-0.600,-1.800,-3.000
0.143,4.700,0.700,-1.800,-3.300
0.144,5.000,2.100,-1.800,-3.300
0.145,5.300,3.600,-1.800,-3.000
0.146,5.500,5.400,-1.700,-2.600
0.147,5.800,7.500,-1.600,-2.000
0.148,6.100,9.300,-1.500,-1.400
0.149,6.300,10.400,-1.400,-0.700
0.150,6.500,10.600,-1.300,0.100
0.151,6.600,10.100,-1.200,1.000
