'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,2.600,7.900,-3.000,-5.700
0.001,2.000,7.500,-3.600,-6.200
0.002,1.400,6.400,-3.700,-6.700
0.003,1.100,5.200,-3.000,-6.900
0.004,1.500,4.400,-1.700,-6.500
0.005,3.000,4.700,0.100,-5.300
0.006,5.100,5.900,1.800,-3.600
0.007,7.300,7.800,3.000,-2.000
0.008,8.800,9.400,3.600,-1.100
0.009,9.000,10.400,3.600,-1.300
0.010,8.300,10.600,3.300,-2.300
0.011,7.300,10.400,3.000,-3.600
0.012,6.800,10.200,2.900,-4.400
0.013,7.100,10.400,3.000,-4.400
0.014,7.600,10.900,2.800,-3.800
0.015,7.700,11.000,2.200,-3.500
0.016,6.800,10.300,1.000,-4.100
0.017,4.900,8.600,-0.500,-5.700
0.018,2.800,6.300,-1.700,-7.700
0.019,1.500,4.200,-2.100,-9.300
0.020,1.500,3.000,-1.400,-9.700
0.021,2.700,3.000,-0.200,-8.900
0.022,4.200,3.700,0.700,-7.500
0.023,4.900,4.200,0.800,-6.400
0.024,4.400,4.000,-0.200,-6.300
0.025,2.900,3.000,-1.600,-7.200
0.026,1.300,1.700,-2.600,-8.400
0.027,0.500,1.000,-2.300,-9.100
0.028,0.800,1.200,-0.700,-9.000
0.029,2.100,2.100,1.600,-7.900
0.030,3.300,3.300,3.600,-6.700
0.031,3.900,4.000,4.600,-5.900
0.032,3.800,4.200,4.400,-6.200
0.033,3.200,4.200,3.300,-7.300
0.034,2.800,4.700,1.900,-8.700
0.035,3.300,5.700,0.800,-9.700
0.036,4.600,7.100,0.200,-9.600
0.037,6.200,8.100,0.100,-8.500
0.038,7.700,8.200,0.400,-6.700
0.039,8.600,7.500,0.800,-5.100
0.040,8.900,6.500,1.100,-4.100
0.041,8.900,6.000,1.000,-4.100
0.042,8.900,6.400,0.600,-4.700
0.043,9.100,7.600,0.000,-5.600
0.044,9.400,9.200,-0.300,-6.300
0.045,9.600,10.400,0.000,-6.500
0.046,9.500,11.000,0.800,-6.200
0.047,9.300,10.900,1.800,-5.700
0.048,9.100,10.300,2.500,-5.200
0.049,9.100,9.600,2.400,-4.700
0.050,9.300,9.000,1.600,-4.300
0.051,9.700,8.500,0.600,-4.200
0.052,9.900,8.200,-0.400,-4.300
0.053,9.800,8.100,-0.900,-4.900
0.054,9.400,8.000,-1.300,-5.900
0.055,9.000,7.900,-1.700,-6.900
0.056,8.800,7.800,-2.200,-7.700
0.057,9.100,7.600,-2.800,-7.800
0.058,9.900,7.500,-3.200,-7.400
0.059,10.900,7.700,-3.400,-6.700
0.060,11.700,8.100,-3.600,-6.300
0.061,12.000,8.700,-4.100,-6.500
0.062,11.500,9.200,-5.200,-7.500
