,timestamp,value
0,2014-07-01 00:00:00,10844
1,2014-07-01 00:30:00,8127
2,2014-07-01 01:00:00,6210
3,2014-07-01 01:30:00,4656
4,2014-07-01 02:00:00,3820
5,2014-07-01 02:30:00,2873
6,2014-07-01 03:00:00,2369
7,2014-07-01 03:30:00,2064
8,2014-07-01 04:00:00,2221
9,2014-07-01 04:30:00,2158
10,2014-07-01 05:00:00,2515
11,2014-07-01 05:30:00,4364
12,2014-07-01 06:00:00,6526
13,2014-07-01 06:30:00,11039
14,2014-07-01 07:00:00,13857
15,2014-07-01 07:30:00,15865
16,2014-07-01 08:00:00,17920
17,2014-07-01 08:30:00,20346
18,2014-07-01 09:00:00,19539
19,2014-07-01 09:30:00,20107
20,2014-07-01 10:00:00,18984
21,2014-07-01 10:30:00,17720
22,2014-07-01 11:00:00,17249
23,2014-07-01 11:30:00,18463
24,2014-07-01 12:00:00,18908
25,2014-07-01 12:30:00,18886
26,2014-07-01 13:00:00,18178
27,2014-07-01 13:30:00,19459
28,2014-07-01 14:00:00,19546
29,2014-07-01 14:30:00,20591
30,2014-07-01 15:00:00,19380
31,2014-07-01 15:30:00,18544
32,2014-07-01 16:00:00,16228
33,2014-07-01 16:30:00,15013
34,2014-07-01 17:00:00,17203
35,2014-07-01 17:30:00,19525
36,2014-07-01 18:00:00,22966
37,2014-07-01 18:30:00,27598
38,2014-07-01 19:00:00,26827
39,2014-07-01 19:30:00,24904
40,2014-07-01 20:00:00,22875
41,2014-07-01 20:30:00,20394
42,2014-07-01 21:00:00,23401
43,2014-07-01 21:30:00,24439
44,2014-07-01 22:00:00,23318
45,2014-07-01 22:30:00,21733
46,2014-07-01 23:00:00,20104
47,2014-07-01 23:30:00,16111
48,2014-07-02 00:00:00,13370
49,2014-07-02 00:30:00,9945
50,2014-07-02 01:00:00,7571
51,2014-07-02 01:30:00,5917
52,2014-07-02 02:00:00,4820
53,2014-07-02 02:30:00,3634
54,2014-07-02 03:00:00,2993
55,2014-07-02 03:30:00,2535
56,2014-07-02 04:00:00,2570
57,2014-07-02 04:30:00,2485
58,2014-07-02 05:00:00,2868
59,2014-07-02 05:30:00,4482
60,2014-07-02 06:00:00,6788
61,2014-07-02 06:30:00,11078
62,2014-07-02 07:00:00,13729
63,2014-07-02 07:30:00,16700
64,2014-07-02 08:00:00,19156
65,2014-07-02 08:30:00,19953
66,2014-07-02 09:00:00,19502
67,2014-07-02 09:30:00,18994
68,2014-07-02 10:00:00,17311
69,2014-07-02 10:30:00,17904
70,2014-07-02 11:00:00,17133
71,2014-07-02 11:30:00,18589
72,2014-07-02 12:00:00,19134
73,2014-07-02 12:30:00,19259
74,2014-07-02 13:00:00,18667
75,2014-07-02 13:30:00,19078
76,2014-07-02 14:00:00,18546
77,2014-07-02 14:30:00,18593
78,2014-07-02 15:00:00,17967
79,2014-07-02 15:30:00,16624
80,2014-07-02 16:00:00,14634
81,2014-07-02 16:30:00,13888
82,2014-07-02 17:00:00,17430
83,2014-07-02 17:30:00,21919
84,2014-07-02 18:00:00,23633
85,2014-07-02 18:30:00,24512
86,2014-07-02 19:00:00,24887
87,2014-07-02 19:30:00,26872
