'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,-1.000,-964.000,-623.500,-891.000
0.001,-0.500,-963.500,-623.000,-890.500
0.002,0.500,-963.500,-623.000,-890.000
0.003,0.500,-963.000,-623.000,-889.500
0.004,0.000,-963.000,-622.500,-889.000
0.005,-1.000,-962.500,-622.500,-888.000
0.006,-2.000,-962.000,-622.500,-887.500
0.007,-2.500,-961.500,-622.000,-887.000
0.008,-3.000,-961.500,-622.000,-886.500
0.009,-3.000,-961.000,-621.500,-886.000
0.010,-3.500,-960.500,-621.500,-885.500
0.011,-4.000,-960.000,-621.000,-885.000
0.012,-3.000,-959.000,-621.000,-885.000
0.013,-1.500,-959.000,-621.000,-885.000
0.014,0.500,-958.500,-621.500,-885.000
0.015,1.500,-958.500,-621.500,-884.500
0.016,2.000,-958.500,-622.000,-884.500
0.017,1.000,-958.500,-622.500,-884.500
0.018,-1.000,-958.500,-623.000,-884.500
0.019,-2.500,-958.000,-623.000,-884.000
0.020,-3.500,-957.500,-623.500,-884.000
0.021,-4.000,-957.500,-623.500,-883.500
0.022,-3.500,-957.000,-623.500,-883.000
0.023,-2.000,-956.500,-623.500,-883.000
0.024,-0.500,-956.000,-623.500,-882.500
0.025,0.500,-956.000,-623.500,-882.500
0.026,1.000,-955.500,-624.000,-883.000
0.027,1.500,-955.500,-624.500,-883.500
0.028,2.500,-955.500,-625.000,-883.500
0.029,4.500,-955.000,-625.000,-884.000
0.030,6.500,-955.000,-625.000,-884.000
0.031,7.500,-954.500,-624.500,-884.000
0.032,7.500,-954.000,-624.500,-884.000
0.033,6.000,-953.500,-624.000,-883.500
0.034,5.500,-953.500,-624.000,-883.500
0.035,6.500,-953.500,-623.500,-883.000
0.036,8.000,-953.500,-623.000,-883.000
0.037,10.000,-953.500,-623.000,-883.000
0.038,12.000,-953.500,-623.500,-883.000
0.039,13.500,-953.500,-623.500,-883.000
0.040,13.500,-953.000,-623.500,-883.000
0.041,12.500,-953.000,-623.500,-883.000
0.042,11.000,-953.000,-623.500,-882.500
0.043,9.000,-952.500,-623.500,-882.500
0.044,8.500,-952.500,-623.500,-882.000
0.045,8.000,-952.500,-623.500,-881.000
0.046,7.000,-953.000,-624.000,-880.500
0.047,6.500,-953.000,-624.500,-880.000
0.048,6.500,-952.500,-624.500,-880.000
0.049,6.500,-952.500,-625.000,-879.500
0.050,7.000,-952.500,-625.000,-879.000
0.051,7.000,-952.500,-625.000,-879.000
0.052,6.500,-952.000,-625.000,-878.500
0.053,6.000,-952.000,-624.500,-878.000
0.054,5.000,-951.500,-624.500,-878.000
0.055,4.000,-951.500,-624.000,-877.500
0.056,2.500,-951.000,-623.500,-877.000
0.057,1.000,-950.500,-623.500,-877.000
0.058,0.500,-950.500,-623.500,-877.000
0.059,1.000,-950.000,-623.500,-877.000
0.060,2.500,-949.500,-623.500,-877.000
0.061,3.500,-949.500,-623.500,-877.000
0.062,4.500,-949.500,-623.500,-876.500
0.063,4.500,-949.000,-623.500,-876.500
0.064,4.000,-948.500,-623.000,-876.500
0.065,3.500,-948.500,-623.000,-876.500
0.066,2.500,-948.000,-623.000,-876.500
0.067,1.000,-947.500,-623.000,-877.000
0.068,-0.500,-947.000,-623.000,-876.500
0.069,-2.500,-946.500,-622.500,-876.500
0.070,-4.000,-946.000,-622.500,-876.000
0.071,-5.000,-945.500,-622.000,-875.500
0.072,-5.000,-945.000,-622.000,-875.500
0.073,-4.000,-944.500,-621.500,-875.000
0.074,-1.500,-944.500,-621.500,-875.000
0.075,1.000,-944.500,-621.500,-875.000
0.076,2.500,-944.000,-621.500,-875.500
0.077,3.000,-944.000,-622.000,-876.000
0.078,3.000,-944.000,-622.000,-876.000
0.079,3.000,-944.000,-622.500,-876.500
0.080,3.500,-943.500,-622.500,-876.500
0.081,4.500,-943.500,-623.000,-877.000
0.082,5.000,-943.500,-623.000,-877.000
0.083,6.000,-943.500,-623.500,-877.000
0.084,6.500,-943.500,-623.500,-877.000
0.085,7.000,-943.500,-623.500,-877.000
0.086,7.000,-943.000,-623.000,-877.000
0.087,7.000,-943.000,-623.000,-876.500
0.088,5.500,-942.000,-622.000,-876.000
0.089,4.000,-941.500,-621.500,-875.500
0.090,2.500,-941.000,-621.000,-875.000
0.091,2.000,-940.500,-620.500,-874.500
0.092,2.500,-940.000,-619.500,-873.500
0.093,3.000,-939.500,-619.000,-873.000
0.094,3.000,-939.500,-618.500,-873.000
0.095,2.500,-939.000,-618.500,-872.500
