'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,2.500,196.500,418.000,377.000
0.001,2.000,196.000,418.000,377.000
0.002,2.000,196.000,419.000,378.500
0.003,1.500,196.000,419.000,378.500
0.004,1.500,196.000,420.000,380.000
0.005,1.500,196.000,419.500,380.000
0.006,2.000,196.000,420.500,381.500
0.007,2.000,195.000,420.000,381.500
0.008,2.000,195.000,420.500,383.000
0.009,2.000,194.000,420.000,383.000
0.010,2.500,194.000,420.000,384.500
0.011,2.000,193.000,418.500,384.000
0.012,2.000,193.000,418.500,384.500
0.013,1.000,192.000,417.500,383.000
0.014,0.000,191.500,418.000,383.000
0.015,-0.500,191.000,417.000,381.500
0.016,-1.500,191.000,417.000,381.500
0.017,-1.500,190.500,416.500,380.500
0.018,-2.000,190.500,417.000,381.000
0.019,-1.500,190.500,416.500,380.500
0.020,-1.500,191.000,417.000,381.000
0.021,-1.000,190.500,417.000,380.500
0.022,-1.000,190.500,418.500,381.000
0.023,-0.500,189.500,419.000,381.000
0.024,-0.500,189.000,421.000,382.000
0.025,-0.500,188.500,421.500,382.000
0.026,-0.500,188.000,423.500,383.000
0.027,-0.500,187.000,424.000,383.000
0.028,-0.500,187.000,425.500,383.500
0.029,-1.000,186.500,425.500,383.500
0.030,-1.000,187.000,427.000,384.000
0.031,-1.000,187.000,427.000,384.000
0.032,-1.000,187.000,428.000,385.000
0.033,-1.000,186.500,427.500,385.000
0.034,-0.500,187.000,428.500,386.000
0.035,0.000,186.500,428.500,385.500
0.036,0.000,186.000,429.500,386.500
0.037,0.000,185.000,430.000,386.500
0.038,0.000,185.000,431.000,387.000
0.039,-0.500,185.000,431.500,387.000
0.040,-1.000,185.500,433.000,387.500
0.041,-1.500,185.500,433.500,387.500
0.042,-2.500,186.000,435.000,388.500
0.043,-3.000,186.000,435.000,388.500
0.044,-4.000,186.500,436.000,389.500
0.045,-4.000,186.000,436.000,389.500
0.046,-4.000,186.000,436.500,390.000
0.047,-3.500,185.500,436.000,390.000
0.048,-3.500,185.500,436.500,391.000
0.049,-3.000,185.000,436.000,391.000
0.050,-3.500,185.000,437.000,392.000
0.051,-3.500,185.000,437.000,392.500
0.052,-4.000,185.500,438.500,393.500
0.053,-4.500,186.000,439.500,393.500
0.054,-5.000,186.500,441.500,394.500
0.055,-5.000,186.500,442.500,394.000
0.056,-5.500,187.000,443.500,394.500
