'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,-156.500,-27.000,-35.000,28.000
0.001,-155.500,-26.500,-34.000,29.000
0.002,-155.000,-26.500,-34.000,29.000
0.003,-156.000,-27.500,-35.500,27.500
0.004,-158.500,-30.000,-38.000,24.500
0.005,-161.500,-33.500,-42.000,21.000
0.006,-164.500,-37.000,-46.000,17.500
0.007,-166.000,-39.000,-48.500,15.000
0.008,-165.000,-39.000,-48.000,15.500
0.009,-161.500,-35.500,-45.000,18.500
0.010,-156.500,-30.500,-40.000,23.500
0.011,-150.500,-24.500,-34.000,29.500
0.012,-145.000,-18.000,-27.500,36.000
0.013,-141.000,-13.500,-22.500,41.000
0.014,-139.500,-11.500,-20.500,43.000
0.015,-141.500,-12.500,-21.000,42.000
0.016,-146.000,-16.000,-24.500,38.500
0.017,-150.500,-20.500,-28.500,34.500
0.018,-154.000,-23.500,-32.000,31.000
0.019,-155.000,-25.000,-33.000,30.000
0.020,-155.000,-25.000,-33.000,30.500
0.021,-154.000,-24.500,-32.500,31.000
0.022,-154.000,-25.000,-33.000,30.500
0.023,-155.500,-26.500,-34.500,29.000
0.024,-157.500,-30.000,-38.000,26.000
0.025,-160.500,-33.500,-42.000,21.500
0.026,-163.000,-37.000,-46.000,18.000
0.027,-163.500,-38.000,-47.000,17.000
0.028,-161.000,-36.500,-45.500,18.500
0.029,-157.000,-33.000,-42.500,22.000
0.030,-153.000,-29.000,-38.500,25.500
0.031,-149.500,-25.500,-35.500,28.500
0.032,-146.000,-22.000,-32.000,32.000
0.033,-143.000,-18.000,-28.500,35.000
0.034,-140.500,-15.000,-25.500,37.500
0.035,-139.500,-13.500,-24.500,38.500
0.036,-140.500,-14.000,-25.000,38.000
0.037,-143.000,-16.000,-27.500,35.500
0.038,-146.000,-19.000,-30.500,33.000
0.039,-149.500,-22.000,-33.500,30.500
0.040,-152.000,-24.500,-35.500,29.000
0.041,-153.500,-26.000,-36.000,29.000
0.042,-154.500,-27.000,-36.500,29.500
0.043,-155.500,-28.500,-36.500,30.000
0.044,-157.000,-30.000,-37.500,30.000
0.045,-159.000,-32.500,-39.000,29.500
0.046,-160.000,-34.000,-40.000,29.000
0.047,-160.500,-35.000,-40.500,29.000
0.048,-159.500,-34.500,-39.500,30.000
0.049,-157.500,-32.500,-37.500,32.500
0.050,-153.500,-28.500,-33.500,36.000
0.051,-149.000,-23.000,-28.000,41.000
0.052,-143.500,-17.000,-22.500,46.000
0.053,-138.500,-11.000,-17.000,51.000
0.054,-135.000,-7.000,-13.000,54.500
0.055,-134.000,-5.500,-12.000,55.500
0.056,-136.000,-6.500,-13.500,53.500
0.057,-139.500,-10.000,-17.000,50.000
0.058,-143.500,-14.500,-21.500,45.500
0.059,-148.000,-18.500,-26.000,41.500
0.060,-152.000,-22.500,-29.500,38.000
0.061,-154.500,-25.000,-32.000,35.500
0.062,-155.500,-26.500,-33.500,34.500
0.063,-155.500,-27.000,-33.500,34.500
0.064,-155.500,-27.000,-34.000,34.500
0.065,-155.500,-28.000,-35.000,33.500
0.066,-155.500,-28.500,-35.500,33.000
0.067,-154.500,-28.500,-35.500,33.000
0.068,-152.000,-26.500,-34.000,34.500
0.069,-148.500,-24.000,-31.000,37.500
0.070,-145.000,-20.000,-27.500,41.500
0.071,-142.000,-17.000,-24.500,45.000
0.072,-140.500,-14.500,-22.000,47.500
0.073,-141.000,-14.500,-21.500,48.000
0.074,-143.500,-15.500,-22.500,47.000
0.075,-146.000,-17.000,-23.500,45.500
0.076,-146.500,-17.000,-24.000,45.500
