From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2023-02-01 15:00:00,2023-02-01 16:00:00,59.2,105.82,4.09,8.85,10.56,,15.2,0.37,114.26,1.25,,,,,71.36,0.75,,,935.99,0.0,27.27
2023-02-01 16:00:00,2023-02-01 17:00:00,60.47,112.84,3.99,8.76,10.55,0.01,18.05,0.43,104.3,1.59,,,,,71.36,1.0,,,936.11,0.0,26.53
2023-02-01 17:00:00,2023-02-01 18:00:00,59.45,131.75,4.01,8.77,10.54,0.01,8.96,0.44,103.32,1.93,,,,,71.36,0.75,,,936.33,0.0,25.39
2023-02-01 18:00:00,2023-02-01 19:00:00,58.5,131.54,4.02,8.79,10.55,0.01,9.56,0.59,72.93,2.45,,,,,71.36,0.5,,,936.82,0.0,24.33
2023-02-01 19:00:00,2023-02-01 20:00:00,65.72,133.53,4.04,8.79,10.54,0.02,8.89,0.59,80.68,3.5,,,,,71.36,1.0,,,937.44,0.0,23.82
2023-02-01 20:00:00,2023-02-01 21:00:00,73.74,135.57,4.11,8.86,10.55,0.01,9.29,0.53,85.64,2.62,,,,,71.36,1.0,,,938.07,0.0,23.21
2023-02-01 21:00:00,2023-02-01 22:00:00,77.09,136.25,4.15,8.9,10.56,0.01,8.87,0.48,86.95,2.05,,,,,71.36,1.0,,,938.32,0.0,22.64
2023-02-01 22:00:00,2023-02-01 23:00:00,81.29,139.06,4.16,8.92,10.59,0.01,7.83,0.45,88.28,1.78,,,,,71.36,1.0,,,938.3,0.0,22.15
2023-02-01 23:00:00,2023-02-02 00:00:00,87.06,127.63,4.18,8.92,10.56,0.01,7.76,0.45,91.0,1.85,,,,,71.36,1.0,,,938.33,0.0,21.72
2023-02-02 00:00:00,2023-02-02 01:00:00,87.41,148.46,4.2,8.95,10.58,0.03,4.94,0.2,93.18,1.7,,,,,71.36,1.0,,,937.95,0.0,21.44
2023-02-02 01:00:00,2023-02-02 02:00:00,80.31,120.27,4.19,8.94,10.59,,6.43,0.16,107.47,1.31,,,,,71.36,1.0,,,937.46,0.0,21.29
2023-02-02 02:00:00,2023-02-02 03:00:00,73.28,105.77,4.17,8.91,10.54,0.01,18.73,0.16,106.84,1.08,,,,,71.36,1.0,,,937.06,0.0,20.94
2023-02-02 03:00:00,2023-02-02 04:00:00,69.07,105.9,4.18,8.94,10.59,,15.08,0.21,100.66,1.5,,,,,71.36,1.0,,,936.74,0.0,20.52
2023-02-02 04:00:00,2023-02-02 05:00:00,66.48,101.42,4.16,8.89,10.54,0.01,20.35,0.21,97.55,1.74,,,,,71.36,1.0,,,936.84,0.0,20.42
2023-02-02 05:00:00,2023-02-02 06:00:00,64.94,100.1,4.14,8.89,10.55,0.01,41.73,0.21,91.45,1.69,,,,,71.36,1.0,,,937.06,0.0,20.34
