From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3)
2023-01-12 17:00:00,2023-01-12 18:00:00,,222.32,7.44,16.35,14.54,19.17,0.43
2023-01-12 18:00:00,2023-01-12 19:00:00,73.26,250.49,5.8,17.05,13.59,19.48,0.49
2023-01-12 19:00:00,2023-01-12 20:00:00,101.24,212.47,7.21,17.0,14.7,20.21,0.53
2023-01-12 20:00:00,2023-01-12 21:00:00,97.27,250.92,2.54,10.73,7.68,20.58,0.38
2023-01-12 21:00:00,2023-01-12 22:00:00,98.52,185.3,5.2,20.73,15.03,21.49,0.31
2023-01-12 22:00:00,2023-01-12 23:00:00,94.9,165.9,7.8,25.34,19.52,22.51,0.31
2023-01-12 23:00:00,2023-01-13 00:00:00,126.71,274.78,7.01,24.6,18.48,23.17,0.32
2023-01-13 00:00:00,2023-01-13 01:00:00,181.52,320.8,5.33,17.03,13.21,19.64,0.38
2023-01-13 01:00:00,2023-01-13 02:00:00,241.29,,5.59,18.2,14.02,19.67,0.41
2023-01-13 02:00:00,2023-01-13 03:00:00,199.99,,5.07,19.29,14.18,20.21,0.32
2023-01-13 03:00:00,2023-01-13 04:00:00,115.03,,5.9,16.21,13.23,20.47,0.26
2023-01-13 04:00:00,2023-01-13 05:00:00,86.96,,4.75,13.06,5.33,20.93,0.36
2023-01-13 05:00:00,2023-01-13 06:00:00,77.88,,11.14,42.87,8.36,21.07,0.33
2023-01-13 06:00:00,2023-01-13 07:00:00,58.18,,14.39,,0.0,19.64,0.31
2023-01-13 07:00:00,2023-01-13 08:00:00,86.91,,8.01,65.88,22.05,19.52,0.34
2023-01-13 08:00:00,2023-01-13 09:00:00,104.2,,2.27,6.09,2.51,19.08,0.38
2023-01-13 09:00:00,2023-01-13 10:00:00,101.21,,8.81,11.19,3.23,18.93,0.4
2023-01-13 10:00:00,2023-01-13 11:00:00,44.89,96.07,10.56,19.06,18.46,19.14,0.36
