From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C)
2021-01-01 13:00:00,2021-01-01 14:00:00,90.97,,16.33,48.35,64.87,24.58,,0.7,1.83,,,,,,,,,,
2021-01-01 14:00:00,2021-01-01 15:00:00,85.29,,15.9,49.41,65.3,24.58,,0.79,1.8,,,,,,,,,,
2021-01-01 15:00:00,2021-01-01 16:00:00,90.0,,18.17,56.04,74.21,30.68,,0.79,2.15,,,,,,,,,,
2021-01-01 16:00:00,2021-01-01 17:00:00,88.7,,18.91,56.64,75.55,31.7,,0.78,3.27,,,,,,,,,,
2021-01-01 17:00:00,2021-01-01 18:00:00,85.35,,19.9,56.42,76.33,30.05,,0.79,3.28,,,,,,,,,,
2021-01-01 18:00:00,2021-01-01 19:00:00,84.65,,21.12,65.47,86.59,29.52,,0.94,3.7,,,,,,,,,,
2021-01-01 19:00:00,2021-01-01 20:00:00,89.67,,19.63,68.71,88.35,29.32,,1.01,3.39,,,,,,,,,,
2021-01-01 20:00:00,2021-01-01 21:00:00,100.9,,18.11,57.46,75.56,28.79,,0.93,5.05,,,,,,,,,,
2021-01-01 21:00:00,2021-01-01 22:00:00,108.35,,16.97,50.28,67.26,27.34,,0.9,3.25,,,,,,,,,,
2021-01-01 22:00:00,2021-01-01 23:00:00,106.36,,18.45,47.78,66.23,26.14,,0.93,3.13,,,,,,,,,,
2021-01-01 23:00:00,2021-01-02 00:00:00,108.25,,18.84,47.23,66.06,28.48,,0.92,3.46,,,,,,,,,,
2021-01-02 00:00:00,2021-01-02 01:00:00,112.7,,17.97,43.63,61.6,29.47,,0.84,2.83,,,,,,,,,,
2021-01-02 01:00:00,2021-01-02 02:00:00,106.69,,18.1,40.4,58.51,27.58,,0.79,2.5,,,,,,,,,,
2021-01-02 02:00:00,2021-01-02 03:00:00,104.33,,18.71,39.03,57.74,26.85,,0.8,4.36,,,,,,,,,,
2021-01-02 03:00:00,2021-01-02 04:00:00,103.27,,17.98,38.2,56.17,26.34,,0.77,4.76,,,,,,,,,,
2021-01-02 04:00:00,2021-01-02 05:00:00,99.03,,16.32,34.86,51.18,21.71,,0.71,3.17,,,,,,,,,,
2021-01-02 05:00:00,2021-01-02 06:00:00,93.36,,14.03,34.02,48.05,22.0,,0.7,2.68,,,,,,,,,,
2021-01-02 06:00:00,2021-01-02 07:00:00,90.33,,14.52,34.62,49.14,21.31,,0.73,2.77,,,,,,,,,,
2021-01-02 07:00:00,2021-01-02 08:00:00,92.64,,15.65,40.1,55.76,23.48,,0.8,2.61,,,,,,,,,,
2021-01-02 08:00:00,2021-01-02 09:00:00,96.65,,14.32,36.89,51.21,26.59,,0.81,3.14,,,,,,,,,,
2021-01-02 09:00:00,2021-01-02 10:00:00,96.25,,13.7,32.54,46.24,25.19,,0.81,2.41,,,,,,,,,,
