From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree),RF (mm)
2021-06-16 15:00:00,2021-06-16 16:00:00,,109.92,9.91,3.41,12.03,17.44,5.85,0.96,46.0,2.12,,,2.02,0.51,40.22,1.08,163.36,,,36.14,0.0
2021-06-16 16:00:00,2021-06-16 17:00:00,51.5,101.59,9.13,3.09,11.24,17.08,5.63,2.19,38.0,2.38,,,2.3,0.52,47.81,1.17,293.7,,,34.51,0.0
2021-06-16 17:00:00,2021-06-16 18:00:00,41.52,75.51,9.4,3.15,11.48,17.46,4.84,1.5,38.5,2.5,,,2.22,0.52,47.99,0.68,179.93,,,34.81,0.0
2021-06-16 18:00:00,2021-06-16 19:00:00,47.73,91.12,9.3,3.29,11.48,17.39,6.16,1.0,36.25,2.36,,,2.25,0.5,52.68,2.05,174.75,,,33.89,0.0
2021-06-16 19:00:00,2021-06-16 20:00:00,52.11,100.67,8.68,2.95,10.81,16.67,6.21,0.95,28.0,2.45,,,2.26,0.5,59.71,0.74,154.43,,,32.11,0.0
2021-06-16 20:00:00,2021-06-16 21:00:00,33.98,60.27,9.36,3.25,11.5,16.89,6.07,0.43,43.0,2.47,,,2.31,0.48,96.1,2.71,230.1,,,24.26,0.0
2021-06-16 21:00:00,2021-06-16 22:00:00,38.2,65.25,9.48,3.33,11.65,17.27,6.23,0.34,46.25,2.24,,,2.19,0.51,99.36,1.8,141.16,,,22.73,0.0
2021-06-16 22:00:00,2021-06-16 23:00:00,71.51,120.47,9.52,3.23,11.62,17.47,8.79,0.4,30.0,2.37,,,2.19,0.51,96.69,0.89,180.69,,,24.46,0.0
2021-06-16 23:00:00,2021-06-17 00:00:00,64.55,103.86,8.57,3.02,10.75,16.61,11.15,1.92,28.33,2.36,,,2.2,0.49,99.28,0.44,142.41,,,23.99,0.0
2021-06-17 00:00:00,2021-06-17 01:00:00,40.93,64.35,8.55,2.74,10.59,16.69,8.0,0.33,28.25,2.35,,,2.37,0.49,98.84,0.52,89.4,,,24.41,0.0
2021-06-17 01:00:00,2021-06-17 02:00:00,45.32,72.92,8.42,2.9,10.57,16.6,8.09,0.04,21.5,2.41,,,2.2,0.51,99.05,0.2,64.59,,,24.61,0.0
2021-06-17 02:00:00,2021-06-17 03:00:00,45.2,72.86,8.17,3.61,10.75,16.66,7.61,0.11,23.25,2.38,,,2.16,0.49,99.23,0.41,68.76,,,24.79,0.0
2021-06-17 03:00:00,2021-06-17 04:00:00,48.77,79.62,8.94,3.1,11.1,16.71,7.63,0.01,16.0,2.36,,,2.24,0.49,99.22,0.19,155.25,,,24.96,0.0
2021-06-17 04:00:00,2021-06-17 05:00:00,40.59,65.11,8.74,2.99,10.88,16.99,7.4,0.0,14.75,2.49,,,2.15,0.48,94.7,0.7,140.44,,,25.49,0.0
2021-06-17 05:00:00,2021-06-17 06:00:00,43.1,71.41,8.04,3.23,10.44,16.4,9.53,0.32,14.5,2.4,,,2.32,0.49,95.53,0.58,104.69,,,25.61,0.0
2021-06-17 06:00:00,2021-06-17 07:00:00,42.0,73.52,8.75,3.09,10.94,17.12,11.7,0.8,15.75,2.3,,,2.21,0.51,91.9,0.45,94.94,,,26.19,0.0
2021-06-17 07:00:00,2021-06-17 08:00:00,65.7,116.12,9.17,3.28,11.37,17.14,15.88,0.4,17.0,2.35,,,2.22,0.48,90.34,0.8,145.66,,,26.88,0.0
2021-06-17 08:00:00,2021-06-17 09:00:00,73.54,131.89,9.18,3.58,11.54,17.29,16.49,0.49,21.25,2.45,,,2.28,0.53,89.39,0.8,147.9,,,27.52,0.0
2021-06-17 09:00:00,2021-06-17 10:00:00,60.73,114.95,8.68,2.81,10.74,16.79,10.65,2.0,24.75,2.32,,,2.25,0.47,82.31,0.95,182.19,,,29.01,0.0
2021-06-17 10:00:00,2021-06-17 11:00:00,58.06,107.2,9.04,2.98,11.11,16.73,6.48,1.99,28.0,2.37,,,2.24,0.47,73.94,0.78,201.21,,,30.83,0.0
2021-06-17 11:00:00,2021-06-17 12:00:00,53.68,98.82,8.98,3.25,11.21,17.12,5.27,1.88,28.75,2.35,,,2.24,0.52,66.75,0.52,227.29,,,31.97,0.0
2021-06-17 12:00:00,2021-06-17 13:00:00,55.12,101.8,8.82,3.54,11.23,16.98,6.8,3.05,37.5,2.3,,,2.27,0.5,57.38,0.6,196.82,,,33.55,0.0
2021-06-17 13:00:00,2021-06-17 14:00:00,59.37,115.15,9.25,3.4,11.5,16.91,5.95,2.67,56.75,2.44,,,2.27,0.53,53.71,0.64,85.56,,,34.1,0.0
2021-06-17 14:00:00,2021-06-17 15:00:00,58.74,112.22,9.0,3.22,11.2,17.33,6.27,2.03,54.25,2.35,,,2.25,0.49,70.75,1.86,160.59,,,29.85,0.0
2021-06-17 15:00:00,2021-06-17 16:00:00,38.48,76.12,8.16,3.16,10.96,16.82,5.71,1.38,31.5,2.33,,,2.28,0.47,72.91,1.07,61.08,,,27.53,0.0
2021-06-17 16:00:00,2021-06-17 17:00:00,29.82,52.15,7.12,3.52,10.64,16.73,5.13,1.08,17.5,2.47,,,2.23,0.51,73.81,0.49,51.28,,,28.06,0.0
2021-06-17 17:00:00,2021-06-17 18:00:00,45.95,85.48,7.14,3.48,10.63,16.41,5.11,1.38,17.25,2.34,,,2.21,0.49,72.53,0.97,178.48,,,28.44,0.0
2021-06-17 18:00:00,2021-06-17 19:00:00,62.87,112.33,7.43,3.34,10.77,16.47,6.4,1.49,13.25,2.36,,,2.2,0.51,73.37,0.79,201.3,,,28.51,0.0
2021-06-17 19:00:00,2021-06-17 20:00:00,50.95,89.22,7.04,3.5,10.54,16.22,10.04,1.98,14.25,2.27,,,2.25,0.49,74.7,0.85,203.88,,,28.07,0.0
2021-06-17 20:00:00,2021-06-17 21:00:00,40.56,68.67,7.82,3.65,11.47,17.01,7.88,1.29,12.75,2.34,,,2.2,0.52,84.11,0.77,238.67,,,27.42,0.0
2021-06-17 21:00:00,2021-06-17 22:00:00,39.89,71.44,7.58,3.6,11.19,17.0,7.03,1.12,11.5,2.34,,,2.36,0.52,90.13,0.5,201.63,,,27.32,0.0
2021-06-17 22:00:00,2021-06-17 23:00:00,53.71,92.17,7.76,3.47,11.23,17.15,5.85,0.8,14.0,2.46,,,2.21,0.5,86.0,0.52,191.0,,,27.34,0.0
2021-06-17 23:00:00,2021-06-18 00:00:00,51.28,85.78,7.56,3.54,11.1,16.9,5.61,0.65,15.33,2.28,,,2.23,0.52,86.46,0.95,188.24,,,27.18,0.0
2021-06-18 00:00:00,2021-06-18 01:00:00,38.5,64.36,7.94,3.61,11.55,16.99,5.28,0.5,14.5,2.29,,,2.3,0.51,93.0,0.72,196.48,,,26.11,0.0
2021-06-18 01:00:00,2021-06-18 02:00:00,34.29,55.16,7.48,3.67,11.15,16.99,5.32,0.55,11.75,2.44,,,2.24,0.5,96.02,0.43,221.41,,,26.06,0.0
2021-06-18 02:00:00,2021-06-18 03:00:00,36.7,60.77,8.1,3.44,11.54,17.67,5.38,1.04,12.0,2.29,,,2.29,0.51,99.02,0.6,175.59,,,25.88,0.0
2021-06-18 03:00:00,2021-06-18 04:00:00,33.75,56.91,7.45,3.48,10.92,16.79,4.99,0.54,12.25,2.42,,,2.26,0.5,99.22,0.88,154.03,,,25.61,0.0
2021-06-18 04:00:00,2021-06-18 05:00:00,33.14,54.95,7.41,3.41,10.82,16.62,4.4,0.4,12.0,2.34,,,2.22,0.48,99.22,0.88,137.43,,,25.65,0.0
2021-06-18 05:00:00,2021-06-18 06:00:00,33.28,54.86,7.16,3.39,10.55,16.34,4.32,0.36,12.5,2.28,,,2.29,0.51,99.2,0.81,162.77,,,25.7,0.0
2021-06-18 06:00:00,2021-06-18 07:00:00,32.04,53.15,7.48,3.45,10.93,17.03,4.38,0.34,12.75,2.38,,,2.29,0.5,99.21,0.88,206.74,,,25.66,0.0
2021-06-18 07:00:00,2021-06-18 08:00:00,37.36,64.86,7.28,3.72,11.0,16.71,4.16,0.77,14.0,2.25,,,2.19,0.5,95.52,0.78,183.38,,,26.16,0.0
2021-06-18 08:00:00,2021-06-18 09:00:00,45.08,77.5,7.72,3.49,11.21,17.37,4.52,1.05,11.75,2.32,,,2.29,0.51,91.95,0.7,221.9,,,26.75,0.0
2021-06-18 09:00:00,2021-06-18 10:00:00,35.94,67.59,7.64,3.23,10.88,17.32,4.42,0.82,13.25,2.38,,,2.25,0.51,81.53,0.58,229.07,,,28.18,0.0
2021-06-18 10:00:00,2021-06-18 11:00:00,40.66,77.34,7.93,3.42,11.35,17.18,4.35,0.55,16.5,2.36,,,2.28,0.51,74.2,0.86,267.18,,,29.52,0.0
2021-06-18 11:00:00,2021-06-18 12:00:00,40.45,74.33,7.4,3.64,11.04,17.0,4.24,0.33,19.75,2.3,,,2.27,0.49,66.94,0.88,306.7,,,30.75,0.0
2021-06-18 12:00:00,2021-06-18 13:00:00,40.43,73.55,7.88,3.6,11.48,17.59,4.27,0.29,22.5,2.28,,,2.28,0.49,62.67,0.45,329.58,,,31.88,0.0
2021-06-18 13:00:00,2021-06-18 14:00:00,49.96,95.85,7.33,3.52,10.85,16.58,4.22,0.48,27.5,2.37,,,2.25,0.52,62.81,0.77,158.87,,,32.0,0.0
2021-06-18 14:00:00,2021-06-18 15:00:00,58.42,115.23,7.66,3.75,11.4,16.84,4.4,0.46,18.75,2.48,,,2.3,0.51,83.53,1.6,160.21,,,29.83,0.0
2021-06-18 15:00:00,2021-06-18 16:00:00,55.52,102.85,8.04,3.51,11.55,17.41,4.17,0.98,18.0,2.41,,,2.2,0.52,88.52,2.3,177.65,,,28.67,0.0
2021-06-18 16:00:00,2021-06-18 17:00:00,47.82,93.25,7.83,3.67,11.5,17.01,4.71,0.58,19.25,2.38,,,2.21,0.51,89.34,1.89,222.0,,,26.85,0.0
2021-06-18 17:00:00,2021-06-18 18:00:00,28.35,51.55,7.66,3.34,11.0,17.29,4.72,0.29,16.0,2.34,,,2.26,0.49,97.08,1.08,233.5,,,26.11,0.0
2021-06-18 18:00:00,2021-06-18 19:00:00,20.38,34.38,7.32,3.52,10.84,16.83,4.1,0.29,16.25,2.32,,,2.2,0.53,98.44,1.5,246.3,,,25.77,0.0
2021-06-18 19:00:00,2021-06-18 20:00:00,20.75,35.39,6.91,3.57,10.47,16.2,4.13,0.27,14.75,2.45,,,2.2,0.52,97.98,0.68,302.31,,,25.91,0.0
2021-06-18 20:00:00,2021-06-18 21:00:00,31.5,55.07,7.43,3.67,11.1,16.76,4.44,0.46,12.25,2.35,,,2.31,0.5,96.78,0.56,300.21,,,26.11,0.0
2021-06-18 21:00:00,2021-06-18 22:00:00,26.97,48.36,7.48,3.53,11.01,17.03,4.44,0.54,12.5,2.37,,,2.25,0.49,98.07,0.71,244.91,,,25.96,0.0
