From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2022-12-05 16:00:00,2022-12-05 17:00:00,,,2.25,,15.98,,5.39,0.4,25.45,1.92,13.49,0.68,1.21,1.11,,,,,,0.0,
2022-12-05 17:00:00,2022-12-05 18:00:00,95.82,162.8,0.57,26.77,13.68,1.89,5.5,0.46,25.23,1.74,10.56,1.14,1.41,1.0,50.52,1.15,31.79,0.0,944.02,0.0,29.94
2022-12-05 18:00:00,2022-12-05 19:00:00,121.68,241.77,3.38,33.72,20.68,6.37,5.97,0.82,14.65,3.61,11.92,9.49,4.82,2.22,53.1,1.38,29.55,0.0,944.34,0.0,30.0
2022-12-05 19:00:00,2022-12-05 20:00:00,271.21,453.1,12.14,36.83,29.46,20.84,5.62,0.93,12.6,8.71,16.8,10.66,6.6,3.3,57.53,1.65,36.86,0.0,944.98,0.0,29.45
2022-12-05 20:00:00,2022-12-05 21:00:00,134.75,442.35,4.07,31.35,19.98,7.51,5.43,0.71,14.21,6.38,14.27,7.52,5.21,2.71,64.1,1.33,44.06,0.0,945.5,0.0,27.59
2022-12-05 21:00:00,2022-12-05 22:00:00,108.48,289.86,0.64,26.74,14.75,1.86,5.42,0.67,16.98,4.49,13.42,6.12,4.49,2.25,68.92,1.33,41.57,0.0,945.79,0.0,28.92
2022-12-05 22:00:00,2022-12-05 23:00:00,208.95,280.97,0.71,22.84,12.73,1.98,5.5,0.65,18.64,3.55,12.76,1.57,2.08,1.28,70.14,1.83,41.78,0.0,945.99,0.0,26.77
2022-12-05 23:00:00,2022-12-06 00:00:00,264.12,410.43,0.83,24.35,13.63,2.17,5.45,0.68,16.23,4.15,12.34,0.84,1.53,1.02,73.67,1.54,70.76,0.0,945.74,0.0,25.85
2022-12-06 00:00:00,2022-12-06 01:00:00,329.82,380.43,4.76,26.22,17.82,8.66,5.0,0.65,12.25,6.5,12.36,1.21,2.73,1.67,79.26,0.63,163.49,0.0,945.42,0.0,22.47
2022-12-06 01:00:00,2022-12-06 02:00:00,200.59,480.85,9.49,29.62,23.47,16.45,4.95,0.79,9.07,6.99,12.32,7.62,5.92,2.45,81.8,0.69,150.41,0.0,945.14,0.0,21.89
2022-12-06 02:00:00,2022-12-06 03:00:00,35.89,377.93,2.71,26.75,16.43,5.27,5.0,0.59,15.58,7.18,11.37,12.64,7.59,3.22,82.63,0.56,149.21,0.0,944.7,0.0,25.59
2022-12-06 03:00:00,2022-12-06 04:00:00,,156.31,11.05,21.45,20.4,19.04,4.96,0.56,12.17,5.33,12.21,6.37,6.68,3.15,86.76,0.36,172.21,0.0,944.54,0.0,24.72
2022-12-06 04:00:00,2022-12-06 05:00:00,115.14,240.9,20.17,25.01,29.7,34.08,5.07,0.7,8.06,6.68,16.33,6.66,7.36,3.49,90.02,0.45,138.19,0.0,944.49,0.0,24.74
2022-12-06 05:00:00,2022-12-06 06:00:00,116.82,259.71,50.78,24.54,54.34,84.59,5.18,0.92,8.47,9.5,17.6,7.25,10.96,5.19,90.0,0.65,277.65,0.0,944.83,0.0,23.28
2022-12-06 06:00:00,2022-12-06 07:00:00,471.16,584.54,46.8,25.03,51.36,78.01,5.1,1.0,8.69,13.91,16.62,12.03,9.41,3.97,93.15,0.78,84.43,0.0,945.32,0.0,21.42
