From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm),Xylene (ug/m3),AT (degree C)
2023-01-12 15:00:00,2023-01-12 16:00:00,13.34,29.06,0.93,11.44,6.72,,8.72,0.62,6.42,,,,,47.93,0.68,210.12,160.6,0.0,,25.16
2023-01-12 16:00:00,2023-01-12 17:00:00,10.21,28.79,3.35,23.38,14.91,,9.02,0.59,12.07,,,,,51.77,0.67,238.65,42.65,0.0,,23.91
2023-01-12 17:00:00,2023-01-12 18:00:00,,33.29,14.11,64.73,45.14,,9.26,0.72,1.77,,,,,61.23,0.33,234.73,9.12,0.0,,21.89
2023-01-12 18:00:00,2023-01-12 19:00:00,0.68,47.15,29.62,61.17,56.23,,9.65,0.76,1.23,,,,,71.0,0.42,268.8,8.59,0.0,,20.14
2023-01-12 19:00:00,2023-01-12 20:00:00,1.04,65.8,10.57,47.43,33.26,,9.87,0.74,1.97,,,,,79.0,0.21,143.66,8.8,0.0,,19.02
2023-01-12 20:00:00,2023-01-12 21:00:00,,79.69,14.51,22.22,23.24,,12.76,0.64,,,,,,79.27,0.45,114.97,8.38,0.0,,18.79
2023-01-12 21:00:00,2023-01-12 22:00:00,,77.12,17.36,15.38,21.95,,15.14,0.78,,,,,,79.87,0.43,118.44,8.61,0.0,,18.47
2023-01-12 22:00:00,2023-01-12 23:00:00,,78.66,17.24,13.48,20.87,,16.6,0.69,0.02,,,,,83.8,0.35,117.55,8.76,0.0,,17.71
2023-01-12 23:00:00,2023-01-13 00:00:00,,71.59,17.55,12.07,20.38,,17.63,0.66,0.04,,,,,89.17,0.4,233.89,8.55,0.0,,17.06
2023-01-13 00:00:00,2023-01-13 01:00:00,,66.74,17.37,12.17,20.29,,5.58,0.76,0.01,,,,,95.27,0.32,225.14,8.68,0.0,,16.31
2023-01-13 01:00:00,2023-01-13 02:00:00,,67.68,20.45,11.37,22.34,,6.29,0.78,,,,,,96.45,0.47,75.2,8.86,0.0,,15.71
2023-01-13 02:00:00,2023-01-13 03:00:00,,58.54,24.14,10.66,24.93,,7.16,0.62,,,,,,97.76,0.42,201.56,8.66,0.0,,15.34
2023-01-13 03:00:00,2023-01-13 04:00:00,,53.13,25.31,9.89,25.46,,7.51,0.73,,,,,,98.67,0.32,202.33,8.66,0.0,,14.97
2023-01-13 04:00:00,2023-01-13 05:00:00,,47.61,25.16,9.36,25.07,,7.85,0.64,,,,,,99.05,0.37,138.08,8.95,0.0,,14.48
2023-01-13 05:00:00,2023-01-13 06:00:00,,40.71,21.78,9.16,22.25,,8.36,0.59,,,,,,97.78,0.36,107.02,8.55,0.0,,14.52
2023-01-13 06:00:00,2023-01-13 07:00:00,,41.04,19.1,9.26,20.15,,8.62,0.68,,,,,,98.28,0.3,106.71,25.3,0.0,,14.5
2023-01-13 07:00:00,2023-01-13 08:00:00,,40.55,17.95,9.17,19.18,,8.85,0.59,,,,,,93.64,0.31,142.62,91.65,0.0,,15.35
2023-01-13 08:00:00,2023-01-13 09:00:00,,37.47,17.57,9.34,18.96,,9.6,0.57,0.01,,,,,90.45,0.32,157.88,183.22,0.0,,16.47
2023-01-13 09:00:00,2023-01-13 10:00:00,,37.47,13.53,11.84,17.04,,9.0,0.66,0.31,,,,,86.23,0.62,249.72,322.1,0.0,,17.66
2023-01-13 10:00:00,2023-01-13 11:00:00,,35.77,3.07,21.61,13.75,,4.99,0.58,4.79,,,,,81.57,0.94,234.19,444.43,0.0,,18.9
2023-01-13 11:00:00,2023-01-13 12:00:00,,42.92,1.11,18.54,10.58,,5.82,0.58,4.15,,,,,69.58,0.61,233.84,492.03,0.0,,20.7
2023-01-13 12:00:00,2023-01-13 13:00:00,57.83,58.34,0.6,15.43,8.55,,6.59,0.59,7.34,,,,,61.69,0.81,246.82,501.76,0.0,,22.03
2023-01-13 13:00:00,2023-01-13 14:00:00,53.54,71.27,0.35,12.93,7.03,,6.07,0.54,18.81,,,,,58.79,0.81,246.28,469.51,0.0,,22.92
