From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2021-11-22 17:00:00,2021-11-22 18:00:00,182.75,675.0,28.1,29.82,38.7,43.5,2.78,1.38,0.5,,,,,,,,,,,,0.0,
2021-11-22 18:00:00,2021-11-22 19:00:00,264.25,940.0,34.53,25.0,41.38,48.53,2.82,2.23,0.9,,,,,,,,,,,,0.0,
2021-11-22 19:00:00,2021-11-22 20:00:00,339.5,951.0,39.73,25.15,45.68,51.0,2.73,0.66,0.75,,,,,,,,,,,,0.0,
2021-11-22 20:00:00,2021-11-22 21:00:00,339.75,901.0,19.0,17.98,25.02,50.45,2.77,0.11,1.05,,,,,,,,,,,,0.0,
2021-11-22 21:00:00,2021-11-22 22:00:00,288.5,731.0,22.18,14.65,25.83,44.23,3.48,,0.35,,,,,,,,,,,,0.0,
2021-11-22 22:00:00,2021-11-22 23:00:00,244.5,674.25,6.3,9.62,10.2,43.45,2.55,,1.2,,,,,,,,,,,,0.0,
2021-11-22 23:00:00,2021-11-23 00:00:00,229.25,568.0,3.33,8.43,7.2,45.0,2.27,,3.15,,,,,,,,,,,,0.0,
2021-11-23 00:00:00,2021-11-23 01:00:00,177.75,472.0,3.8,8.15,7.4,41.15,1.47,,2.17,,,,,,,,,,,,0.0,
2021-11-23 01:00:00,2021-11-23 02:00:00,83.5,679.0,5.78,9.45,9.73,42.35,0.58,,2.73,,,,,,,,,,,,0.0,
2021-11-23 02:00:00,2021-11-23 03:00:00,151.0,417.5,1.23,7.07,4.8,38.5,0.4,,6.72,,,,,,,,,,,,0.0,
2021-11-23 03:00:00,2021-11-23 04:00:00,117.75,297.5,1.4,6.25,4.48,32.17,0.68,,7.15,,,,,,,,,,,,0.0,
2021-11-23 04:00:00,2021-11-23 05:00:00,83.75,256.0,9.67,7.72,11.97,30.7,1.67,,0.48,,,,,,,,,,,,0.0,
2021-11-23 05:00:00,2021-11-23 06:00:00,35.75,,20.35,4.42,18.9,30.15,2.8,,0.1,,,,,,,,,,,,0.0,
2021-11-23 06:00:00,2021-11-23 07:00:00,116.25,503.25,20.95,5.05,19.7,27.67,3.53,,0.6,,,,,,,,,,,,0.0,
2021-11-23 07:00:00,2021-11-23 08:00:00,116.25,400.25,6.23,6.75,8.68,33.62,2.68,0.07,2.83,,,,,,,,,,,,0.0,
2021-11-23 08:00:00,2021-11-23 09:00:00,137.75,403.5,2.17,7.1,5.53,33.27,2.37,0.1,9.8,,,,,,,,,,,,0.0,
2021-11-23 09:00:00,2021-11-23 10:00:00,130.0,406.0,1.6,9.1,6.15,38.25,1.8,0.11,23.6,,,,,,,,,,,,0.0,
2021-11-23 10:00:00,2021-11-23 11:00:00,139.0,639.0,1.28,8.7,5.67,43.8,3.0,0.14,37.92,,,,,,,,,,,,0.0,
2021-11-23 11:00:00,2021-11-23 12:00:00,35.0,965.0,1.05,8.9,5.55,39.55,3.3,0.12,54.57,,,,,,,,,,,,0.0,
2021-11-23 12:00:00,2021-11-23 13:00:00,115.0,343.75,0.5,6.05,3.62,37.3,3.5,0.05,64.62,,,,,,,,,,,,0.0,
2021-11-23 13:00:00,2021-11-23 14:00:00,114.75,339.0,0.85,4.4,3.05,34.75,4.67,0.0,66.92,,,,,,,,,,,,0.0,
2021-11-23 14:00:00,2021-11-23 15:00:00,93.0,355.0,0.82,5.3,3.48,33.05,4.92,0.04,62.77,,,,,,,,,,,,0.0,
2021-11-23 15:00:00,2021-11-23 16:00:00,32.75,,0.82,7.75,4.8,33.7,4.65,0.14,45.07,,,,,,,,,,,,0.0,
2021-11-23 16:00:00,2021-11-23 17:00:00,127.0,407.25,2.52,19.8,12.6,34.9,3.8,0.42,13.03,,,,,,,,,,,,0.0,
2021-11-23 17:00:00,2021-11-23 18:00:00,146.75,446.75,18.1,28.35,29.78,39.77,2.18,1.12,1.2,,,,,,,,,,,,0.0,
2021-11-23 18:00:00,2021-11-23 19:00:00,216.5,530.5,9.38,24.32,20.58,54.22,1.58,1.47,1.78,,,,,,,,,,,,0.0,
2021-11-23 19:00:00,2021-11-23 20:00:00,341.0,654.75,16.33,23.42,25.73,44.73,2.02,0.42,1.65,,,,,,,,,,,,0.0,
2021-11-23 20:00:00,2021-11-23 21:00:00,218.0,425.25,6.1,21.17,16.23,44.27,1.52,,4.1,,,,,,,,,,,,0.0,
2021-11-23 21:00:00,2021-11-23 22:00:00,193.25,371.5,5.58,16.85,13.5,41.9,2.85,,3.8,,,,,,,,,,,,0.0,
2021-11-23 22:00:00,2021-11-23 23:00:00,200.75,388.5,3.38,12.35,9.3,42.5,2.78,,5.33,,,,,,,,,,,,0.0,
2021-11-23 23:00:00,2021-11-24 00:00:00,190.75,324.0,3.7,10.32,8.53,41.38,2.83,,3.38,,,,,,,,,,,,0.0,
2021-11-24 00:00:00,2021-11-24 01:00:00,190.0,276.5,8.75,11.12,13.03,41.77,2.88,,0.4,,,,,,,,,,,,0.0,
