From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-03-05 16:00:00,2021-03-05 17:00:00,68.27,143.0,2.4,35.72,38.13,12.82,23.12,0.45,100.98,0.93,,0.39,1.84,58.72,,171.42,240.64,,,40.16,
2021-03-05 17:00:00,2021-03-05 18:00:00,45.2,122.86,3.45,49.79,53.25,15.74,21.71,0.62,72.2,0.78,,0.6,1.64,72.27,,78.15,94.52,,,38.57,
2021-03-05 18:00:00,2021-03-05 19:00:00,43.15,127.7,33.58,113.36,146.94,14.2,19.48,1.18,20.66,0.81,,0.86,0.61,79.32,,33.7,14.14,,,35.65,
2021-03-05 19:00:00,2021-03-05 20:00:00,52.85,157.48,92.34,130.81,223.05,14.21,21.76,2.0,2.48,1.05,,1.25,1.45,95.08,,35.95,,,,33.09,
2021-03-05 20:00:00,2021-03-05 21:00:00,66.3,189.78,49.73,115.76,165.53,14.36,21.68,1.43,2.3,1.36,,0.64,4.56,99.9,,175.23,,,,31.86,
2021-03-05 21:00:00,2021-03-05 22:00:00,72.83,172.56,37.95,96.02,133.98,15.33,19.48,1.16,1.77,1.41,,1.92,4.15,99.9,,161.85,,,,30.9,
2021-03-05 22:00:00,2021-03-05 23:00:00,70.15,175.06,61.71,103.72,165.49,15.23,19.49,1.41,0.25,1.6,,2.07,3.26,99.9,,185.55,,,,30.16,
2021-03-05 23:00:00,2021-03-06 00:00:00,88.5,197.94,225.41,129.98,355.35,17.76,24.72,2.41,0.34,2.11,,0.74,4.04,99.9,8.0,122.92,,,,29.36,
2021-03-06 00:00:00,2021-03-06 01:00:00,132.3,350.42,363.03,175.38,,16.91,26.89,2.71,0.45,2.57,,3.42,3.89,99.9,1.0,262.67,,,,28.64,
2021-03-06 01:00:00,2021-03-06 02:00:00,157.05,410.17,171.91,201.01,284.23,16.77,23.44,1.43,0.03,2.98,,6.21,10.37,99.9,1.92,210.52,,,,28.22,
2021-03-06 02:00:00,2021-03-06 03:00:00,122.5,224.43,113.56,92.61,206.13,18.71,21.59,1.1,0.38,3.36,,6.63,10.44,99.9,1.8,190.93,,,,28.19,
2021-03-06 03:00:00,2021-03-06 04:00:00,109.65,262.26,87.76,71.84,159.58,18.3,22.17,0.96,0.07,3.77,,6.64,10.02,99.9,1.92,198.87,,,,27.98,
2021-03-06 04:00:00,2021-03-06 05:00:00,129.7,216.75,107.44,66.53,173.99,20.7,24.42,1.12,0.16,3.87,,6.43,9.86,99.9,1.64,171.3,,,,27.84,
2021-03-06 05:00:00,2021-03-06 06:00:00,126.5,218.72,63.07,57.63,120.7,18.55,22.84,0.78,0.13,3.87,,6.3,9.64,99.9,1.9,181.06,,,,27.7,
2021-03-06 06:00:00,2021-03-06 07:00:00,106.6,197.22,64.38,59.51,123.88,17.26,23.05,1.06,0.04,3.5,,5.46,8.87,99.9,1.44,160.91,,,,27.48,
2021-03-06 07:00:00,2021-03-06 08:00:00,134.55,193.42,166.74,47.44,214.33,18.13,21.89,1.98,0.32,3.42,,4.74,8.01,99.9,1.14,168.34,14.56,,,27.51,
2021-03-06 08:00:00,2021-03-06 09:00:00,154.2,301.94,78.11,69.98,148.12,19.32,20.86,1.48,0.38,3.45,,4.68,8.02,99.9,2.81,265.0,61.25,,,30.68,
2021-03-06 09:00:00,2021-03-06 10:00:00,155.4,261.72,54.71,70.86,125.53,15.92,18.6,1.23,4.65,3.36,,4.23,7.52,99.9,,164.43,253.0,,,34.67,
2021-03-06 10:00:00,2021-03-06 11:00:00,109.55,181.33,17.24,33.15,50.39,14.19,16.41,0.7,19.09,2.89,,2.13,1.97,99.9,,69.97,405.13,,,34.89,
2021-03-06 11:00:00,2021-03-06 12:00:00,72.3,145.86,10.9,39.93,50.83,16.04,17.12,0.73,26.07,1.91,,1.77,1.71,99.9,,126.8,529.95,,,35.89,
2021-03-06 12:00:00,2021-03-06 13:00:00,74.82,178.86,9.62,55.91,65.52,21.43,15.23,0.82,47.45,1.7,,1.25,2.53,96.53,,127.29,572.86,,,38.2,
2021-03-06 13:00:00,2021-03-06 14:00:00,86.67,187.0,5.76,47.78,53.55,22.32,14.93,0.98,88.11,1.67,,1.03,2.3,93.97,,127.56,556.67,,,39.62,
2021-03-06 14:00:00,2021-03-06 15:00:00,94.1,193.47,6.82,52.43,59.27,21.36,14.05,1.0,50.34,2.06,,0.55,2.35,99.9,,127.94,470.22,,,39.12,
2021-03-06 15:00:00,2021-03-06 16:00:00,92.05,182.95,6.47,43.38,49.84,20.57,13.88,0.76,66.59,1.37,,0.68,1.62,99.33,,217.27,376.79,,,38.54,
2021-03-06 16:00:00,2021-03-06 17:00:00,79.25,158.25,5.27,50.57,55.84,17.1,14.59,0.56,66.74,1.07,,0.35,1.76,93.71,,211.52,246.16,,,38.02,
2021-03-06 17:00:00,2021-03-06 18:00:00,67.6,141.68,11.69,65.82,77.55,18.2,13.66,0.53,33.23,0.94,,0.8,0.93,99.17,,78.34,102.98,,,36.33,
2021-03-06 18:00:00,2021-03-06 19:00:00,53.87,145.44,12.5,66.05,78.55,19.73,12.41,0.67,18.69,0.93,,1.38,0.15,99.9,,32.29,17.02,,,33.5,
2021-03-06 19:00:00,2021-03-06 20:00:00,57.05,146.19,75.1,74.76,149.86,23.17,15.88,1.39,2.01,0.92,,1.44,0.56,99.9,,82.29,,,,31.38,
