From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-11-20 12:00:00,2020-11-20 13:00:00,46.67,76.38,9.8,19.79,29.59,0.81,28.25,1.91,,,1.1,
2020-11-20 13:00:00,2020-11-20 14:00:00,38.48,63.6,9.65,19.48,29.13,0.78,34.25,1.33,,,0.7,
2020-11-20 14:00:00,2020-11-20 15:00:00,30.84,51.65,10.75,21.67,32.41,0.91,34.25,1.42,,,0.62,
2020-11-20 15:00:00,2020-11-20 16:00:00,33.17,55.28,12.75,25.69,38.45,1.1,42.25,2.23,,,0.77,
2020-11-20 16:00:00,2020-11-20 17:00:00,45.57,74.65,11.21,22.59,33.8,0.95,30.5,2.44,,,1.29,
2020-11-20 17:00:00,2020-11-20 18:00:00,27.75,46.6,7.88,15.73,23.51,0.61,25.67,0.4,,,0.23,
2020-11-20 18:00:00,2020-11-20 19:00:00,40.3,71.95,7.33,14.22,21.25,0.53,21.75,0.56,,,0.28,
2020-11-20 19:00:00,2020-11-20 20:00:00,55.18,89.65,10.02,20.21,30.23,0.76,14.0,1.31,,,0.98,
2020-11-20 20:00:00,2020-11-20 21:00:00,47.22,76.56,,,,,4.0,0.0,,,,
2020-11-20 21:00:00,2020-11-20 22:00:00,47.43,77.51,12.31,24.8,37.11,1.05,10.0,1.96,,,2.87,
2020-11-20 22:00:00,2020-11-20 23:00:00,40.89,67.41,10.81,21.81,32.63,0.92,5.5,3.13,,,4.27,
2020-11-20 23:00:00,2020-11-21 00:00:00,32.64,54.48,9.52,19.22,28.74,0.77,5.0,3.21,,,4.98,
2020-11-21 00:00:00,2020-11-21 01:00:00,31.34,52.44,9.62,19.41,29.02,0.8,5.0,2.96,,,7.73,
2020-11-21 01:00:00,2020-11-21 02:00:00,26.82,45.44,9.13,18.44,27.57,0.75,4.75,2.69,,,4.48,
2020-11-21 02:00:00,2020-11-21 03:00:00,27.95,47.18,9.57,19.33,28.9,0.78,5.0,3.04,,,5.76,
2020-11-21 03:00:00,2020-11-21 04:00:00,39.24,64.77,8.74,17.66,26.41,0.7,4.75,3.01,,,5.97,
2020-11-21 04:00:00,2020-11-21 05:00:00,32.8,54.74,8.3,16.79,25.1,0.66,4.5,2.91,,,8.2,
2020-11-21 05:00:00,2020-11-21 06:00:00,33.44,55.66,8.43,17.03,25.46,0.67,4.5,3.69,,,12.27,
2020-11-21 06:00:00,2020-11-21 07:00:00,47.11,77.05,8.44,17.05,25.49,0.67,5.0,3.44,,,8.24,
2020-11-21 07:00:00,2020-11-21 08:00:00,,,,,,,,,,,,
2020-11-21 08:00:00,2020-11-21 09:00:00,,,,,,,,,,,,
2020-11-21 09:00:00,2020-11-21 10:00:00,,,,,,,,,,,,
2020-11-21 10:00:00,2020-11-21 11:00:00,,,,,,,,,,,,
2020-11-21 11:00:00,2020-11-21 12:00:00,,,,,,,,,,,,
2020-11-21 12:00:00,2020-11-21 13:00:00,,,,,,,,,,,,
2020-11-21 13:00:00,2020-11-21 14:00:00,,,,,,,,,,,,
2020-11-21 14:00:00,2020-11-21 15:00:00,,,,,,,,,,,,
2020-11-21 15:00:00,2020-11-21 16:00:00,,,,,,,,,,,,
2020-11-21 16:00:00,2020-11-21 17:00:00,,,,,,,,,,,,
2020-11-21 17:00:00,2020-11-21 18:00:00,,,,,,,,,,,,
2020-11-21 18:00:00,2020-11-21 19:00:00,,,,,,,,,,,,
2020-11-21 19:00:00,2020-11-21 20:00:00,,,,,,,,,,,,
2020-11-21 20:00:00,2020-11-21 21:00:00,,,,,,,,,,,,
2020-11-21 21:00:00,2020-11-21 22:00:00,,,,,,,,,,,,
2020-11-21 22:00:00,2020-11-21 23:00:00,,,,,,,,,,,,
2020-11-21 23:00:00,2020-11-22 00:00:00,,,,,,,,,,,,
2020-11-22 00:00:00,2020-11-22 01:00:00,,,,,,,,,,,,
2020-11-22 01:00:00,2020-11-22 02:00:00,,,,,,,,,,,,
2020-11-22 02:00:00,2020-11-22 03:00:00,,,,,,,,,,,,
2020-11-22 03:00:00,2020-11-22 04:00:00,,,,,,,,,,,,
2020-11-22 04:00:00,2020-11-22 05:00:00,,,,,,,,,,,,
2020-11-22 05:00:00,2020-11-22 06:00:00,,,,,,,,,,,,
2020-11-22 06:00:00,2020-11-22 07:00:00,,,,,,,,,,,,
2020-11-22 07:00:00,2020-11-22 08:00:00,,,,,,,,,,,,
2020-11-22 08:00:00,2020-11-22 09:00:00,,,,,,,,,,,,
2020-11-22 09:00:00,2020-11-22 10:00:00,,,,,,,,,,,,
2020-11-22 10:00:00,2020-11-22 11:00:00,,,,,,,,,,,,
2020-11-22 11:00:00,2020-11-22 12:00:00,,,,,,,,,,,,
2020-11-22 12:00:00,2020-11-22 13:00:00,,,,,,,,,,,,
2020-11-22 13:00:00,2020-11-22 14:00:00,,,,,,,,,,,,
2020-11-22 14:00:00,2020-11-22 15:00:00,,,,,,,,,,,,
2020-11-22 15:00:00,2020-11-22 16:00:00,,,,,,,,,,,,
2020-11-22 16:00:00,2020-11-22 17:00:00,,,,,,,,,,,,
2020-11-22 17:00:00,2020-11-22 18:00:00,,,,,,,,,,,,
2020-11-22 18:00:00,2020-11-22 19:00:00,,,,,,,,,,,,
2020-11-22 19:00:00,2020-11-22 20:00:00,,,,,,,,,,,,
2020-11-22 20:00:00,2020-11-22 21:00:00,,,,,,,,,,,,
2020-11-22 21:00:00,2020-11-22 22:00:00,,,,,,,,,,,,
2020-11-22 22:00:00,2020-11-22 23:00:00,,,,,,,,,,,,
2020-11-22 23:00:00,2020-11-23 00:00:00,,,,,,,,,,,,
2020-11-23 00:00:00,2020-11-23 01:00:00,,,,,,,,,,,,
2020-11-23 01:00:00,2020-11-23 02:00:00,,,,,,,,,,,,
