From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-17 14:00:00,2021-07-17 15:00:00,4.0,6.0,0.8,8.6,5.2,14.5,6.2,0.22,57.7,2.2,172.8,,17.6,,85.0,0.3,151.0,33.0,7.1,29.4,0.0
2021-07-17 15:00:00,2021-07-17 16:00:00,3.5,5.25,0.27,7.22,4.0,10.08,5.17,0.32,59.93,1.55,135.7,4.93,13.2,,83.5,0.38,156.75,46.5,4.42,29.45,0.0
2021-07-17 16:00:00,2021-07-17 17:00:00,3.0,4.75,0.15,5.47,3.02,8.47,4.82,0.3,56.15,0.78,79.5,3.05,7.12,,82.5,0.25,208.5,42.5,2.8,29.55,0.0
2021-07-17 17:00:00,2021-07-17 18:00:00,3.0,6.0,0.1,5.22,2.85,7.62,4.53,0.29,46.23,0.67,70.38,2.15,5.88,,82.25,0.27,239.0,26.5,2.27,29.65,0.0
2021-07-17 18:00:00,2021-07-17 19:00:00,3.67,6.33,0.3,7.2,4.08,7.03,4.25,0.41,46.83,0.93,67.28,2.42,6.57,,84.25,0.17,126.75,12.0,2.73,29.58,0.0
2021-07-17 19:00:00,2021-07-17 20:00:00,10.5,17.0,0.28,8.12,4.53,7.2,4.62,0.49,41.63,1.18,70.78,3.12,7.15,,85.0,0.1,247.5,10.5,2.82,29.5,0.0
2021-07-17 20:00:00,2021-07-17 21:00:00,15.75,21.5,0.5,9.78,5.58,7.08,4.92,0.55,34.43,1.32,70.22,3.12,6.85,,85.5,0.15,166.25,10.25,2.85,29.4,0.0
2021-07-17 21:00:00,2021-07-17 22:00:00,21.0,23.5,0.6,9.0,5.3,8.45,4.47,0.5,40.3,1.28,69.67,2.82,6.43,,86.0,0.12,301.25,10.25,2.67,29.48,0.0
2021-07-17 22:00:00,2021-07-17 23:00:00,16.0,20.75,0.2,6.55,3.62,9.1,4.45,0.39,44.57,0.97,70.78,1.98,5.65,,85.0,0.18,197.0,10.25,2.35,29.45,0.0
2021-07-17 23:00:00,2021-07-18 00:00:00,13.5,16.75,0.1,5.42,2.9,9.45,3.57,0.34,38.87,0.88,68.17,2.05,5.15,,85.0,0.12,228.75,10.25,1.92,29.4,0.0
