From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-11-23 15:00:00,2022-11-23 16:00:00,12.5,61.0,0.1,2.95,1.6,32.6,6.7,,55.5,,,,,,29.9,35.0,1.4,182.5,14.0,27.45,0.0
2022-11-23 16:00:00,2022-11-23 17:00:00,20.0,85.5,0.1,5.9,3.25,32.65,6.28,0.2,34.2,,,,,,25.33,42.0,1.1,178.25,14.0,25.88,0.0
2022-11-23 17:00:00,2022-11-23 18:00:00,49.5,220.25,5.12,12.18,10.65,37.93,6.22,1.59,5.72,,,,,,21.77,54.25,0.7,217.25,14.0,23.3,0.0
2022-11-23 18:00:00,2022-11-23 19:00:00,181.75,477.75,16.15,13.97,20.55,42.88,7.1,2.92,1.97,,,,,,21.38,64.0,0.7,205.67,14.0,21.62,0.0
2022-11-23 19:00:00,2022-11-23 20:00:00,235.75,574.25,16.05,14.28,20.65,45.85,7.35,1.86,1.38,,,,,,21.85,70.5,1.2,152.0,14.0,20.25,0.0
2022-11-23 20:00:00,2022-11-23 21:00:00,172.75,364.75,6.95,12.27,12.15,39.32,6.22,0.91,0.65,,,,,,25.38,68.75,1.0,150.0,14.0,19.93,0.0
2022-11-23 21:00:00,2022-11-23 22:00:00,138.25,247.25,4.45,7.5,7.6,37.85,6.58,1.0,0.57,,,,,,28.45,72.0,0.7,140.5,14.0,19.1,0.0
2022-11-23 22:00:00,2022-11-23 23:00:00,148.5,276.25,4.72,4.03,6.0,38.25,5.6,1.37,0.28,,,,,,28.8,76.25,0.82,134.75,14.0,18.57,0.0
2022-11-23 23:00:00,2022-11-24 00:00:00,163.5,311.75,1.0,1.12,1.17,37.3,5.05,0.79,0.2,,,,,,28.67,78.0,0.95,161.5,14.0,17.95,0.0
2022-11-24 00:00:00,2022-11-24 01:00:00,119.25,190.25,,0.3,,35.52,4.28,0.39,0.12,,,,,,23.77,78.0,0.9,172.75,14.0,17.62,0.0
2022-11-24 01:00:00,2022-11-24 02:00:00,99.5,136.75,0.15,0.13,0.1,35.0,4.02,0.25,,,,,,,21.75,77.25,0.85,166.0,14.0,17.27,0.0
2022-11-24 02:00:00,2022-11-24 03:00:00,81.0,112.25,0.1,,0.0,34.52,4.47,0.12,0.8,,,,,,22.17,73.25,0.95,196.75,14.0,17.48,0.0
2022-11-24 03:00:00,2022-11-24 04:00:00,56.5,81.0,0.1,,0.0,33.62,3.88,,1.25,,,,,,21.68,73.75,1.02,219.25,14.0,17.35,0.0
2022-11-24 04:00:00,2022-11-24 05:00:00,41.0,59.0,0.1,,,33.5,9.45,,1.45,,,,,,23.83,75.0,1.27,222.0,14.0,17.05,0.0
2022-11-24 05:00:00,2022-11-24 06:00:00,42.5,61.5,0.1,0.1,0.07,34.32,19.07,,1.58,,,,,,27.75,77.75,1.2,204.75,14.0,16.65,0.0
2022-11-24 06:00:00,2022-11-24 07:00:00,56.5,91.5,,,,35.05,34.73,0.07,3.3,,,,,,28.1,75.5,1.3,221.25,14.0,17.38,0.0
2022-11-24 07:00:00,2022-11-24 08:00:00,71.75,124.0,,,,36.1,45.5,0.03,7.58,,,,,,28.13,68.25,1.27,216.75,14.0,19.28,0.0
2022-11-24 08:00:00,2022-11-24 09:00:00,89.5,162.25,0.23,,,35.95,27.67,0.01,18.7,,,,,,25.62,63.25,1.57,204.0,14.0,21.52,0.0
2022-11-24 09:00:00,2022-11-24 10:00:00,73.25,126.0,0.3,,,35.12,18.88,,30.62,,,,,,22.07,54.0,1.65,222.5,14.0,23.78,0.0
2022-11-24 10:00:00,2022-11-24 11:00:00,50.5,88.75,0.38,,,33.75,14.23,,41.28,,,,,,23.27,44.75,2.08,231.5,14.0,25.6,0.0
2022-11-24 11:00:00,2022-11-24 12:00:00,29.75,64.5,0.47,,,32.62,10.5,,44.5,,,,,,24.03,40.0,2.02,229.25,14.0,26.93,0.0
2022-11-24 12:00:00,2022-11-24 13:00:00,26.75,70.0,0.47,,,32.67,8.68,,50.35,,,,,,26.25,37.25,2.27,215.75,13.0,27.53,0.0
2022-11-24 13:00:00,2022-11-24 14:00:00,19.0,70.75,0.45,,,32.73,7.08,,48.27,,,,,,29.6,36.75,2.15,229.75,14.0,27.95,0.0
2022-11-24 14:00:00,2022-11-24 15:00:00,20.25,65.75,0.55,,,32.85,6.57,,48.23,,,,,,30.0,37.0,1.98,218.25,14.0,28.05,0.0
2022-11-24 15:00:00,2022-11-24 16:00:00,22.0,78.25,0.5,,,32.67,6.12,,48.12,,,,,,30.1,39.0,1.85,198.5,14.0,27.43,0.0
2022-11-24 16:00:00,2022-11-24 17:00:00,19.5,91.5,0.42,,,35.0,6.43,,29.97,,,,,,27.0,46.25,1.38,190.25,14.0,25.68,0.0
2022-11-24 17:00:00,2022-11-24 18:00:00,66.5,202.75,0.1,,,33.55,5.3,0.21,11.38,,,,,,21.73,53.5,1.0,179.75,14.0,23.7,0.0
2022-11-24 18:00:00,2022-11-24 19:00:00,79.5,293.25,0.2,,,35.88,5.55,0.49,7.25,,,,,,21.57,59.75,0.93,187.5,14.0,22.6,0.0
2022-11-24 19:00:00,2022-11-24 20:00:00,92.5,276.75,,,,36.17,5.62,1.14,1.95,,,,,,21.88,67.75,0.97,221.75,14.0,21.23,0.0
2022-11-24 20:00:00,2022-11-24 21:00:00,108.5,288.0,,,,38.42,6.8,1.59,1.82,,,,,,23.53,68.25,0.88,287.5,14.0,20.58,0.0
2022-11-24 21:00:00,2022-11-24 22:00:00,91.25,208.0,0.1,,,37.2,8.7,1.04,3.73,,,,,,28.0,69.25,1.0,250.0,14.0,20.35,0.0
2022-11-24 22:00:00,2022-11-24 23:00:00,72.0,165.75,0.1,,,35.02,7.55,0.78,3.25,,,,,,28.55,71.75,1.05,208.75,14.0,19.82,0.0
2022-11-24 23:00:00,2022-11-25 00:00:00,70.0,125.0,0.1,,,35.25,6.08,0.8,0.2,,,,,,28.6,77.75,1.05,178.25,14.0,18.73,0.0
2022-11-25 00:00:00,2022-11-25 01:00:00,75.5,140.0,0.1,,,35.25,6.05,0.62,0.43,,,,,,26.02,77.75,1.05,177.5,14.0,18.4,0.0
2022-11-25 01:00:00,2022-11-25 02:00:00,62.5,98.25,0.15,,0.1,34.33,4.92,0.47,0.95,,,,,,21.8,78.75,1.12,176.75,14.0,17.75,0.0
2022-11-25 02:00:00,2022-11-25 03:00:00,49.5,66.0,,,,33.33,4.6,0.27,2.92,,,,,,21.77,74.75,1.1,222.75,14.0,18.05,0.0
2022-11-25 03:00:00,2022-11-25 04:00:00,32.0,47.75,,,,33.0,5.55,0.26,2.45,,,,,,21.78,77.75,1.48,298.75,14.0,17.5,0.0
2022-11-25 04:00:00,2022-11-25 05:00:00,30.25,43.75,,,,33.5,12.68,0.26,2.95,,,,,,22.88,77.75,1.23,254.25,14.0,17.3,0.0
2022-11-25 05:00:00,2022-11-25 06:00:00,38.75,58.5,,,,33.62,12.37,0.4,2.58,,,,,,27.35,75.5,0.95,211.75,14.0,17.45,0.0
2022-11-25 06:00:00,2022-11-25 07:00:00,60.0,104.5,,,,32.55,18.48,0.5,2.6,,,,,,28.07,76.0,1.25,193.25,14.0,17.5,0.0
2022-11-25 07:00:00,2022-11-25 08:00:00,64.0,111.5,,,,35.3,21.8,0.41,8.6,,,,,,28.13,72.5,1.62,213.0,14.0,19.45,0.0
2022-11-25 08:00:00,2022-11-25 09:00:00,61.0,102.0,0.2,,,35.77,24.75,0.43,21.85,,,,,,26.17,66.25,2.15,219.75,14.0,21.95,0.0
2022-11-25 09:00:00,2022-11-25 10:00:00,60.25,102.25,0.25,,,34.75,14.92,0.37,33.42,,,,,,22.18,56.5,2.33,225.25,14.0,24.07,0.0
2022-11-25 10:00:00,2022-11-25 11:00:00,39.75,88.25,0.35,,,34.05,12.05,0.35,39.65,,,,,,22.75,51.5,2.25,227.5,14.0,25.62,0.0
2022-11-25 11:00:00,2022-11-25 12:00:00,33.75,88.0,0.52,,,33.53,10.3,0.34,43.45,,,,,,23.42,46.0,2.62,232.0,14.0,26.8,0.0
2022-11-25 12:00:00,2022-11-25 13:00:00,25.0,68.25,0.38,,,33.2,9.0,0.33,45.48,,,,,,25.05,41.75,2.4,226.75,13.5,27.7,0.0
2022-11-25 13:00:00,2022-11-25 14:00:00,23.75,71.75,0.47,,,32.62,7.7,0.26,46.58,,,,,,29.3,38.5,2.15,206.25,14.0,28.4,0.0
2022-11-25 14:00:00,2022-11-25 15:00:00,14.0,68.5,0.43,,,32.58,6.68,0.28,44.85,,,,,,29.98,36.25,2.15,219.5,14.0,28.52,0.0
