From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-26 15:00:00,2022-05-26 16:00:00,72.72,89.08,6.96,13.93,,20.42,11.46,0.3,36.32,0.99,3.99,2.94,2.04,,56.56,,2.15,43.94,2.05,23.18,0.0
2022-05-26 16:00:00,2022-05-26 17:00:00,33.79,108.64,7.19,14.04,21.27,20.28,8.97,0.39,13.92,1.0,4.0,3.0,2.02,,75.54,,1.19,73.13,1.95,17.0,0.0
2022-05-26 17:00:00,2022-05-26 18:00:00,92.95,115.16,7.06,13.82,21.34,19.78,9.09,0.38,25.8,1.0,3.98,3.03,1.98,,64.54,,2.42,25.61,2.0,18.55,0.0
2022-05-26 18:00:00,2022-05-26 19:00:00,,,6.89,14.03,20.7,19.82,7.7,0.43,8.85,0.99,4.0,2.98,1.98,,58.48,,1.53,9.94,1.98,19.37,0.0
2022-05-26 19:00:00,2022-05-26 20:00:00,,,7.16,14.21,21.27,19.62,7.29,0.47,4.47,1.0,4.02,3.02,1.96,,55.04,,0.91,1.83,2.02,19.8,0.0
2022-05-26 20:00:00,2022-05-26 21:00:00,62.91,75.52,6.93,14.21,20.58,19.99,9.33,0.58,0.61,1.0,4.02,2.97,2.0,,59.04,,0.45,1.96,1.99,19.21,0.0
2022-05-26 21:00:00,2022-05-26 22:00:00,70.82,75.28,7.26,13.78,21.29,20.18,7.08,0.63,,1.01,3.98,3.02,2.02,,66.14,,0.36,1.71,2.03,18.07,0.0
2022-05-26 22:00:00,2022-05-26 23:00:00,46.33,61.76,7.12,14.39,20.82,20.4,8.05,0.7,,1.0,4.04,2.99,2.04,,58.41,,0.54,1.88,2.0,19.05,0.0
2022-05-26 23:00:00,2022-05-27 00:00:00,26.09,53.6,6.89,14.32,20.66,19.83,9.12,0.68,0.17,1.0,4.04,2.98,1.98,,59.32,,1.15,1.66,2.02,18.74,0.0
2022-05-27 00:00:00,2022-05-27 01:00:00,29.45,44.76,7.06,13.9,20.59,20.05,3.97,0.41,0.36,1.0,3.99,2.97,2.0,,51.2,,0.96,1.73,1.99,19.4,0.0
