From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2021-12-16 15:00:00,2021-12-16 16:00:00,74.0,172.0,0.9,50.8,27.8,52.6,60.6,1.08,86.7,,,,,,44.0,0.2,6.0,20.0,,,0.0,25.4
2021-12-16 16:00:00,2021-12-16 17:00:00,76.0,173.5,0.85,44.95,24.6,51.43,57.38,1.19,70.4,,,,,,48.5,0.1,327.0,11.75,,,0.0,24.95
2021-12-16 17:00:00,2021-12-16 18:00:00,101.75,270.75,56.17,113.97,106.27,62.7,55.17,2.87,7.45,,,,,,57.25,0.1,288.0,8.0,,,0.0,24.25
2021-12-16 18:00:00,2021-12-16 19:00:00,170.75,564.75,57.02,112.58,106.22,68.2,53.93,2.82,6.08,,,,,,64.25,0.1,,8.25,,,0.0,23.45
2021-12-16 19:00:00,2021-12-16 20:00:00,168.5,394.75,24.12,104.12,74.97,72.42,51.95,2.09,13.55,,,,,,68.0,0.1,296.0,8.75,,,0.0,23.02
2021-12-16 20:00:00,2021-12-16 21:00:00,191.75,330.25,18.12,124.32,80.88,87.05,51.35,2.18,9.65,,,,,,72.0,0.1,333.0,8.5,,,0.0,22.95
2021-12-16 21:00:00,2021-12-16 22:00:00,232.75,352.75,6.55,105.23,61.3,85.15,51.0,1.31,21.23,,,,,,69.5,0.1,239.67,8.5,,,0.0,22.98
2021-12-16 22:00:00,2021-12-16 23:00:00,191.25,256.75,0.95,81.05,43.9,77.05,50.45,0.89,23.77,,,,,,69.5,0.1,242.0,8.75,,,0.0,22.55
2021-12-16 23:00:00,2021-12-17 00:00:00,188.25,255.0,1.53,74.72,41.0,72.45,50.33,0.97,18.57,,,,,,72.0,0.1,101.0,9.0,,,0.0,22.4
2021-12-17 00:00:00,2021-12-17 01:00:00,189.5,261.5,2.72,60.8,34.55,66.85,50.12,1.25,21.05,,,,,,73.75,0.1,254.33,9.0,,,0.0,22.25
2021-12-17 01:00:00,2021-12-17 02:00:00,189.75,260.0,3.82,63.58,36.95,68.67,50.22,1.36,16.8,,,,,,76.25,0.1,107.5,9.0,,,0.0,22.1
2021-12-17 02:00:00,2021-12-17 03:00:00,190.25,266.0,0.93,55.7,30.35,70.5,50.27,1.44,14.95,,,,,,79.25,0.1,194.0,9.0,,,0.0,21.85
2021-12-17 03:00:00,2021-12-17 04:00:00,214.0,275.0,1.02,58.95,32.2,72.42,49.8,1.3,10.25,,,,,,82.75,0.1,,9.0,,,0.0,21.73
2021-12-17 04:00:00,2021-12-17 05:00:00,206.75,266.5,2.88,83.62,46.8,79.9,49.7,1.01,9.7,,,,,,82.25,0.1,118.0,9.0,,,0.0,21.65
2021-12-17 05:00:00,2021-12-17 06:00:00,197.5,270.25,10.12,86.17,54.08,75.92,49.45,1.04,4.53,,,,,,84.25,0.1,198.5,9.0,,,0.0,21.58
2021-12-17 06:00:00,2021-12-17 07:00:00,217.75,356.25,37.72,92.07,79.65,76.55,49.7,1.29,2.08,,,,,,85.0,0.1,206.33,11.75,,,0.0,21.52
2021-12-17 07:00:00,2021-12-17 08:00:00,251.25,558.0,48.05,95.58,89.95,79.95,50.25,1.76,4.63,,,,,,79.5,0.17,230.5,24.75,,,0.0,21.93
2021-12-17 08:00:00,2021-12-17 09:00:00,274.0,546.25,2.07,66.77,37.2,74.0,50.2,1.56,34.5,,,,,,73.0,0.33,270.25,48.5,,,0.0,22.6
2021-12-17 09:00:00,2021-12-17 10:00:00,265.25,347.5,0.7,65.1,35.15,75.75,50.9,1.43,52.6,,,,,,64.75,0.3,276.5,62.5,,,0.0,23.58
2021-12-17 10:00:00,2021-12-17 11:00:00,250.5,331.5,0.67,56.88,30.8,69.97,51.53,1.27,76.0,,,,,,56.25,0.3,270.5,112.5,,,0.0,24.52
2021-12-17 11:00:00,2021-12-17 12:00:00,186.0,273.5,0.65,53.5,28.98,66.05,53.42,0.8,85.92,,,,,,49.25,0.42,107.5,170.75,,,0.0,25.35
