From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2021-01-12 14:00:00,2021-01-12 15:00:00,36.26,64.75,,,,1.13,28.0,0.0,,,,
2021-01-12 15:00:00,2021-01-12 16:00:00,59.47,103.74,,,,6.17,17.67,0.0,,,,
2021-01-12 16:00:00,2021-01-12 17:00:00,65.6,118.88,,,,2.36,18.0,0.0,,,,
2021-01-12 17:00:00,2021-01-12 18:00:00,45.38,81.04,,,,2.28,16.5,0.0,,,,
2021-01-12 18:00:00,2021-01-12 19:00:00,47.23,84.0,,,,3.19,17.5,0.0,,,,
2021-01-12 19:00:00,2021-01-12 20:00:00,58.3,102.19,18.11,24.3,42.41,1.59,20.75,0.06,,,0.06,
2021-01-12 20:00:00,2021-01-12 21:00:00,67.08,119.77,17.8,23.55,41.35,1.0,25.75,0.52,,,1.16,
2021-01-12 21:00:00,2021-01-12 22:00:00,75.55,134.99,61.63,32.74,94.37,4.23,21.0,0.67,,,2.2,
2021-01-12 22:00:00,2021-01-12 23:00:00,88.53,157.92,50.13,31.54,81.68,3.65,18.0,0.71,,,4.31,
2021-01-12 23:00:00,2021-01-13 00:00:00,86.68,154.83,41.56,28.18,69.74,1.99,19.33,0.77,,,4.32,
2021-01-13 00:00:00,2021-01-13 01:00:00,79.74,142.74,22.89,24.81,47.7,0.86,21.5,0.67,,,2.91,
2021-01-13 01:00:00,2021-01-13 02:00:00,73.23,130.8,24.05,25.8,49.85,1.26,22.5,0.63,,,2.57,
2021-01-13 02:00:00,2021-01-13 03:00:00,72.57,129.57,24.61,24.38,48.99,1.25,22.75,0.68,,,2.77,
2021-01-13 03:00:00,2021-01-13 04:00:00,78.77,140.28,43.54,25.88,69.42,1.32,21.25,0.7,,,2.66,
2021-01-13 04:00:00,2021-01-13 05:00:00,87.63,156.48,23.72,21.84,45.57,0.96,23.0,0.66,,,2.31,
2021-01-13 05:00:00,2021-01-13 06:00:00,82.28,147.99,23.93,22.18,46.1,1.13,24.5,0.65,,,2.1,
2021-01-13 06:00:00,2021-01-13 07:00:00,82.04,146.82,29.59,22.3,51.89,1.47,27.0,0.74,,,2.18,
