From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C)
2022-08-03 16:00:00,2022-08-03 17:00:00,,59.86,55.55,24.29,79.84,7.83,30.45,0.93,,,,,,,1.0,0.4,155.0,,33.3
2022-08-03 17:00:00,2022-08-03 18:00:00,,42.05,62.94,35.32,98.32,10.68,30.19,0.92,,,,,,,0.6,0.2,3.44,,32.11
2022-08-03 18:00:00,2022-08-03 19:00:00,,35.87,65.35,33.15,98.27,6.75,30.31,0.92,,,,,,,1.4,0.1,58.67,,31.8
2022-08-03 19:00:00,2022-08-03 20:00:00,,35.27,49.48,12.2,61.7,7.92,29.9,0.91,,,,,,,1.6,0.5,112.55,,31.01
2022-08-03 20:00:00,2022-08-03 21:00:00,,44.08,47.17,11.07,58.24,5.34,28.17,0.93,,,,,,,1.5,0.9,115.98,,30.9
2022-08-03 21:00:00,2022-08-03 22:00:00,,93.4,52.8,9.9,62.7,6.48,28.23,0.93,,,,,,,1.5,0.5,124.95,,30.6
2022-08-03 22:00:00,2022-08-03 23:00:00,,114.4,40.11,5.41,45.51,6.02,28.02,0.93,,,,,,,1.5,0.2,102.13,,30.7
2022-08-03 23:00:00,2022-08-04 00:00:00,,59.93,42.12,4.42,46.54,5.47,28.2,0.93,,,,,,,1.9,0.1,122.83,,31.0
2022-08-04 00:00:00,2022-08-04 01:00:00,,25.5,39.55,2.4,41.96,8.94,30.07,0.92,,,,,,,1.3,0.1,111.07,,30.9
2022-08-04 01:00:00,2022-08-04 02:00:00,,17.87,40.3,5.44,45.74,8.72,29.84,0.92,,,,,,,1.1,0.1,91.11,,30.8
2022-08-04 02:00:00,2022-08-04 03:00:00,,33.33,48.69,18.73,67.42,10.77,29.79,0.92,,,,,,,0.8,0.2,110.83,,30.8
2022-08-04 03:00:00,2022-08-04 04:00:00,,54.0,44.53,8.43,52.95,9.36,29.55,0.92,,,,,,,0.7,0.1,102.08,,30.7
2022-08-04 04:00:00,2022-08-04 05:00:00,,57.33,49.58,11.31,60.9,9.55,28.83,0.92,,,,,,,0.6,,102.0,,30.6
2022-08-04 05:00:00,2022-08-04 06:00:00,,74.47,48.86,7.93,56.79,8.3,27.87,0.92,,,,,,,0.6,0.1,109.93,,30.6
2022-08-04 06:00:00,2022-08-04 07:00:00,,45.27,42.86,9.32,52.19,7.85,28.0,0.92,,,,,,,0.8,,96.08,,30.5
2022-08-04 07:00:00,2022-08-04 08:00:00,,45.5,52.62,9.84,62.46,5.3,28.31,0.93,,,,,,,0.8,,118.81,,30.2
2022-08-04 08:00:00,2022-08-04 09:00:00,,38.8,53.38,18.79,72.13,11.18,29.19,0.91,,,,,,,0.5,0.1,73.38,,31.19
2022-08-04 09:00:00,2022-08-04 10:00:00,,54.82,42.19,7.81,50.0,9.1,30.06,0.9,,,,,,,0.6,0.4,115.88,,32.99
2022-08-04 10:00:00,2022-08-04 11:00:00,,39.64,45.19,10.36,55.58,8.65,29.95,0.91,,,,,,,0.5,0.5,111.04,,33.3
2022-08-04 11:00:00,2022-08-04 12:00:00,,34.27,49.89,11.69,61.57,7.36,30.1,0.92,,,,,,,0.5,0.5,124.88,,33.6
2022-08-04 12:00:00,2022-08-04 13:00:00,,55.27,50.4,14.44,64.81,6.1,29.84,0.92,,,,,,,0.5,0.5,140.91,,35.29
2022-08-04 13:00:00,2022-08-04 14:00:00,,64.33,48.47,9.73,58.2,5.94,27.5,0.93,,,,,,,0.6,0.5,138.02,,36.69
2022-08-04 14:00:00,2022-08-04 15:00:00,,108.19,38.63,9.68,48.29,5.83,27.7,0.94,,,,,,,0.6,0.5,57.67,,37.69
2022-08-04 15:00:00,2022-08-04 16:00:00,,81.41,47.51,9.98,57.49,2.31,28.0,0.93,,,,,,,0.6,0.5,40.09,,38.0
2022-08-04 16:00:00,2022-08-04 17:00:00,,61.8,47.88,8.86,56.75,1.9,28.42,0.94,,,,,,,0.8,1.0,99.67,,35.31
2022-08-04 17:00:00,2022-08-04 18:00:00,,44.87,53.4,13.74,67.15,16.24,30.3,0.93,,,,,,,0.8,0.9,98.02,,35.0
2022-08-04 18:00:00,2022-08-04 19:00:00,,70.91,53.27,17.11,70.34,8.81,30.18,0.92,,,,,,,0.8,1.1,95.02,,34.31
2022-08-04 19:00:00,2022-08-04 20:00:00,,71.73,60.62,14.29,74.9,7.76,30.01,0.92,,,,,,,0.8,1.0,101.96,,33.01
2022-08-04 20:00:00,2022-08-04 21:00:00,,49.0,46.96,8.67,55.62,7.93,29.93,0.92,,,,,,,0.9,0.9,104.98,,32.1
2022-08-04 21:00:00,2022-08-04 22:00:00,,35.73,57.08,8.94,66.01,5.21,28.24,0.94,,,,,,,0.9,0.7,102.02,,31.8
2022-08-04 22:00:00,2022-08-04 23:00:00,,32.37,44.75,4.25,49.01,5.33,27.74,0.94,,,,,,,0.8,0.6,108.96,,31.6
2022-08-04 23:00:00,2022-08-05 00:00:00,,29.08,42.07,8.58,50.66,6.77,27.88,0.94,,,,,,,0.8,0.7,107.01,,31.4
2022-08-05 00:00:00,2022-08-05 01:00:00,,70.19,40.83,9.29,50.12,8.11,27.69,0.94,,,,,,,0.7,0.6,112.97,,31.3
2022-08-05 01:00:00,2022-08-05 02:00:00,,50.08,39.43,13.88,53.3,14.54,29.54,0.91,,,,,,,0.6,0.8,109.02,,31.1
2022-08-05 02:00:00,2022-08-05 03:00:00,,70.8,36.25,7.53,43.78,10.11,29.87,0.91,,,,,,,0.7,0.5,110.99,,31.0
2022-08-05 03:00:00,2022-08-05 04:00:00,,37.93,36.15,5.41,41.56,9.51,29.67,0.91,,,,,,,0.8,0.7,105.03,,30.9
2022-08-05 04:00:00,2022-08-05 05:00:00,,45.63,37.02,8.21,45.23,10.84,29.52,0.9,,,,,,,0.8,0.5,110.97,,30.5
2022-08-05 05:00:00,2022-08-05 06:00:00,,52.87,35.76,4.03,39.78,8.12,29.14,0.91,,,,,,,0.9,0.1,110.0,,30.3
2022-08-05 06:00:00,2022-08-05 07:00:00,,32.2,36.8,6.21,43.0,6.92,27.55,0.92,,,,,,,0.7,0.1,98.07,,30.1
2022-08-05 07:00:00,2022-08-05 08:00:00,,30.27,36.16,9.41,45.57,7.31,27.89,0.93,,,,,,,0.6,0.2,104.96,,30.0
2022-08-05 08:00:00,2022-08-05 09:00:00,,51.0,37.15,11.71,48.86,6.46,27.57,0.93,,,,,,,0.4,0.4,90.12,,30.59
2022-08-05 09:00:00,2022-08-05 10:00:00,,,57.02,21.91,78.94,8.27,28.59,0.92,,,,,,,0.3,0.8,92.98,,31.4
2022-08-05 10:00:00,2022-08-05 11:00:00,,,53.04,16.28,69.33,10.39,30.5,0.9,,,,,,,0.3,0.7,89.02,,32.4
2022-08-05 11:00:00,2022-08-05 12:00:00,,,60.87,17.1,77.96,8.07,30.24,0.9,,,,,,,0.3,0.8,30.33,,32.8
2022-08-05 12:00:00,2022-08-05 13:00:00,,,56.9,12.93,69.88,8.18,30.13,0.9,,,,,,,0.4,0.8,39.97,,33.2
2022-08-05 13:00:00,2022-08-05 14:00:00,,,56.16,21.76,77.93,7.14,30.1,0.9,,,,,,,0.5,1.1,66.85,,34.69
2022-08-05 14:00:00,2022-08-05 15:00:00,,,50.75,10.28,61.04,2.56,27.34,0.92,,,,,,,0.5,1.2,64.03,,34.3
2022-08-05 15:00:00,2022-08-05 16:00:00,,,44.9,13.07,57.94,4.98,27.67,0.93,,,,,,,0.4,1.4,79.91,,34.3
2022-08-05 16:00:00,2022-08-05 17:00:00,,,42.77,10.85,53.62,2.65,27.55,0.93,,,,,,,0.4,1.2,81.99,,34.3
2022-08-05 17:00:00,2022-08-05 18:00:00,,,44.97,13.46,58.42,5.33,27.74,0.94,,,,,,,0.4,1.4,94.93,,33.11
2022-08-05 18:00:00,2022-08-05 19:00:00,,,54.43,13.56,67.99,12.55,30.33,0.92,,,,,,,0.4,1.3,103.92,,31.71
2022-08-05 19:00:00,2022-08-05 20:00:00,,,58.52,16.3,74.77,8.49,30.34,0.92,,,,,,,0.4,0.9,105.0,,31.2
2022-08-05 20:00:00,2022-08-05 21:00:00,,,47.08,8.95,56.03,7.7,29.63,0.92,,,,,,,0.3,0.6,99.03,,31.2
2022-08-05 21:00:00,2022-08-05 22:00:00,,,38.2,6.16,44.35,7.65,29.72,0.93,,,,,,,0.4,1.1,107.92,,30.71
2022-08-05 22:00:00,2022-08-05 23:00:00,,,35.49,4.32,39.81,6.32,28.28,0.94,,,,,,,0.4,1.1,107.01,,30.5
2022-08-05 23:00:00,2022-08-06 00:00:00,,,29.01,3.17,32.17,4.98,26.83,0.95,,,,,,,0.4,0.9,113.96,,30.5
2022-08-06 00:00:00,2022-08-06 01:00:00,,,27.72,7.29,35.01,6.79,27.48,0.95,,,,,,,0.4,1.0,111.02,,30.5
2022-08-06 01:00:00,2022-08-06 02:00:00,,,29.64,8.16,37.8,7.03,27.53,0.95,,,,,,,0.4,0.7,113.97,,30.3
2022-08-06 02:00:00,2022-08-06 03:00:00,,,32.07,8.12,40.19,8.93,28.6,0.93,,,,,,,0.4,0.7,108.04,,30.3
2022-08-06 03:00:00,2022-08-06 04:00:00,,,35.69,8.76,44.45,9.02,29.88,0.92,,,,,,,0.4,0.4,115.95,,30.3
2022-08-06 04:00:00,2022-08-06 05:00:00,,,34.79,5.25,40.03,8.29,29.38,0.93,,,,,,,0.4,0.3,109.04,,30.0
2022-08-06 05:00:00,2022-08-06 06:00:00,,,32.11,6.25,38.36,8.52,29.54,0.93,,,,,,,0.3,0.3,92.09,,29.9
2022-08-06 06:00:00,2022-08-06 07:00:00,,,30.94,9.61,40.55,8.41,29.19,0.93,,,,,,,0.3,0.5,99.98,,29.8
2022-08-06 07:00:00,2022-08-06 08:00:00,,,36.97,12.08,49.04,5.48,27.08,0.95,,,,,,,0.3,0.3,90.06,,29.6
2022-08-06 08:00:00,2022-08-06 09:00:00,,,31.96,10.85,42.81,5.05,27.51,0.95,,,,,,,0.3,0.3,75.08,,30.0
2022-08-06 09:00:00,2022-08-06 10:00:00,,,35.4,9.04,44.44,6.61,27.61,0.94,,,,,,,0.3,0.79,108.72,,30.7
2022-08-06 10:00:00,2022-08-06 11:00:00,,,51.23,14.5,65.72,6.22,27.92,0.94,,,,,,,0.3,1.0,114.98,,31.1
2022-08-06 11:00:00,2022-08-06 12:00:00,,,54.41,13.62,68.06,8.43,29.96,0.92,,,,,,,0.4,1.0,109.03,,31.2
2022-08-06 12:00:00,2022-08-06 13:00:00,,,62.56,19.97,82.5,7.62,29.75,0.92,,,,,,,0.3,1.0,110.0,,31.0
2022-08-06 13:00:00,2022-08-06 14:00:00,,,52.07,13.43,65.47,7.22,29.79,0.92,,,,,,,0.4,0.9,107.02,,31.4
