From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C)
2023-01-24 15:00:00,2023-01-24 16:00:00,42.09,64.46,4.83,5.26,0.43,2.28,0.43,0.29,79.26,1.13,2.57,1.43,1.53,,46.95,0.45,169.02,45.53,786.14,0.38,0.0,27.52
2023-01-24 16:00:00,2023-01-24 17:00:00,46.31,70.93,6.43,6.76,0.33,2.98,0.44,0.33,74.3,1.11,2.56,1.42,1.54,,48.29,0.38,173.68,19.36,785.02,0.01,0.0,26.99
2023-01-24 17:00:00,2023-01-24 18:00:00,54.41,83.31,10.32,10.95,0.62,4.69,0.49,0.4,74.96,1.1,2.59,1.42,1.56,,52.25,0.34,188.03,6.96,784.58,0.11,0.0,26.39
2023-01-24 18:00:00,2023-01-24 19:00:00,57.06,87.37,8.62,9.18,0.55,3.91,0.42,0.44,72.63,1.11,2.6,1.47,1.54,,57.2,0.3,205.87,1.19,784.24,0.07,0.0,25.66
2023-01-24 19:00:00,2023-01-24 20:00:00,59.1,90.52,6.88,7.1,0.21,3.14,0.49,0.35,73.13,1.1,2.58,1.45,1.53,,60.73,0.32,218.57,0.76,784.6,0.03,0.0,25.09
2023-01-24 20:00:00,2023-01-24 21:00:00,57.06,87.39,6.23,6.68,0.45,2.92,0.6,0.29,72.14,1.14,2.56,1.43,1.52,,62.86,0.33,226.4,0.85,784.73,0.05,0.0,24.63
2023-01-24 21:00:00,2023-01-24 22:00:00,54.14,82.91,7.54,7.71,0.18,3.37,1.89,0.26,65.51,1.09,2.56,1.43,1.54,,66.07,0.37,237.84,0.79,785.17,0.03,0.0,23.99
2023-01-24 22:00:00,2023-01-24 23:00:00,49.04,75.11,6.08,6.25,0.18,2.77,1.9,0.23,61.48,1.1,2.62,1.44,1.53,,68.0,0.37,244.76,0.73,785.02,0.06,0.0,23.6
2023-01-24 23:00:00,2023-01-25 00:00:00,47.35,72.52,5.04,5.32,0.28,2.33,1.04,0.24,57.81,1.1,2.58,1.44,1.53,,70.13,0.3,252.41,0.72,784.27,-0.07,0.0,23.2
2023-01-25 00:00:00,2023-01-25 01:00:00,47.56,72.84,4.52,4.55,0.05,2.02,1.48,0.23,57.65,1.07,2.53,1.45,1.54,,71.97,0.24,259.1,0.62,784.45,0.44,0.0,22.76
2023-01-25 01:00:00,2023-01-25 02:00:00,41.64,63.77,6.28,6.37,0.08,2.8,6.36,0.23,56.6,1.09,2.62,1.42,1.56,,74.98,0.25,269.81,0.52,784.71,0.1,0.0,22.14
2023-01-25 02:00:00,2023-01-25 03:00:00,36.8,56.35,4.16,4.37,0.21,1.92,2.63,0.21,58.21,1.05,2.65,1.45,1.54,,75.48,0.21,271.74,0.39,784.4,0.18,0.0,21.96
2023-01-25 03:00:00,2023-01-25 04:00:00,28.48,43.61,6.07,6.52,0.46,2.85,6.37,0.29,51.55,1.1,2.61,1.44,1.56,,76.79,0.21,276.46,0.37,784.58,0.31,0.0,21.72
2023-01-25 04:00:00,2023-01-25 05:00:00,33.98,52.03,14.03,17.66,3.62,7.81,13.95,0.35,39.51,1.09,2.62,1.42,1.52,,79.37,0.18,285.61,0.39,784.03,-0.02,0.0,21.26
2023-01-25 05:00:00,2023-01-25 06:00:00,47.48,72.71,15.66,18.05,2.38,8.08,7.24,0.42,33.55,1.09,2.56,1.44,1.49,,80.92,0.16,291.05,0.35,783.07,-1.34,0.0,21.03
2023-01-25 06:00:00,2023-01-25 07:00:00,67.35,103.14,15.42,17.97,2.55,7.91,12.66,0.38,38.39,1.1,2.58,1.41,1.57,,81.58,0.18,293.83,1.55,783.28,-0.67,0.0,20.94
2023-01-25 07:00:00,2023-01-25 08:00:00,81.88,125.38,13.78,14.81,1.03,6.56,22.05,0.5,43.77,1.12,2.6,1.43,1.53,,78.0,0.2,280.54,23.24,783.42,-0.28,0.0,21.56
2023-01-25 08:00:00,2023-01-25 09:00:00,91.07,139.47,15.85,19.1,3.25,8.24,12.34,0.52,55.3,1.09,2.62,1.43,1.54,,70.58,0.28,254.0,47.87,784.39,0.06,0.0,22.91
2023-01-25 09:00:00,2023-01-25 10:00:00,105.45,161.49,5.86,6.36,0.5,2.91,2.1,0.33,74.8,1.1,2.64,1.42,1.57,,60.89,0.45,219.11,56.2,786.22,0.08,0.0,24.24
2023-01-25 10:00:00,2023-01-25 11:00:00,91.31,139.84,7.59,9.34,1.75,4.4,0.8,0.33,75.09,1.1,2.53,1.44,1.55,,54.69,0.43,196.5,64.33,737.05,-0.35,0.0,25.0
2023-01-25 11:00:00,2023-01-25 12:00:00,57.98,88.79,4.85,5.24,0.4,2.45,0.95,0.28,75.73,1.1,2.63,1.44,1.51,,48.71,0.44,175.27,50.95,728.99,,0.0,25.79
2023-01-25 12:00:00,2023-01-25 13:00:00,38.03,58.25,7.29,8.54,1.24,4.09,1.53,0.29,73.69,1.09,2.56,1.39,1.56,,44.86,0.38,161.43,42.59,728.37,,0.0,26.53
2023-01-25 13:00:00,2023-01-25 14:00:00,32.73,50.13,6.46,7.32,0.86,3.18,0.92,0.28,75.93,1.09,2.56,1.41,1.56,,40.81,0.45,146.0,38.11,727.71,,0.0,27.09
2023-01-25 14:00:00,2023-01-25 15:00:00,32.09,49.14,4.07,4.33,0.26,1.9,0.42,0.27,74.83,1.09,2.62,1.44,1.53,,40.03,0.44,143.82,54.92,728.91,,0.0,27.44
2023-01-25 15:00:00,2023-01-25 16:00:00,36.15,55.35,4.91,5.21,0.3,2.18,0.57,0.31,81.47,1.07,2.65,1.46,1.54,,43.0,0.41,154.77,38.34,707.54,,0.0,27.35
2023-01-25 16:00:00,2023-01-25 17:00:00,43.17,66.11,6.85,7.5,0.66,3.04,0.77,0.34,83.87,1.09,2.67,1.42,1.55,,46.0,0.42,165.56,27.26,705.52,,0.0,27.12
2023-01-25 17:00:00,2023-01-25 18:00:00,50.24,76.93,7.38,7.5,0.11,3.28,1.15,0.43,87.81,1.1,2.62,1.46,1.57,,48.98,0.32,176.05,13.88,711.85,,0.0,26.52
2023-01-25 18:00:00,2023-01-25 19:00:00,61.38,94.0,17.52,19.06,1.54,8.27,1.47,0.63,80.7,1.13,2.62,1.42,1.5,,53.93,0.3,194.19,1.34,713.88,,0.0,25.59
2023-01-25 19:00:00,2023-01-25 20:00:00,92.66,141.89,11.39,12.13,0.75,5.33,0.68,0.48,77.42,1.11,2.6,1.42,1.53,,59.97,0.37,215.99,0.76,716.42,,0.0,25.04
2023-01-25 20:00:00,2023-01-25 21:00:00,91.71,140.44,8.38,8.73,0.35,3.82,0.43,0.47,73.04,1.07,2.58,1.42,1.57,,63.16,0.36,227.29,0.7,717.87,,0.0,24.56
2023-01-25 21:00:00,2023-01-25 22:00:00,74.84,114.61,8.13,8.29,0.16,3.65,0.42,0.45,70.7,1.11,2.58,1.41,1.55,,64.17,0.28,230.91,0.72,710.99,,0.0,24.01
2023-01-25 22:00:00,2023-01-25 23:00:00,66.43,101.73,6.89,7.05,0.15,3.12,0.87,0.4,70.08,1.1,2.62,1.46,1.55,,65.28,0.28,235.02,0.6,712.49,,0.0,23.63
2023-01-25 23:00:00,2023-01-26 00:00:00,64.03,98.05,6.03,6.17,0.15,2.73,1.96,0.36,69.76,1.09,2.64,1.42,1.52,,66.53,0.25,239.45,0.44,712.99,,0.0,23.41
2023-01-26 00:00:00,2023-01-26 01:00:00,62.75,96.1,4.63,4.92,0.29,2.17,1.38,0.34,67.91,1.12,2.56,1.44,1.56,,68.42,0.22,246.47,0.5,707.35,,0.0,23.06
2023-01-26 01:00:00,2023-01-26 02:00:00,64.86,99.33,6.81,7.19,0.37,3.16,15.42,0.42,62.99,1.15,2.62,1.41,1.55,,70.9,0.2,255.23,0.58,704.09,,0.0,22.61
2023-01-26 02:00:00,2023-01-26 03:00:00,72.71,111.34,10.22,10.72,0.5,4.71,24.94,0.46,54.8,1.06,2.56,1.43,1.55,,73.69,0.15,265.58,0.41,,,0.0,22.19
2023-01-26 03:00:00,2023-01-26 04:00:00,81.61,124.98,14.87,16.8,1.93,7.34,6.31,0.46,46.11,1.08,2.57,1.41,1.52,,75.36,0.16,271.52,0.36,,,0.0,21.95
2023-01-26 04:00:00,2023-01-26 05:00:00,95.89,146.85,15.95,16.96,1.01,7.53,6.79,0.47,41.85,1.1,2.59,1.42,1.58,,77.85,0.14,280.08,0.32,,,0.0,21.68
2023-01-26 05:00:00,2023-01-26 06:00:00,98.32,150.56,15.83,19.15,3.32,8.44,6.49,0.59,37.79,1.1,2.63,1.43,1.52,,80.34,0.15,289.39,0.4,706.0,,0.0,21.32
2023-01-26 06:00:00,2023-01-26 07:00:00,110.5,169.21,31.48,41.08,9.6,18.07,7.78,0.85,22.07,1.06,2.66,1.43,1.53,,81.34,0.13,293.09,0.93,708.99,,0.0,21.22
2023-01-26 07:00:00,2023-01-26 08:00:00,129.2,197.86,18.82,20.65,1.83,9.06,11.14,0.84,34.29,1.09,2.62,1.45,1.54,,81.2,0.18,292.35,12.75,707.52,,0.0,21.33
2023-01-26 08:00:00,2023-01-26 09:00:00,140.99,215.9,15.08,16.3,1.23,7.18,24.82,0.95,56.17,1.11,2.61,1.42,1.53,,73.47,0.24,264.29,30.25,704.43,,0.0,22.85
2023-01-26 09:00:00,2023-01-26 10:00:00,59.3,90.81,9.9,11.08,1.19,4.83,6.05,0.51,74.53,1.12,2.61,1.42,1.56,,64.48,0.33,231.79,43.2,715.97,,0.0,24.11
2023-01-26 10:00:00,2023-01-26 11:00:00,5.01,7.67,4.45,4.84,0.4,2.17,1.91,0.42,87.2,1.09,2.57,1.42,1.56,,55.49,0.44,199.66,50.07,709.72,,0.0,25.07
2023-01-26 11:00:00,2023-01-26 12:00:00,15.32,23.47,5.44,6.09,0.65,2.73,1.35,0.4,84.75,1.1,2.6,1.43,1.53,,51.36,0.4,185.09,50.05,704.6,,0.0,25.82
2023-01-26 12:00:00,2023-01-26 13:00:00,42.53,65.12,8.36,9.98,1.62,4.41,1.65,0.41,84.07,1.08,2.63,1.41,1.56,,45.86,0.4,165.2,47.89,705.84,,0.0,26.54
2023-01-26 13:00:00,2023-01-26 14:00:00,67.9,103.98,5.4,5.97,0.57,2.62,1.6,0.35,87.27,1.12,2.61,1.42,1.58,,41.55,0.4,149.35,45.83,710.07,,0.0,26.98
2023-01-26 14:00:00,2023-01-26 15:00:00,53.77,82.34,4.55,4.95,0.4,2.21,2.01,0.36,91.21,1.11,2.59,1.44,1.56,,41.01,0.43,147.31,58.26,717.93,,0.0,27.21
2023-01-26 15:00:00,2023-01-26 16:00:00,56.44,86.44,3.6,3.96,0.36,1.75,1.36,0.36,95.13,1.11,2.58,1.43,1.53,,41.26,0.46,148.39,39.29,711.93,,0.0,27.11
2023-01-26 16:00:00,2023-01-26 17:00:00,69.8,106.89,4.35,4.64,0.29,2.04,0.82,0.4,87.19,1.11,2.64,1.44,1.52,,44.03,0.33,158.37,28.49,706.17,,0.0,26.89
2023-01-26 17:00:00,2023-01-26 18:00:00,69.11,105.84,6.57,6.82,0.25,3.02,0.42,0.47,78.74,1.13,2.62,1.42,1.54,,46.63,0.26,167.84,13.86,704.03,,0.0,26.37
2023-01-26 18:00:00,2023-01-26 19:00:00,70.12,107.39,9.85,10.14,0.29,4.46,2.06,0.6,71.36,1.1,2.59,1.45,1.51,,52.58,0.23,189.2,1.31,707.5,,0.0,25.28
2023-01-26 19:00:00,2023-01-26 20:00:00,132.03,202.19,10.75,11.21,0.46,4.94,11.57,0.7,66.59,1.11,2.71,1.41,1.54,,55.9,0.27,201.25,0.67,707.55,,0.0,24.67
2023-01-26 20:00:00,2023-01-26 21:00:00,101.49,155.41,14.32,14.84,0.52,6.42,10.35,0.64,63.22,1.07,2.64,1.43,1.55,,58.83,0.28,211.79,0.53,705.82,,0.0,24.41
2023-01-26 21:00:00,2023-01-26 22:00:00,73.3,112.25,7.52,7.85,0.32,3.45,0.72,0.52,71.56,1.09,2.66,1.43,1.54,,64.88,0.29,233.47,0.75,701.5,,0.0,23.87
2023-01-26 22:00:00,2023-01-26 23:00:00,75.16,115.09,8.86,9.18,0.33,4.04,0.59,0.55,70.53,1.1,2.62,1.43,1.54,,69.8,0.2,251.22,0.62,,,0.0,23.45
2023-01-26 23:00:00,2023-01-27 00:00:00,80.94,123.94,7.0,7.35,0.35,3.21,0.55,0.51,71.06,1.1,2.69,1.44,1.55,,72.35,0.21,260.36,0.45,700.27,,0.0,23.23
2023-01-27 00:00:00,2023-01-27 01:00:00,86.74,132.82,4.38,4.58,0.2,1.99,0.33,0.38,73.47,1.09,2.57,1.45,1.51,,73.94,0.23,266.29,0.51,700.55,,0.0,23.09
2023-01-27 01:00:00,2023-01-27 02:00:00,97.54,149.38,3.78,3.85,0.07,1.7,0.53,0.37,70.82,1.1,2.6,1.42,1.54,,76.54,0.19,275.5,0.5,707.99,,0.0,22.62
2023-01-27 02:00:00,2023-01-27 03:00:00,92.94,142.33,7.22,7.5,0.28,3.28,6.09,0.41,62.55,1.1,2.55,1.42,1.52,,77.91,0.22,280.37,0.51,715.88,,0.0,22.54
2023-01-27 03:00:00,2023-01-27 04:00:00,72.5,111.03,10.67,11.05,0.38,4.87,15.14,0.52,47.82,1.1,2.58,1.44,1.53,,80.95,0.13,291.35,0.4,712.75,,0.0,21.96
2023-01-27 04:00:00,2023-01-27 05:00:00,81.41,124.66,7.46,7.83,0.37,3.46,7.22,0.44,50.45,1.09,2.64,1.42,1.53,,82.84,0.12,298.16,0.37,713.52,,0.0,21.74
2023-01-27 05:00:00,2023-01-27 06:00:00,87.94,134.67,13.72,16.16,2.44,7.02,11.85,0.57,42.99,1.08,2.63,1.43,1.52,,84.31,0.15,303.49,0.34,755.02,0.14,0.0,21.53
2023-01-27 06:00:00,2023-01-27 07:00:00,82.96,127.05,14.73,16.29,1.55,7.1,7.67,0.58,34.2,1.12,2.56,1.43,1.54,,85.33,0.12,306.92,0.98,783.38,0.18,0.0,21.38
2023-01-27 07:00:00,2023-01-27 08:00:00,104.88,160.61,35.36,50.75,15.4,22.12,11.33,1.33,12.9,1.11,2.65,1.47,1.53,,83.34,0.13,299.86,10.52,783.01,-0.03,0.0,21.6
2023-01-27 08:00:00,2023-01-27 09:00:00,141.33,216.42,24.43,32.84,8.41,14.44,17.55,0.99,40.75,1.1,2.53,1.42,1.55,,78.43,0.21,282.27,35.36,784.08,0.15,0.0,22.59
2023-01-27 09:00:00,2023-01-27 10:00:00,134.54,206.04,8.8,9.68,0.88,4.31,2.5,0.46,76.95,1.05,2.52,1.36,1.52,,69.78,0.34,250.95,52.65,785.11,0.09,0.0,24.01
2023-01-27 10:00:00,2023-01-27 11:00:00,89.48,137.03,7.79,8.32,0.53,3.7,0.76,0.4,85.75,1.0,2.42,1.28,1.4,,59.99,0.55,215.48,52.58,787.18,-0.08,0.0,24.82
2023-01-27 11:00:00,2023-01-27 12:00:00,66.53,101.89,5.12,5.57,0.45,2.35,0.54,0.33,83.8,1.02,2.47,1.33,1.42,,54.09,0.47,194.78,50.19,786.61,0.18,0.0,25.68
2023-01-27 12:00:00,2023-01-27 13:00:00,58.03,88.87,7.24,8.26,1.02,3.6,0.37,0.34,85.64,0.98,2.48,1.29,1.36,,46.77,0.58,167.82,44.95,787.89,0.2,0.0,26.57
2023-01-27 13:00:00,2023-01-27 14:00:00,56.06,85.86,6.94,8.41,1.47,3.59,0.15,0.28,84.05,0.98,2.42,1.31,1.43,,40.2,0.46,144.49,43.22,786.28,0.08,0.0,27.08
2023-01-27 14:00:00,2023-01-27 15:00:00,48.9,74.88,5.83,6.68,0.84,3.17,0.13,0.26,83.25,1.02,2.42,1.31,1.41,,35.13,0.6,125.73,56.0,787.9,0.31,0.0,27.52
2023-01-27 15:00:00,2023-01-27 16:00:00,46.83,71.72,6.27,6.81,0.54,2.79,0.11,0.24,79.74,1.0,2.41,1.29,1.39,,29.65,0.49,106.25,43.5,786.52,0.04,0.0,27.79
