From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-04 15:00:00,2020-03-04 16:00:00,92.99,209.29,47.24,9.19,42.68,15.06,2.2,0.59,47.94,6.52,0.61,8.37,18.2,,,,,8.83,,0.0
2020-03-04 16:00:00,2020-03-04 17:00:00,83.01,239.72,47.15,9.01,42.52,14.99,3.52,0.62,49.92,5.92,0.66,10.27,18.06,,,,,9.14,,0.0
2020-03-04 17:00:00,2020-03-04 18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 18:00:00,2020-03-04 19:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 19:00:00,2020-03-04 20:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 20:00:00,2020-03-04 21:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 21:00:00,2020-03-04 22:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 22:00:00,2020-03-04 23:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-04 23:00:00,2020-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 00:00:00,2020-03-05 01:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 01:00:00,2020-03-05 02:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 02:00:00,2020-03-05 03:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 03:00:00,2020-03-05 04:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 04:00:00,2020-03-05 05:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 05:00:00,2020-03-05 06:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 06:00:00,2020-03-05 07:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 07:00:00,2020-03-05 08:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 08:00:00,2020-03-05 09:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 09:00:00,2020-03-05 10:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 10:00:00,2020-03-05 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-05 11:00:00,2020-03-05 12:00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0
2020-03-05 12:00:00,2020-03-05 13:00:00,20.48,47.52,6.63,0.55,11.76,1.85,,0.1,,0.0,0.0,,,,,,,0.0,,0.0
2020-03-05 13:00:00,2020-03-05 14:00:00,68.89,169.14,48.1,9.92,43.75,15.52,,0.03,,3.96,0.77,8.46,23.19,,,,,11.18,,0.0
2020-03-05 14:00:00,2020-03-05 15:00:00,50.05,161.11,48.33,9.65,43.8,15.47,,,,4.63,0.8,11.15,28.62,,,,,13.52,,0.0
2020-03-05 15:00:00,2020-03-05 16:00:00,49.29,149.56,48.31,9.69,43.8,15.43,,0.17,13.2,3.26,0.62,7.82,19.88,,,,,9.47,,0.0
2020-03-05 16:00:00,2020-03-05 17:00:00,47.61,121.32,48.62,9.26,43.77,15.41,4.36,0.18,10.58,2.86,0.95,6.7,16.91,,,,,8.09,,0.0
2020-03-05 17:00:00,2020-03-05 18:00:00,48.84,126.52,49.31,9.57,44.55,15.67,4.49,0.19,5.75,4.17,1.51,10.68,23.52,,,,,11.69,,0.0
2020-03-05 18:00:00,2020-03-05 19:00:00,44.14,142.75,50.55,10.05,45.79,16.14,4.51,0.24,2.72,4.36,1.02,10.4,22.07,,,,,11.94,,0.0
2020-03-05 19:00:00,2020-03-05 20:00:00,55.51,168.5,50.87,9.43,45.72,16.08,5.55,0.22,4.23,5.27,1.18,14.94,24.27,,,,,14.72,,0.0
2020-03-05 20:00:00,2020-03-05 21:00:00,57.08,195.59,49.02,9.24,44.14,15.66,5.51,,22.85,3.97,0.79,10.42,18.14,,,,,10.63,,0.0
2020-03-05 21:00:00,2020-03-05 22:00:00,41.15,109.42,47.47,8.37,42.44,14.96,4.81,0.01,12.16,2.12,0.43,7.0,11.09,,,,,6.02,,0.0
2020-03-05 22:00:00,2020-03-05 23:00:00,38.96,74.03,48.25,8.45,43.11,15.23,4.63,,13.11,2.89,0.78,9.53,14.6,,,,,9.24,,0.0
2020-03-05 23:00:00,2020-03-06 00:00:00,30.28,56.12,48.33,7.83,42.84,15.12,4.4,,9.85,2.6,0.66,11.07,17.65,,,,,10.78,,0.0
2020-03-06 00:00:00,2020-03-06 01:00:00,26.31,35.46,48.23,7.49,42.59,15.0,7.67,0.96,11.44,2.78,0.78,11.37,17.76,,,,,11.47,,0.0
2020-03-06 01:00:00,2020-03-06 02:00:00,25.52,38.75,48.08,7.43,42.44,14.97,8.7,0.97,9.02,2.7,0.69,10.29,16.89,,,,,10.93,,0.0
2020-03-06 02:00:00,2020-03-06 03:00:00,22.68,31.13,48.06,7.59,42.5,14.89,8.48,0.95,7.33,2.93,0.83,11.91,18.83,,,,,12.21,,0.0
2020-03-06 03:00:00,2020-03-06 04:00:00,21.65,36.25,47.8,7.8,42.41,15.03,8.44,0.93,13.71,2.78,0.95,12.61,18.43,,,,,11.59,,0.0
2020-03-06 04:00:00,2020-03-06 05:00:00,22.56,36.4,47.76,8.04,42.5,14.97,7.84,0.92,9.72,2.38,0.7,9.47,13.79,,,,,9.01,,0.0
2020-03-06 05:00:00,2020-03-06 06:00:00,18.76,25.82,47.94,7.74,42.48,15.03,7.71,0.9,11.01,2.42,0.73,10.38,16.17,,,,,10.68,,0.0
2020-03-06 06:00:00,2020-03-06 07:00:00,17.72,33.16,47.79,7.46,42.22,14.89,8.03,0.9,11.52,2.34,0.66,9.27,14.8,,,,,9.73,,0.0
2020-03-06 07:00:00,2020-03-06 08:00:00,22.06,35.88,48.05,7.49,42.44,14.97,8.24,0.94,7.02,2.36,0.61,9.17,14.39,,,,,9.45,,0.0
2020-03-06 08:00:00,2020-03-06 09:00:00,21.17,43.36,48.73,7.93,43.23,15.27,8.21,1.05,3.61,2.98,0.67,9.52,15.38,,,,,9.95,,0.0
2020-03-06 09:00:00,2020-03-06 10:00:00,23.25,44.45,49.69,8.06,44.06,15.55,8.27,1.08,5.32,3.36,0.81,10.64,16.74,,,,,10.72,,0.0
2020-03-06 10:00:00,2020-03-06 11:00:00,26.64,45.18,49.35,8.25,43.89,15.39,7.64,1.07,6.95,3.43,0.88,12.02,18.6,,,,,11.89,,0.0
2020-03-06 11:00:00,2020-03-06 12:00:00,23.9,43.04,48.89,8.45,43.62,15.45,7.68,1.06,9.94,3.34,0.92,11.87,19.42,,,,,11.92,,0.0
2020-03-06 12:00:00,2020-03-06 13:00:00,24.23,47.48,47.64,9.86,43.35,15.32,5.11,1.05,9.01,2.96,0.65,8.99,16.64,,,,,8.08,,0.0
2020-03-06 13:00:00,2020-03-06 14:00:00,23.49,53.39,48.29,9.26,43.56,15.36,4.41,1.06,11.1,3.04,0.64,7.8,16.45,,,,,7.38,,0.0
2020-03-06 14:00:00,2020-03-06 15:00:00,29.93,66.37,48.73,8.87,43.71,15.41,4.31,1.07,10.52,3.12,0.6,8.14,17.71,,,,,8.14,,0.0
2020-03-06 15:00:00,2020-03-06 16:00:00,27.05,72.96,48.57,9.28,43.75,15.43,4.21,1.05,9.43,2.25,0.46,5.95,12.53,,,,,5.97,,0.0
2020-03-06 16:00:00,2020-03-06 17:00:00,27.44,79.22,48.11,11.96,33.62,15.86,4.55,0.74,2.94,2.38,0.6,8.31,13.75,,,,,8.12,,0.0
