From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-01 00:00:00,2020-03-01 01:00:00,45.69,95.94,3.83,9.65,13.48,,1.68,0.77,18.9,2.62,5.43,0.67,1.58,93.77,0.22,261.27,8.49,757.33,0.62,16.83,0.0
2020-03-01 01:00:00,2020-03-01 02:00:00,40.43,96.04,3.81,9.67,13.48,,1.81,0.75,20.75,3.3,6.08,0.87,2.11,94.93,0.24,354.11,8.52,757.33,0.81,16.46,0.0
2020-03-01 02:00:00,2020-03-01 03:00:00,38.56,97.0,3.83,9.64,13.48,,1.46,0.67,13.12,2.64,5.37,0.6,1.41,95.43,0.25,343.63,8.5,757.32,0.51,16.13,0.0
2020-03-01 03:00:00,2020-03-01 04:00:00,37.68,88.25,3.85,9.66,13.51,,1.27,0.73,12.82,2.62,5.35,0.58,1.37,96.28,0.25,341.82,8.5,757.32,0.51,15.85,0.0
2020-03-01 04:00:00,2020-03-01 05:00:00,37.42,84.65,3.77,9.63,13.4,,0.78,0.83,5.87,3.02,5.08,0.54,1.31,97.01,0.22,345.16,8.58,757.32,0.52,15.37,0.0
2020-03-01 05:00:00,2020-03-01 06:00:00,40.49,92.06,3.75,9.67,13.43,,0.84,1.04,4.32,3.91,5.5,0.61,1.5,98.09,0.23,177.27,8.72,757.33,0.61,15.39,0.0
2020-03-01 06:00:00,2020-03-01 07:00:00,42.8,94.75,3.78,9.62,13.39,,1.07,1.32,3.35,5.55,6.4,1.01,2.16,98.29,0.1,222.71,29.52,757.33,0.93,15.16,0.0
2020-03-01 07:00:00,2020-03-01 08:00:00,47.31,99.72,3.73,9.64,13.37,,1.51,1.75,5.46,9.43,8.36,2.14,4.3,95.96,0.21,215.79,102.43,757.34,1.92,16.3,0.0
2020-03-01 08:00:00,2020-03-01 09:00:00,54.29,106.9,3.76,9.63,13.39,,2.31,1.57,21.47,8.69,8.79,1.78,5.0,85.06,0.31,145.06,226.72,757.34,2.02,19.86,0.0
2020-03-01 09:00:00,2020-03-01 10:00:00,59.82,124.66,3.79,9.64,13.42,,6.88,0.84,96.35,5.01,6.36,1.01,2.8,66.7,0.42,179.16,419.7,757.35,1.15,22.92,0.0
2020-03-01 10:00:00,2020-03-01 11:00:00,61.2,112.88,3.78,9.66,13.45,,4.75,0.71,118.16,3.1,4.76,0.58,1.32,58.07,0.53,28.91,404.41,757.34,0.52,24.74,0.0
2020-03-01 11:00:00,2020-03-01 12:00:00,56.56,97.08,3.8,9.66,13.46,,4.25,0.61,133.77,2.06,4.27,0.57,1.14,53.03,0.39,151.6,478.19,757.34,0.43,26.08,0.0
