From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C)
2022-11-25 11:00:00,2022-11-25 12:00:00,77.83,180.61,5.38,10.51,13.52,45.24,17.44,1.18,150.86,3.03,1.84,0.01,,0.25,34.31,0.41,334.6,112.57,21.74
2022-11-25 12:00:00,2022-11-25 13:00:00,76.55,174.44,5.3,10.51,13.46,45.28,16.12,1.15,160.9,1.84,1.45,0.02,,0.25,32.54,0.41,339.76,96.1,22.06
2022-11-25 13:00:00,2022-11-25 14:00:00,69.85,164.23,5.62,10.43,13.68,45.27,13.51,1.22,142.38,,,,,,30.85,0.39,334.64,76.29,22.54
2022-11-25 14:00:00,2022-11-25 15:00:00,64.72,158.57,6.83,9.52,14.18,45.17,14.53,1.19,132.95,4.23,7.32,0.03,,0.26,30.52,0.33,326.99,60.97,22.53
2022-11-25 15:00:00,2022-11-25 16:00:00,72.53,155.57,7.55,10.06,15.04,45.21,13.25,1.23,119.56,1.32,4.19,0.01,,0.25,30.61,0.35,327.4,40.7,22.2
2022-11-25 16:00:00,2022-11-25 17:00:00,59.35,149.07,7.26,11.33,15.48,45.14,12.55,1.62,71.32,1.53,4.74,0.02,,0.25,36.35,0.19,267.59,21.65,20.82
2022-11-25 17:00:00,2022-11-25 18:00:00,54.31,154.28,7.91,11.75,16.23,45.16,13.28,1.89,49.5,1.6,8.94,0.02,,0.25,46.79,0.23,319.95,8.4,18.43
2022-11-25 18:00:00,2022-11-25 19:00:00,62.94,184.33,7.73,9.63,14.96,45.29,10.84,1.3,71.4,2.21,7.06,0.02,,0.08,58.52,0.33,301.51,7.87,16.16
2022-11-25 19:00:00,2022-11-25 20:00:00,66.58,192.93,8.87,11.02,16.63,45.15,10.31,2.01,33.29,3.39,1.61,0.02,,0.02,62.42,0.18,240.22,7.69,14.96
2022-11-25 20:00:00,2022-11-25 21:00:00,70.28,196.79,7.92,11.42,16.07,45.29,9.84,1.95,26.93,5.15,4.01,0.01,,0.03,64.15,0.21,265.13,7.75,14.15
