From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C)
2022-11-25 11:00:00,2022-11-25 12:00:00,79.62,132.24,10.72,16.21,20.89,41.42,10.82,0.55,122.6,7.41,139.51,4.97,9.63,6.51,36.59,2.08,10.11,761.05,25.69
2022-11-25 12:00:00,2022-11-25 13:00:00,74.27,121.76,7.53,10.28,15.14,43.63,11.7,0.61,130.37,7.13,137.35,5.04,9.84,6.65,36.08,1.7,25.29,729.34,26.28
2022-11-25 13:00:00,2022-11-25 14:00:00,73.72,118.69,5.68,9.73,13.35,44.3,13.55,0.6,133.97,6.82,135.25,5.16,10.27,6.89,34.85,1.48,101.83,638.41,26.91
2022-11-25 14:00:00,2022-11-25 15:00:00,70.23,115.5,5.42,10.55,13.57,44.19,16.55,0.59,131.72,6.73,133.51,5.26,10.57,7.07,32.4,1.27,19.34,472.38,27.4
2022-11-25 15:00:00,2022-11-25 16:00:00,66.95,114.5,7.17,11.23,15.36,43.55,16.26,0.56,119.75,6.98,135.49,5.54,11.08,7.36,32.08,1.38,92.64,292.6,26.96
2022-11-25 16:00:00,2022-11-25 17:00:00,58.2,113.54,7.71,12.77,16.62,43.01,6.38,0.72,78.31,6.55,136.21,5.79,11.55,7.62,37.99,0.97,31.78,82.34,25.28
2022-11-25 17:00:00,2022-11-25 18:00:00,58.48,108.98,6.79,10.94,14.9,43.67,4.21,0.63,50.59,6.74,143.4,7.5,13.69,9.33,56.33,0.5,248.2,3.29,21.34
2022-11-25 18:00:00,2022-11-25 19:00:00,65.81,114.39,6.98,10.35,14.73,43.74,4.11,0.6,44.81,6.9,149.06,8.56,14.74,10.23,61.58,0.47,240.41,0.85,19.55
2022-11-25 19:00:00,2022-11-25 20:00:00,68.91,114.46,6.04,10.04,13.8,44.11,3.44,0.82,35.71,7.25,153.46,8.57,14.7,10.22,67.75,0.53,229.38,0.88,18.29
2022-11-25 20:00:00,2022-11-25 21:00:00,66.17,115.25,6.78,12.32,15.62,43.39,3.9,1.15,19.34,8.18,155.38,8.32,14.91,10.08,68.47,0.61,191.91,0.32,18.18
2022-11-25 21:00:00,2022-11-25 22:00:00,85.08,123.29,7.18,11.3,15.4,43.48,2.73,1.01,12.86,9.6,157.07,8.31,15.76,10.33,73.75,0.62,233.18,0.76,16.7
2022-11-25 22:00:00,2022-11-25 23:00:00,84.79,132.39,6.67,12.49,15.62,43.42,2.08,0.72,6.84,10.06,155.09,7.88,15.41,9.99,78.18,0.62,245.3,0.61,15.46
2022-11-25 23:00:00,2022-11-26 00:00:00,71.5,125.42,7.31,11.86,15.81,43.35,1.7,0.62,6.94,9.39,151.96,6.95,13.75,9.03,80.42,0.86,246.86,0.56,14.82
2022-11-26 00:00:00,2022-11-26 01:00:00,72.28,114.08,8.35,12.89,17.2,42.78,1.4,0.53,2.23,8.18,146.31,6.03,12.11,8.09,81.61,0.42,249.53,0.53,14.25
2022-11-26 01:00:00,2022-11-26 02:00:00,64.3,98.9,7.19,12.48,16.04,43.26,1.48,0.47,1.54,6.89,142.67,5.22,10.63,7.23,82.6,0.36,206.96,0.58,13.78
2022-11-26 02:00:00,2022-11-26 03:00:00,55.28,84.36,7.09,11.87,15.63,43.41,1.31,0.44,0.91,5.73,139.72,4.64,9.45,6.57,84.18,0.54,249.98,0.66,13.34
2022-11-26 03:00:00,2022-11-26 04:00:00,58.49,77.64,7.49,11.91,15.98,43.27,1.64,0.43,2.77,4.76,136.46,4.13,8.34,5.96,84.33,0.69,245.6,0.53,13.3
2022-11-26 04:00:00,2022-11-26 05:00:00,41.73,82.24,5.5,11.36,14.07,43.98,1.35,0.42,2.4,4.12,132.1,3.77,7.6,5.55,85.84,0.46,250.12,0.62,12.94
2022-11-26 05:00:00,2022-11-26 06:00:00,40.93,69.3,6.51,11.09,14.74,43.78,1.3,0.43,4.95,3.67,129.49,3.54,7.17,5.35,86.96,0.42,242.19,0.72,12.75
2022-11-26 06:00:00,2022-11-26 07:00:00,41.82,70.35,8.84,12.08,17.17,42.8,1.65,0.56,5.63,3.45,127.14,3.38,6.9,5.23,86.17,0.51,136.07,27.87,13.14
2022-11-26 07:00:00,2022-11-26 08:00:00,46.68,69.8,15.45,16.86,25.08,39.64,4.86,0.8,6.27,4.17,125.84,3.39,7.29,5.34,75.41,0.45,99.11,186.25,16.18
2022-11-26 08:00:00,2022-11-26 09:00:00,59.84,91.46,10.55,15.37,20.3,41.55,18.99,0.78,40.65,5.92,127.04,3.66,8.15,5.74,59.87,0.53,157.24,390.55,21.43
2022-11-26 09:00:00,2022-11-26 10:00:00,72.06,105.07,6.89,11.21,15.12,43.63,29.73,0.7,104.59,6.55,131.14,4.07,8.95,6.2,46.14,1.02,22.95,557.12,23.27
2022-11-26 10:00:00,2022-11-26 11:00:00,75.35,107.28,7.11,11.51,15.45,43.5,19.87,0.76,116.92,6.77,133.09,4.41,9.53,6.52,41.16,1.16,109.75,675.74,24.67
2022-11-26 11:00:00,2022-11-26 12:00:00,74.26,112.02,5.79,9.69,13.43,44.28,16.7,0.57,128.53,6.97,133.19,4.75,10.12,6.92,36.75,1.08,265.99,726.06,25.44
2022-11-26 12:00:00,2022-11-26 13:00:00,65.23,117.91,4.63,8.54,11.86,44.87,18.24,0.51,128.31,6.98,126.71,4.88,10.0,7.0,32.48,0.98,337.58,718.46,26.38
2022-11-26 13:00:00,2022-11-26 14:00:00,67.69,113.01,4.2,7.97,11.22,45.15,16.84,0.49,124.2,6.29,111.62,4.69,9.19,6.79,28.88,0.83,260.42,640.65,27.18
2022-11-26 14:00:00,2022-11-26 15:00:00,54.93,106.41,4.91,8.39,12.01,44.85,13.63,0.48,128.25,5.75,98.08,4.08,8.8,6.25,27.74,0.68,179.44,481.44,27.33
