From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2022-12-12 15:00:00,2022-12-12 16:00:00,10.89,43.93,4.39,9.0,,3.59,0.46,0.36,33.53,0.1,0.29,0.25,0.15,0.14,70.78,,,40.29,842.13,0.0,25.65
2022-12-12 16:00:00,2022-12-12 17:00:00,10.4,47.82,4.31,8.92,13.12,4.28,0.56,0.36,32.23,0.09,0.29,0.25,0.15,0.15,70.45,,,36.74,842.92,0.0,25.68
2022-12-12 17:00:00,2022-12-12 18:00:00,9.83,55.29,4.43,9.44,13.7,3.87,0.44,0.34,23.57,0.1,0.3,0.24,0.15,0.15,76.3,,,98.76,842.04,0.0,25.15
2022-12-12 18:00:00,2022-12-12 19:00:00,13.71,55.69,4.28,10.06,13.87,3.6,0.4,0.38,19.94,0.1,0.31,0.26,0.15,0.15,81.37,,,152.51,837.5,0.0,24.78
2022-12-12 19:00:00,2022-12-12 20:00:00,12.44,55.9,4.4,9.46,14.04,4.18,0.35,0.36,20.35,0.1,0.29,0.25,0.15,0.15,85.11,,,192.1,840.8,0.0,24.31
2022-12-12 20:00:00,2022-12-12 21:00:00,15.37,56.04,4.26,8.98,13.16,3.5,0.38,0.32,20.6,0.1,0.31,0.25,0.15,0.15,92.71,,,272.75,840.74,0.0,23.68
2022-12-12 21:00:00,2022-12-12 22:00:00,13.75,54.18,4.31,8.99,13.46,4.0,0.35,0.36,18.06,0.1,0.3,0.25,0.15,0.15,94.41,,,290.69,835.4,0.0,23.62
2022-12-12 22:00:00,2022-12-12 23:00:00,21.82,57.73,4.24,8.26,12.29,3.42,0.33,0.32,18.12,0.1,0.29,0.25,0.15,0.15,94.21,,,288.57,839.04,0.0,23.71
2022-12-12 23:00:00,2022-12-13 00:00:00,19.4,50.36,4.17,8.3,12.6,4.04,0.35,0.34,20.43,0.11,0.3,0.25,0.15,0.15,92.83,,,273.99,841.26,0.0,23.69
2022-12-13 00:00:00,2022-12-13 01:00:00,15.77,45.34,3.9,7.98,12.07,3.66,0.3,0.15,20.2,0.1,0.3,0.25,0.15,0.15,92.87,,,274.43,843.66,0.0,23.57
2022-12-13 01:00:00,2022-12-13 02:00:00,14.89,53.3,3.76,7.66,11.3,3.96,0.32,0.17,21.54,0.1,0.31,0.25,0.15,0.15,92.92,,,275.0,840.36,0.0,23.58
2022-12-13 02:00:00,2022-12-13 03:00:00,13.27,47.69,3.9,7.59,11.61,4.07,0.3,0.17,19.79,0.1,0.32,0.25,0.15,0.15,93.19,,,277.8,841.68,0.0,23.55
2022-12-13 03:00:00,2022-12-13 04:00:00,19.46,52.17,3.79,8.1,12.58,3.43,0.31,0.17,17.16,0.1,0.29,0.25,0.15,0.15,93.35,,,279.53,842.32,0.0,23.5
2022-12-13 04:00:00,2022-12-13 05:00:00,17.16,46.39,3.88,7.71,11.55,4.04,0.27,0.19,18.86,0.1,0.31,0.25,0.15,0.15,93.75,,,283.67,842.61,0.0,23.47
2022-12-13 05:00:00,2022-12-13 06:00:00,19.78,62.29,3.81,8.03,11.66,3.3,0.39,0.21,16.72,0.1,0.28,0.25,0.15,0.15,94.43,,,290.99,842.37,0.0,23.45
2022-12-13 06:00:00,2022-12-13 07:00:00,16.75,57.21,3.88,9.02,12.93,3.57,0.41,0.28,15.38,0.11,0.29,0.25,0.15,0.15,93.33,,,279.26,840.81,0.0,23.54
2022-12-13 07:00:00,2022-12-13 08:00:00,16.34,54.26,4.13,9.17,13.35,2.89,0.39,0.29,12.72,0.1,0.3,0.25,0.15,0.16,93.73,,,283.48,836.0,0.0,23.56
2022-12-13 08:00:00,2022-12-13 09:00:00,18.5,60.8,4.26,9.53,13.54,3.16,0.64,0.35,14.94,0.11,0.31,0.25,0.15,0.15,91.7,,,262.02,837.74,0.0,23.76
2022-12-13 09:00:00,2022-12-13 10:00:00,16.12,65.72,4.39,9.24,13.61,2.97,0.68,0.34,17.8,0.1,0.31,0.26,0.15,0.15,87.31,,,215.44,840.47,0.0,24.28
2022-12-13 10:00:00,2022-12-13 11:00:00,29.49,65.53,4.2,10.16,14.95,2.77,0.78,0.35,22.11,0.1,0.28,0.24,0.15,0.15,84.64,,,187.13,845.41,0.0,24.43
2022-12-13 11:00:00,2022-12-13 12:00:00,26.86,64.43,4.34,10.07,14.62,2.94,0.9,0.36,24.98,0.1,0.31,0.25,0.15,0.15,80.35,,,141.72,845.71,0.0,24.84
2022-12-13 12:00:00,2022-12-13 13:00:00,25.54,65.44,4.14,9.36,13.28,2.67,0.96,0.35,26.98,0.1,0.3,0.25,0.15,0.15,78.84,,,125.76,841.08,0.0,25.06
2022-12-13 13:00:00,2022-12-13 14:00:00,26.53,69.63,4.15,9.46,13.6,3.06,0.92,0.35,29.96,0.1,0.3,0.25,0.15,0.15,76.47,,,100.61,845.03,0.0,25.41
2022-12-13 14:00:00,2022-12-13 15:00:00,26.59,70.35,4.17,9.32,13.57,2.53,0.74,0.29,29.89,0.1,0.3,0.24,0.15,0.15,73.75,,,71.78,843.45,0.0,25.64
2022-12-13 15:00:00,2022-12-13 16:00:00,24.53,68.2,4.07,8.92,13.15,2.94,0.94,0.31,32.58,0.1,0.31,0.26,0.15,0.15,72.69,,,60.53,842.21,0.0,25.83
2022-12-13 16:00:00,2022-12-13 17:00:00,23.03,62.94,4.13,9.57,14.83,2.53,0.83,0.3,30.44,0.1,0.3,0.25,0.15,0.15,74.53,,,80.0,841.88,0.0,25.66
2022-12-13 17:00:00,2022-12-13 18:00:00,29.96,70.84,3.92,9.99,13.68,2.49,0.83,0.32,26.91,0.1,0.31,0.24,0.16,0.15,78.35,,,120.5,844.12,0.0,25.08
2022-12-13 18:00:00,2022-12-13 19:00:00,26.85,60.38,4.07,10.89,14.71,2.41,0.73,0.34,21.73,0.1,0.3,0.25,0.15,0.15,81.99,,,159.13,843.5,0.0,24.66
2022-12-13 19:00:00,2022-12-13 20:00:00,27.08,71.96,3.92,10.27,14.53,2.33,0.65,0.33,19.74,0.1,0.31,0.25,0.15,0.15,85.59,,,197.25,841.38,0.0,24.32
2022-12-13 20:00:00,2022-12-13 21:00:00,32.71,73.75,4.02,9.96,13.85,2.71,0.48,0.29,19.68,0.1,0.3,0.25,0.15,0.15,86.93,,,211.43,841.84,0.0,24.04
2022-12-13 21:00:00,2022-12-13 22:00:00,35.24,73.55,3.98,9.69,13.48,2.3,0.47,0.27,16.18,0.1,0.3,0.25,0.15,0.15,90.94,,,253.94,839.45,0.0,23.81
2022-12-13 22:00:00,2022-12-13 23:00:00,28.57,79.64,3.99,10.82,14.35,2.55,0.46,0.29,12.83,0.1,0.3,0.25,0.14,0.15,91.95,,218.47,264.66,844.62,0.0,23.64
2022-12-13 23:00:00,2022-12-14 00:00:00,32.21,70.34,4.06,10.86,15.82,2.09,0.45,0.3,9.07,0.1,0.28,0.25,0.15,0.15,93.46,,,280.68,838.17,0.0,23.37
2022-12-14 00:00:00,2022-12-14 01:00:00,30.34,92.22,4.22,9.7,13.84,2.76,0.23,0.28,12.78,0.1,0.31,0.24,0.15,0.15,91.16,,,256.31,850.4,0.0,23.47
2022-12-14 01:00:00,2022-12-14 02:00:00,22.95,71.12,4.33,8.04,12.28,2.94,0.21,0.21,17.6,0.1,0.3,0.26,0.15,0.15,88.88,,,232.07,853.5,0.0,23.59
2022-12-14 02:00:00,2022-12-14 03:00:00,21.74,58.76,4.18,7.82,11.84,2.83,0.3,0.21,16.25,0.1,0.3,0.25,0.15,0.15,90.52,,,249.57,845.37,0.0,23.46
2022-12-14 03:00:00,2022-12-14 04:00:00,17.54,48.34,4.32,8.23,12.6,2.99,0.31,0.24,12.97,0.1,0.31,0.25,0.15,0.15,92.06,,,265.83,840.93,0.0,23.25
