From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-12-22 10:00:00,2022-12-22 11:00:00,146.5,279.5,3.95,3.9,5.3,,7.6,1.68,42.15,1.05,,,,,26.6,34.5,1.15,334.5,181.0,25.35,0.0
2022-12-22 11:00:00,2022-12-22 12:00:00,98.75,143.75,3.97,3.55,5.15,,2.67,0.82,46.12,0.93,,,,,26.6,31.0,1.1,128.75,187.5,26.1,0.0
2022-12-22 12:00:00,2022-12-22 13:00:00,57.5,131.5,5.3,1.97,5.1,,7.13,0.34,60.78,0.58,,,,,26.6,34.75,1.4,31.75,186.75,25.88,0.0
2022-12-22 13:00:00,2022-12-22 14:00:00,,,7.03,,4.77,0.1,20.7,0.42,69.67,0.25,,,,,26.6,35.0,1.17,16.33,186.0,25.4,0.0
2022-12-22 14:00:00,2022-12-22 15:00:00,,,6.35,,4.7,,26.6,0.73,76.85,1.05,,,,,26.95,33.5,1.03,249.75,184.75,25.42,0.0
2022-12-22 15:00:00,2022-12-22 16:00:00,71.0,213.0,5.12,1.7,4.83,,36.58,0.61,56.33,1.1,,,,,27.48,42.5,0.82,227.0,176.25,24.12,0.0
2022-12-22 16:00:00,2022-12-22 17:00:00,129.0,431.0,3.32,5.03,5.38,,36.27,0.71,31.45,1.25,,,,,27.5,56.5,0.72,72.0,174.75,21.3,0.0
2022-12-22 17:00:00,2022-12-22 18:00:00,166.75,447.75,2.07,7.88,5.85,,17.15,0.95,11.33,1.85,,,,,27.5,64.25,0.65,51.5,174.5,19.28,0.0
2022-12-22 18:00:00,2022-12-22 19:00:00,254.0,404.5,1.58,8.35,5.75,,16.7,0.94,11.88,2.58,,,,,26.98,67.0,0.75,57.75,177.75,18.48,0.0
2022-12-22 19:00:00,2022-12-22 20:00:00,139.75,314.0,1.45,8.95,5.93,,24.33,0.92,6.95,2.52,,,,,26.6,68.5,0.75,112.25,185.25,18.02,0.0
2022-12-22 20:00:00,2022-12-22 21:00:00,142.25,229.25,1.15,9.6,6.03,,34.05,0.96,2.33,2.38,,,,,26.6,69.25,0.7,109.5,187.5,18.1,0.0
2022-12-22 21:00:00,2022-12-22 22:00:00,176.25,403.5,1.1,9.75,6.05,,28.35,0.77,1.4,2.35,,,,,26.6,70.0,0.7,106.25,188.5,18.1,0.0
2022-12-22 22:00:00,2022-12-22 23:00:00,212.5,353.25,1.12,9.78,6.1,,26.07,0.71,0.8,2.15,,,,,26.88,72.0,0.68,128.75,187.5,17.32,0.0
2022-12-22 23:00:00,2022-12-23 00:00:00,283.0,588.0,1.1,9.75,6.07,,22.3,0.72,,2.02,,,,,27.38,73.0,0.75,157.5,180.5,16.9,0.0
2022-12-23 00:00:00,2022-12-23 01:00:00,275.0,595.0,1.18,9.82,6.2,,19.6,0.71,,1.95,,,,,27.4,73.25,0.83,73.25,178.25,16.7,0.0
