From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-11-13 14:00:00,2020-11-13 15:00:00,28.13,47.57,5.12,12.61,17.74,,20.75,1.62,,,1.31,
2020-11-13 15:00:00,2020-11-13 16:00:00,20.86,34.59,5.18,12.08,17.26,,23.25,1.43,,,1.26,
2020-11-13 16:00:00,2020-11-13 17:00:00,17.59,28.7,5.12,12.13,17.26,,21.5,1.44,,,1.21,
2020-11-13 17:00:00,2020-11-13 18:00:00,26.48,44.58,5.21,14.08,19.3,,19.25,1.18,,,1.18,
2020-11-13 18:00:00,2020-11-13 19:00:00,27.52,46.49,5.35,22.47,27.82,,11.0,1.17,,,1.16,
2020-11-13 19:00:00,2020-11-13 20:00:00,59.46,104.75,9.24,32.75,41.99,,4.5,1.62,,,1.17,
2020-11-13 20:00:00,2020-11-13 21:00:00,76.99,135.79,27.57,41.45,69.02,,4.0,2.29,,,1.2,
2020-11-13 21:00:00,2020-11-13 22:00:00,94.59,166.45,50.55,50.33,100.89,,4.0,3.0,,,1.31,
2020-11-13 22:00:00,2020-11-13 23:00:00,119.18,210.36,38.39,42.93,81.32,,4.0,4.27,,,1.43,
2020-11-13 23:00:00,2020-11-14 00:00:00,122.9,216.83,30.24,37.06,67.3,,3.67,4.6,,,1.48,
2020-11-14 00:00:00,2020-11-14 01:00:00,111.24,196.05,17.49,28.52,46.01,,3.5,4.62,,,1.52,
2020-11-14 01:00:00,2020-11-14 02:00:00,91.65,160.49,13.81,24.1,37.91,,4.0,4.53,,,1.57,
2020-11-14 02:00:00,2020-11-14 03:00:00,76.01,133.41,9.14,20.63,29.78,,4.0,4.16,,,1.58,
2020-11-14 03:00:00,2020-11-14 04:00:00,63.36,110.39,21.83,19.23,40.76,,3.25,4.21,,,1.61,
2020-11-14 04:00:00,2020-11-14 05:00:00,61.13,106.49,11.71,16.19,27.8,,3.0,3.82,,,1.61,
2020-11-14 05:00:00,2020-11-14 06:00:00,66.83,116.67,9.21,16.09,25.3,,3.25,3.7,,,1.29,
2020-11-14 06:00:00,2020-11-14 07:00:00,67.52,117.92,8.56,14.2,22.77,,4.0,3.51,,,1.57,
2020-11-14 07:00:00,2020-11-14 08:00:00,59.12,103.24,8.1,13.3,21.38,,4.0,3.42,,,1.28,
2020-11-14 08:00:00,2020-11-14 09:00:00,53.49,92.82,6.72,12.82,19.38,,5.25,3.45,,,1.53,
2020-11-14 09:00:00,2020-11-14 10:00:00,45.83,79.06,5.53,10.96,16.39,,13.75,2.9,,,1.54,
2020-11-14 10:00:00,2020-11-14 11:00:00,33.16,55.9,5.98,10.88,16.86,,20.25,2.87,,,1.47,
2020-11-14 11:00:00,2020-11-14 12:00:00,22.86,38.27,4.98,9.51,14.49,,22.5,2.28,,,1.39,
2020-11-14 12:00:00,2020-11-14 13:00:00,21.65,36.02,4.93,9.43,14.35,,23.5,1.74,,,1.31,
2020-11-14 13:00:00,2020-11-14 14:00:00,22.17,36.94,6.06,10.67,16.73,,26.25,1.51,,,1.24,
2020-11-14 14:00:00,2020-11-14 15:00:00,22.37,37.3,4.85,10.17,15.02,,25.75,1.34,,,1.19,
2020-11-14 15:00:00,2020-11-14 16:00:00,18.77,30.84,5.65,10.48,16.13,,26.5,1.21,,,1.15,
2020-11-14 16:00:00,2020-11-14 17:00:00,23.47,39.2,5.44,10.57,16.01,,24.5,1.1,,,1.13,
2020-11-14 17:00:00,2020-11-14 18:00:00,23.39,39.12,5.35,11.8,17.15,,19.0,1.03,,,1.11,
2020-11-14 18:00:00,2020-11-14 19:00:00,24.48,41.03,5.6,18.72,24.32,,13.5,1.01,,,1.1,
2020-11-14 19:00:00,2020-11-14 20:00:00,37.87,65.05,5.4,21.03,26.43,,11.5,1.12,,,1.1,
2020-11-14 20:00:00,2020-11-14 21:00:00,69.81,122.03,18.23,34.89,53.11,,6.25,1.28,,,1.12,
2020-11-14 21:00:00,2020-11-14 22:00:00,180.45,320.75,40.04,42.78,82.83,,4.5,2.02,,,1.17,
2020-11-14 22:00:00,2020-11-14 23:00:00,324.03,573.22,34.76,39.75,74.52,,4.0,2.66,,,1.24,
2020-11-14 23:00:00,2020-11-15 00:00:00,333.78,593.37,20.7,33.16,53.86,,4.0,3.17,,,1.31,
2020-11-15 00:00:00,2020-11-15 01:00:00,311.26,553.26,18.23,29.21,47.44,,4.0,3.09,,,1.39,
2020-11-15 01:00:00,2020-11-15 02:00:00,287.13,510.53,12.6,25.24,37.85,,3.75,3.38,,,1.45,
