From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm)
2020-12-17 17:00:00,2020-12-17 18:00:00,29.67,62.67,0.33,4.73,2.77,9.83,0.2,,,,,,,,,2.8,88.33,21.33,758.0,,0.0
2020-12-17 18:00:00,2020-12-17 19:00:00,25.5,62.75,0.8,4.55,3.08,8.95,0.53,,,,,,,24.42,,3.33,107.5,16.25,758.75,,0.0
2020-12-17 19:00:00,2020-12-17 20:00:00,22.75,59.5,0.98,4.33,3.1,8.6,0.97,,,,,,,24.02,,2.9,111.0,15.5,759.0,,0.0
2020-12-17 20:00:00,2020-12-17 21:00:00,27.5,61.0,0.85,3.9,2.75,8.2,3.88,,,,,,,23.73,,2.98,118.25,15.5,759.25,,0.0
2020-12-17 21:00:00,2020-12-17 22:00:00,27.25,60.0,1.02,3.58,2.75,7.62,5.33,,,,,,,23.55,,2.72,133.5,15.5,759.5,,0.0
2020-12-17 22:00:00,2020-12-17 23:00:00,31.5,55.25,0.72,3.08,2.2,7.45,5.52,,,,,,,23.48,,2.77,142.0,15.5,759.25,,0.0
2020-12-17 23:00:00,2020-12-18 00:00:00,32.75,49.5,0.8,2.17,1.65,7.25,4.45,,,,,,,23.17,,2.52,155.25,15.75,759.0,,0.0
2020-12-18 00:00:00,2020-12-18 01:00:00,31.5,49.75,0.82,1.75,1.58,6.95,2.15,,,,,,,23.18,,2.45,126.5,15.75,758.75,,0.0
2020-12-18 01:00:00,2020-12-18 02:00:00,29.5,53.25,0.88,1.88,1.7,6.75,1.33,,,,,,,23.05,,2.4,113.75,15.75,758.0,,0.0
2020-12-18 02:00:00,2020-12-18 03:00:00,29.0,48.5,0.6,1.9,1.5,6.68,1.38,,,,,,,22.93,,2.08,121.5,15.75,758.0,,0.0
2020-12-18 03:00:00,2020-12-18 04:00:00,32.25,49.5,0.68,1.7,1.5,6.67,1.25,,,,,,,22.78,,2.2,143.5,15.75,757.5,,0.0
2020-12-18 04:00:00,2020-12-18 05:00:00,32.5,48.25,0.8,2.2,1.77,6.57,2.52,,,,,,,22.7,,2.02,109.75,15.75,757.5,,0.0
2020-12-18 05:00:00,2020-12-18 06:00:00,31.0,49.0,0.77,2.8,2.12,6.4,2.52,,,,,,,22.62,,2.2,128.25,15.75,758.0,,0.0
2020-12-18 06:00:00,2020-12-18 07:00:00,31.25,51.25,0.7,5.82,3.65,6.2,2.68,,,,,,,22.55,,1.87,135.5,22.0,758.25,,0.0
2020-12-18 07:00:00,2020-12-18 08:00:00,34.25,60.5,1.48,9.47,6.25,6.53,3.33,,,,,,,22.62,,1.62,173.0,88.25,759.0,,0.0
2020-12-18 08:00:00,2020-12-18 09:00:00,38.5,66.0,1.72,6.9,5.1,6.45,2.68,,,,,,,22.73,,3.33,172.75,223.75,760.0,,0.0
2020-12-18 09:00:00,2020-12-18 10:00:00,31.75,61.25,1.82,6.12,4.73,6.25,2.2,,,,,,,22.77,,3.15,189.0,200.0,760.0,,0.0
2020-12-18 10:00:00,2020-12-18 11:00:00,32.25,68.0,1.8,5.83,4.55,6.7,2.93,,,,,,,23.12,,3.8,144.25,365.25,760.0,,0.0
2020-12-18 11:00:00,2020-12-18 12:00:00,27.25,76.25,1.67,4.63,3.83,7.33,3.53,,,,,,,23.27,,4.5,192.25,401.25,759.75,,0.0
2020-12-18 12:00:00,2020-12-18 13:00:00,30.5,74.75,1.67,3.5,3.23,7.8,2.47,,,,,,,23.6,,4.7,173.25,398.75,759.0,,0.0
2020-12-18 13:00:00,2020-12-18 14:00:00,38.25,75.75,1.1,4.0,3.0,7.33,1.05,,,,,,,23.85,,3.88,163.25,215.0,758.25,,0.0
2020-12-18 14:00:00,2020-12-18 15:00:00,39.5,72.5,1.1,3.65,2.85,7.25,0.85,,,,,,,24.23,,4.0,193.25,228.25,758.0,,0.0
2020-12-18 15:00:00,2020-12-18 16:00:00,40.25,76.0,1.12,4.0,3.05,7.17,0.88,,,,,,,24.4,,4.0,149.25,163.75,758.0,,0.0
2020-12-18 16:00:00,2020-12-18 17:00:00,39.5,79.75,1.2,5.03,3.63,7.17,5.15,,,,,,,24.43,,3.43,196.75,74.25,758.0,,0.0
2020-12-18 17:00:00,2020-12-18 18:00:00,44.25,75.0,0.47,3.77,2.4,10.62,6.1,,,,,,,24.68,,3.5,180.25,24.0,758.5,,0.0
2020-12-18 18:00:00,2020-12-18 19:00:00,46.0,81.5,0.6,5.65,3.45,9.17,7.27,,,,,,,24.55,,2.8,174.5,16.25,759.0,,0.0
2020-12-18 19:00:00,2020-12-18 20:00:00,50.0,82.0,0.65,7.1,4.3,9.12,6.5,,,,,,,24.45,,2.6,194.0,16.0,759.25,,0.0
2020-12-18 20:00:00,2020-12-18 21:00:00,52.0,78.75,0.7,6.3,3.9,8.45,2.12,,,,,,,24.32,,2.55,255.0,15.75,760.0,,0.0
2020-12-18 21:00:00,2020-12-18 22:00:00,47.25,74.25,0.7,4.18,2.8,8.03,0.63,,,,,,,24.12,,2.98,224.0,15.75,760.0,,0.0
2020-12-18 22:00:00,2020-12-18 23:00:00,42.0,61.75,0.73,3.3,2.32,7.62,0.97,,,,,,,23.95,,2.65,190.25,15.75,760.0,,0.0
2020-12-18 23:00:00,2020-12-19 00:00:00,41.0,61.5,0.6,2.52,1.85,7.53,1.02,,,,,,,23.77,,2.88,174.5,15.75,760.0,,0.0
2020-12-19 00:00:00,2020-12-19 01:00:00,38.75,74.0,0.53,2.15,1.6,7.47,3.15,,,,,,,23.62,,2.65,158.0,15.75,759.25,,0.0
2020-12-19 01:00:00,2020-12-19 02:00:00,42.5,78.5,0.62,2.15,1.65,7.4,4.12,,,,,,,23.48,,2.75,127.5,15.75,759.0,,0.0
2020-12-19 02:00:00,2020-12-19 03:00:00,47.25,73.5,0.57,2.15,1.65,7.33,3.88,,,,,,,23.38,,2.67,146.25,16.25,758.5,,0.0
2020-12-19 03:00:00,2020-12-19 04:00:00,47.5,73.0,0.62,2.08,1.6,7.35,4.62,,,,,,,23.3,,2.3,129.0,15.75,758.0,,0.0
2020-12-19 04:00:00,2020-12-19 05:00:00,48.0,78.25,0.77,2.12,1.75,7.45,2.77,,,,,,,23.4,,2.6,94.75,15.75,758.0,,0.0
2020-12-19 05:00:00,2020-12-19 06:00:00,53.0,84.5,0.72,2.3,1.8,7.43,3.53,,,,,,,23.25,,2.65,129.75,16.25,758.75,,0.0
2020-12-19 06:00:00,2020-12-19 07:00:00,52.5,85.75,0.97,3.3,2.52,7.28,3.1,,,,,,,23.1,,2.27,176.25,22.25,759.0,,0.0
2020-12-19 07:00:00,2020-12-19 08:00:00,58.25,94.25,0.8,4.0,2.78,7.25,2.45,,,,,,,23.1,,2.4,219.25,56.75,760.0,,0.0
2020-12-19 08:00:00,2020-12-19 09:00:00,52.75,95.0,1.3,5.1,3.8,7.2,2.5,,,,,,,24.2,,2.48,159.25,142.0,760.5,,0.0
2020-12-19 09:00:00,2020-12-19 10:00:00,52.5,97.25,1.15,3.97,3.08,6.85,3.25,,,,,,,23.35,,2.97,159.5,234.75,761.0,,0.0
2020-12-19 10:00:00,2020-12-19 11:00:00,53.25,105.75,1.0,3.38,2.58,7.07,3.1,,,,,,,23.45,,2.85,268.5,250.5,761.0,,0.0
2020-12-19 11:00:00,2020-12-19 12:00:00,51.0,109.25,1.07,4.07,3.0,7.68,4.1,,,,,,,23.65,,3.2,164.25,414.75,760.75,,0.0
2020-12-19 12:00:00,2020-12-19 13:00:00,49.0,105.75,1.13,4.6,3.33,9.63,3.3,,,,,,,28.58,,3.2,184.0,292.25,759.25,,0.0
2020-12-19 13:00:00,2020-12-19 14:00:00,45.25,110.0,,4.65,3.28,9.3,,,,,,,,36.52,,2.6,178.5,217.25,759.0,,0.0
2020-12-19 14:00:00,2020-12-19 15:00:00,51.75,102.75,,4.42,3.35,9.43,,,,,,,,38.52,,2.7,156.5,143.75,759.0,,0.0
2020-12-19 15:00:00,2020-12-19 16:00:00,49.25,92.0,,5.25,3.38,9.85,,,,,,,,39.55,,3.0,143.25,85.5,758.5,,0.0
2020-12-19 16:00:00,2020-12-19 17:00:00,46.0,99.75,,6.9,4.1,10.03,,,,,,,,,,2.9,109.0,52.25,759.0,,0.0
2020-12-19 17:00:00,2020-12-19 18:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 18:00:00,2020-12-19 19:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 19:00:00,2020-12-19 20:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 20:00:00,2020-12-19 21:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 21:00:00,2020-12-19 22:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 22:00:00,2020-12-19 23:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-19 23:00:00,2020-12-20 00:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 00:00:00,2020-12-20 01:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 01:00:00,2020-12-20 02:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 02:00:00,2020-12-20 03:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 03:00:00,2020-12-20 04:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 04:00:00,2020-12-20 05:00:00,,,,,,,,,,,,,,,,,,,,,
2020-12-20 05:00:00,2020-12-20 06:00:00,,,,,,,,,,,,,,,,,,,,,
