From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-03 17:00:00,2023-02-03 18:00:00,25.25,139.5,1.7,36.55,20.83,13.12,12.73,0.9,77.4,1.12,3.77,0.77,1.2,0.95,16.75,0.55,287.0,10.25,24.18,0.0,
2023-02-03 18:00:00,2023-02-03 19:00:00,68.75,471.75,95.57,101.85,131.88,,10.95,4.58,7.33,3.33,14.45,2.9,4.62,4.18,21.5,0.27,329.5,,23.12,0.0,
2023-02-03 19:00:00,2023-02-03 20:00:00,152.75,951.0,158.2,104.18,184.03,,13.78,6.74,1.12,12.57,59.35,11.55,18.55,14.25,26.25,0.17,233.25,0.0,21.95,0.0,
2023-02-03 20:00:00,2023-02-03 21:00:00,213.5,,162.95,103.6,187.57,,11.85,4.41,1.07,19.3,94.5,16.73,28.4,20.82,27.75,0.35,181.75,,21.52,0.0,
2023-02-03 21:00:00,2023-02-03 22:00:00,202.5,674.0,36.8,85.05,75.17,14.3,8.15,2.5,2.85,9.43,46.62,9.65,14.97,12.15,25.75,0.68,22.75,,21.28,0.0,
2023-02-03 22:00:00,2023-02-03 23:00:00,117.25,614.25,16.68,77.23,54.62,18.15,4.72,1.77,11.12,5.0,20.62,4.6,7.05,6.5,30.5,0.32,73.0,,20.5,0.0,
2023-02-03 23:00:00,2023-02-04 00:00:00,72.67,392.33,6.93,54.4,34.57,25.5,3.63,1.0,23.9,3.97,17.8,3.93,6.07,5.53,33.67,0.2,78.33,,19.93,0.0,
2023-02-04 00:00:00,2023-02-04 01:00:00,52.0,284.25,3.0,46.47,27.18,22.02,3.73,0.61,31.58,2.42,9.4,2.0,3.27,2.7,35.25,0.2,79.5,,19.55,0.0,
2023-02-04 01:00:00,2023-02-04 02:00:00,46.25,214.5,1.35,31.08,17.65,20.85,3.67,0.49,43.07,1.85,6.33,1.3,2.2,1.68,37.75,0.2,96.5,,19.1,0.0,
2023-02-04 02:00:00,2023-02-04 03:00:00,45.0,183.0,0.43,21.52,11.78,19.18,3.53,0.44,54.02,1.6,4.92,0.95,1.65,1.23,41.75,0.2,104.0,,18.75,0.0,
2023-02-04 03:00:00,2023-02-04 04:00:00,41.25,109.5,0.53,30.1,16.42,12.28,3.95,0.47,40.42,1.58,3.78,0.7,1.17,0.9,45.0,0.18,108.25,,18.38,0.0,
2023-02-04 04:00:00,2023-02-04 05:00:00,47.25,124.25,0.2,29.98,16.07,9.72,3.5,0.48,43.62,1.55,3.6,0.67,1.1,0.85,49.5,0.15,133.5,,17.78,0.0,
2023-02-04 05:00:00,2023-02-04 06:00:00,47.5,107.5,0.2,20.4,11.03,10.7,2.85,0.57,45.9,1.72,3.45,0.62,1.0,0.75,50.25,0.25,172.75,,17.7,0.0,
2023-02-04 06:00:00,2023-02-04 07:00:00,59.75,167.75,0.98,33.07,18.4,6.15,2.85,0.73,25.33,2.42,4.42,0.75,1.18,0.88,51.0,0.25,176.0,,17.18,0.0,
2023-02-04 07:00:00,2023-02-04 08:00:00,78.0,318.5,6.32,54.23,33.98,1.4,3.85,1.07,20.08,3.02,4.72,0.88,1.42,1.05,49.5,0.3,141.0,3.33,17.5,0.0,
2023-02-04 08:00:00,2023-02-04 09:00:00,98.25,415.25,8.65,56.4,37.0,,5.3,1.46,27.85,3.67,6.7,1.28,2.15,1.73,44.75,0.27,162.25,9.0,18.48,0.0,
2023-02-04 09:00:00,2023-02-04 10:00:00,126.75,487.75,32.02,78.05,67.58,,8.35,2.44,23.93,5.4,16.03,3.32,5.12,4.7,37.0,0.23,115.25,24.0,20.7,0.0,
2023-02-04 10:00:00,2023-02-04 11:00:00,131.0,582.0,18.53,69.08,51.8,,9.75,1.88,46.73,5.6,21.22,4.5,6.83,6.47,28.0,0.22,110.5,95.0,22.57,0.0,
2023-02-04 11:00:00,2023-02-04 12:00:00,97.5,482.0,8.78,60.73,39.42,9.35,6.4,1.31,66.08,3.9,15.4,3.87,5.45,5.15,24.25,0.35,127.0,117.75,23.5,0.0,
2023-02-04 12:00:00,2023-02-04 13:00:00,56.0,336.0,2.8,42.15,24.73,14.8,5.33,0.93,101.57,2.72,11.22,2.68,3.95,3.82,21.5,0.57,201.75,123.5,24.05,0.0,
2023-02-04 13:00:00,2023-02-04 14:00:00,44.5,194.5,1.23,31.58,17.75,17.85,5.42,0.74,116.62,1.73,5.3,1.12,1.58,1.38,19.75,0.88,207.25,120.25,24.45,0.0,
2023-02-04 14:00:00,2023-02-04 15:00:00,45.0,186.5,2.12,28.1,16.68,16.83,4.28,0.57,95.52,1.35,4.15,0.82,1.25,0.98,18.25,0.95,292.0,105.25,24.73,0.0,
2023-02-04 15:00:00,2023-02-04 16:00:00,39.75,238.25,1.15,19.2,11.15,14.4,3.45,0.43,96.38,1.3,3.92,0.75,1.25,1.0,17.25,0.75,295.0,77.0,24.9,0.0,
2023-02-04 16:00:00,2023-02-04 17:00:00,33.5,212.25,2.73,30.12,18.23,10.6,3.35,0.7,87.22,0.95,3.05,0.57,0.95,0.72,18.25,0.68,153.75,40.25,24.88,0.0,
2023-02-04 17:00:00,2023-02-04 18:00:00,39.5,277.75,4.78,51.68,31.38,2.97,4.05,1.37,52.33,2.25,10.35,2.17,3.65,3.25,19.0,0.45,282.5,9.0,24.4,0.0,
2023-02-04 18:00:00,2023-02-04 19:00:00,58.0,443.0,33.58,77.2,68.38,4.5,6.08,2.88,18.6,3.12,15.55,3.33,4.83,4.42,23.25,0.18,247.75,,23.18,0.0,
2023-02-04 19:00:00,2023-02-04 20:00:00,101.25,568.5,91.25,101.83,128.38,,11.88,4.61,1.7,8.57,35.2,9.05,10.95,9.55,25.25,0.38,331.25,,22.67,0.0,
2023-02-04 20:00:00,2023-02-04 21:00:00,186.0,963.0,21.13,80.13,59.8,9.1,9.73,2.13,8.97,9.93,37.27,8.03,11.4,9.6,26.67,0.6,343.33,,22.23,0.0,
2023-02-04 21:00:00,2023-02-04 22:00:00,139.0,403.0,8.7,54.8,36.25,15.73,5.97,1.38,28.02,3.67,13.68,3.1,4.78,4.1,31.0,0.95,24.5,0.75,21.35,0.0,
2023-02-04 22:00:00,2023-02-04 23:00:00,82.25,394.75,6.1,55.0,34.22,15.77,4.82,1.4,30.73,3.12,11.07,2.4,3.78,3.25,35.75,0.4,71.75,0.5,20.67,0.0,
