From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-21 16:00:00,2023-02-21 17:00:00,17.5,61.0,7.35,38.75,26.55,0.1,6.33,0.83,86.88,0.0,0.6,,,,15.5,1.32,272.0,171.0,33.17,0.0,0.0
2023-02-21 17:00:00,2023-02-21 18:00:00,23.5,76.0,2.3,29.85,17.75,,6.28,0.68,87.83,0.0,0.6,,,,18.5,0.95,65.25,39.5,30.68,0.0,0.0
2023-02-21 18:00:00,2023-02-21 19:00:00,29.5,83.75,1.77,40.22,22.82,0.15,5.58,0.89,71.22,0.0,0.6,,,,24.5,1.08,80.5,9.5,27.47,0.0,0.0
2023-02-21 19:00:00,2023-02-21 20:00:00,37.25,89.75,1.2,30.05,16.95,0.12,5.15,0.78,74.03,0.0,0.6,,,,26.25,1.0,88.75,9.0,26.1,0.0,0.0
2023-02-21 20:00:00,2023-02-21 21:00:00,39.0,84.0,1.55,52.1,28.98,0.1,11.65,1.22,43.75,0.0,0.6,,,,27.75,0.8,105.25,9.0,24.75,0.0,0.0
2023-02-21 21:00:00,2023-02-21 22:00:00,64.25,128.0,8.1,56.83,36.82,,9.1,1.39,32.92,0.0,0.6,,,,33.25,0.67,120.75,9.0,23.05,0.0,0.0
2023-02-21 22:00:00,2023-02-21 23:00:00,70.25,155.75,0.95,47.03,25.82,,6.67,1.07,45.12,0.0,0.6,,,,32.25,0.85,96.0,9.0,23.02,0.0,0.0
2023-02-21 23:00:00,2023-02-22 00:00:00,49.5,116.0,1.02,42.67,23.5,,7.73,0.78,45.4,0.0,0.6,,,,36.25,0.85,99.75,9.0,21.93,0.0,0.0
2023-02-22 00:00:00,2023-02-22 01:00:00,47.0,101.75,1.1,43.52,24.02,0.2,5.5,0.69,45.33,0.0,0.6,,,,38.0,0.8,105.75,9.0,20.52,0.0,0.0
2023-02-22 01:00:00,2023-02-22 02:00:00,41.75,94.5,0.73,24.5,13.6,,6.62,0.46,62.88,0.0,0.6,,,,43.0,0.9,97.25,9.0,19.98,0.0,0.0
2023-02-22 02:00:00,2023-02-22 03:00:00,33.75,79.0,0.65,23.0,12.75,0.2,10.6,0.41,59.55,0.0,0.6,,,,41.25,0.68,120.5,9.0,18.9,0.0,0.0
2023-02-22 03:00:00,2023-02-22 04:00:00,36.0,78.75,0.65,22.15,12.33,0.12,11.68,0.39,65.03,0.0,0.6,,,,40.75,0.7,112.75,9.0,18.15,0.0,0.0
2023-02-22 04:00:00,2023-02-22 05:00:00,41.0,80.0,0.72,18.8,10.58,,12.55,0.36,69.18,0.0,0.6,,,,43.5,0.7,130.0,9.0,17.32,0.0,0.0
2023-02-22 05:00:00,2023-02-22 06:00:00,37.25,87.75,0.77,20.1,11.3,0.15,13.45,0.42,72.75,0.0,0.6,,,,47.0,0.65,123.25,9.0,16.98,0.0,0.0
2023-02-22 06:00:00,2023-02-22 07:00:00,41.75,99.0,0.65,17.12,9.65,0.1,13.43,0.46,72.1,0.0,0.6,,,,52.5,0.7,150.5,12.75,16.8,0.0,0.0
2023-02-22 07:00:00,2023-02-22 08:00:00,47.25,126.0,1.22,21.4,12.38,0.15,14.25,0.54,76.62,0.0,0.6,,,,48.0,0.77,75.75,39.75,18.48,0.0,0.0
2023-02-22 08:00:00,2023-02-22 09:00:00,49.75,153.75,4.92,31.65,20.82,0.33,14.42,0.63,71.1,0.0,0.6,,,,44.75,1.0,339.5,205.0,21.2,0.0,0.0
2023-02-22 09:00:00,2023-02-22 10:00:00,47.5,132.75,4.25,23.1,15.75,0.15,12.75,0.6,86.37,0.0,0.6,,,,37.75,1.15,128.0,352.75,24.48,0.0,0.0
2023-02-22 10:00:00,2023-02-22 11:00:00,43.0,125.75,4.08,21.1,14.55,,19.45,0.58,86.95,0.0,0.6,,,,36.25,1.1,266.25,390.0,26.68,0.0,0.0
2023-02-22 11:00:00,2023-02-22 12:00:00,38.25,128.0,5.45,26.65,18.6,,19.33,0.72,84.65,0.0,0.6,,,,35.25,1.15,258.75,412.0,27.9,0.0,0.0
2023-02-22 12:00:00,2023-02-22 13:00:00,35.5,117.75,5.1,25.8,17.87,0.1,22.62,0.59,95.53,0.0,0.6,,,,35.5,1.12,291.25,507.5,29.55,0.0,0.0
