From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2021-11-22 16:00:00,2021-11-22 17:00:00,101.0,297.0,10.5,191.2,110.3,30.9,3.2,2.37,29.6,2.0,55.6,9.1,26.4,,22.0,0.6,349.0,6.0,,12.5,0.0,
2021-11-22 17:00:00,2021-11-22 18:00:00,107.5,300.75,6.5,165.23,93.17,34.18,3.17,1.73,49.42,2.2,75.03,9.57,27.4,,22.75,0.62,351.25,6.25,,13.05,0.0,
2021-11-22 18:00:00,2021-11-22 19:00:00,124.5,277.25,1.3,144.6,77.97,34.2,2.73,1.29,62.4,2.15,57.22,6.78,18.6,,23.0,0.6,353.25,6.0,,9.75,0.0,
2021-11-22 19:00:00,2021-11-22 20:00:00,124.25,220.25,2.93,189.8,103.33,31.8,0.55,1.51,48.75,1.93,61.48,6.5,18.0,,23.0,0.6,354.0,6.0,,9.15,0.0,0.4
2021-11-22 20:00:00,2021-11-22 21:00:00,116.0,232.75,39.12,270.82,175.88,35.9,,3.0,4.0,2.1,73.0,7.78,21.55,,26.5,0.6,354.75,6.0,,10.9,0.0,0.95
2021-11-22 21:00:00,2021-11-22 22:00:00,170.75,359.5,58.73,251.57,181.55,40.78,,3.13,2.35,3.43,89.15,10.55,26.97,,30.0,0.6,354.5,6.0,,14.55,0.0,1.2
2021-11-22 22:00:00,2021-11-22 23:00:00,221.0,411.5,32.48,232.43,150.03,29.95,,1.99,5.03,2.98,87.23,9.12,22.73,,30.0,0.62,354.5,5.75,,12.75,0.0,1.0
2021-11-22 23:00:00,2021-11-23 00:00:00,181.5,337.5,14.3,139.62,85.9,32.05,2.9,1.33,11.73,1.58,75.3,5.2,18.75,,29.0,0.67,356.25,5.75,,9.88,0.0,
2021-11-23 00:00:00,2021-11-23 01:00:00,175.25,302.75,7.0,149.38,85.15,38.65,2.88,1.18,13.5,1.18,57.35,5.28,14.22,,30.75,0.7,354.75,5.5,,7.1,0.0,
2021-11-23 01:00:00,2021-11-23 02:00:00,145.0,218.5,13.88,158.32,95.5,36.92,2.67,1.11,8.57,1.28,55.22,5.0,13.28,,32.0,0.77,353.5,5.5,,6.6,0.0,
2021-11-23 02:00:00,2021-11-23 03:00:00,134.5,193.75,14.73,162.38,98.35,40.85,2.17,1.07,5.15,1.23,51.88,4.62,11.82,,31.75,0.8,358.0,5.5,,6.2,0.0,
2021-11-23 03:00:00,2021-11-23 04:00:00,134.0,188.0,4.88,188.97,104.47,36.52,,0.72,21.4,1.02,49.1,4.0,10.18,,29.75,0.7,356.33,6.0,,5.5,0.0,0.5
2021-11-23 04:00:00,2021-11-23 05:00:00,93.5,169.25,3.77,195.6,107.1,27.85,,0.73,18.2,0.73,53.38,4.0,10.43,,29.75,0.6,357.0,5.75,,5.6,0.0,0.95
2021-11-23 05:00:00,2021-11-23 06:00:00,89.0,148.75,1.48,154.95,83.62,26.95,,0.67,47.9,0.65,57.92,4.33,10.82,,27.0,0.72,268.25,6.0,,5.92,0.0,1.2
2021-11-23 06:00:00,2021-11-23 07:00:00,97.25,130.5,1.57,146.1,79.02,21.73,,0.82,39.3,0.7,62.42,4.5,11.03,,26.75,0.72,92.0,12.5,,6.18,0.0,1.35
2021-11-23 07:00:00,2021-11-23 08:00:00,116.25,205.5,2.32,95.15,52.52,22.88,2.42,0.8,53.57,0.88,61.83,3.45,12.5,,23.75,0.82,4.0,24.5,,6.22,0.0,
2021-11-23 08:00:00,2021-11-23 09:00:00,137.5,247.25,3.13,100.27,55.87,29.0,3.33,0.84,89.75,1.15,54.67,4.85,13.12,,20.25,0.62,180.25,42.25,,6.7,0.0,
2021-11-23 09:00:00,2021-11-23 10:00:00,142.75,263.25,,,,28.8,,0.69,98.15,0.97,51.12,4.57,12.72,,18.75,0.45,344.25,49.25,,6.4,0.0,
2021-11-23 10:00:00,2021-11-23 11:00:00,128.0,249.25,,,,,,,,1.05,42.57,4.17,11.55,,18.75,0.47,350.0,92.75,,5.85,0.0,17.2
2021-11-23 11:00:00,2021-11-23 12:00:00,150.5,282.25,,,,,2.45,0.77,123.85,1.23,32.13,2.4,11.1,,15.75,0.55,345.5,190.75,,5.53,0.0,0.1
2021-11-23 12:00:00,2021-11-23 13:00:00,154.0,267.5,,,,,1.68,0.8,138.22,1.27,27.15,4.1,10.2,,13.75,0.68,353.5,86.5,,5.05,0.0,0.1
