From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-03 18:00:00,2023-02-03 19:00:00,22.75,97.25,40.05,81.02,75.65,33.27,2.73,1.94,16.48,3.25,,,,,64.0,0.27,54.25,8.75,21.65,0.0,
2023-02-03 19:00:00,2023-02-03 20:00:00,49.75,164.75,51.12,78.3,83.17,38.47,2.8,2.28,23.2,7.25,31.05,7.92,17.2,12.62,72.5,0.2,97.0,7.75,20.1,0.0,
2023-02-03 20:00:00,2023-02-03 21:00:00,113.0,168.0,111.78,79.12,132.93,51.88,3.55,2.77,39.27,9.9,25.4,6.1,13.25,9.1,77.75,0.33,90.5,7.5,19.43,0.0,
2023-02-03 21:00:00,2023-02-03 22:00:00,187.75,230.0,146.55,70.28,156.55,57.17,4.65,3.45,30.95,11.2,44.28,13.68,25.12,16.68,81.75,0.17,56.0,7.75,18.9,0.0,
2023-02-03 22:00:00,2023-02-03 23:00:00,146.0,238.5,161.9,62.83,165.03,62.12,5.42,4.05,40.52,14.3,64.13,18.83,32.13,24.3,85.25,0.2,85.25,7.25,17.38,0.0,
2023-02-03 23:00:00,2023-02-04 00:00:00,194.75,313.75,172.27,50.05,166.68,65.3,5.65,4.53,44.65,18.12,82.53,24.55,40.88,30.07,88.25,0.12,202.5,7.25,12.9,0.0,
2023-02-04 00:00:00,2023-02-04 01:00:00,208.5,297.25,114.8,46.73,118.15,62.88,4.33,4.32,32.88,17.47,81.45,24.15,40.25,30.25,89.25,0.17,331.75,7.5,12.88,0.0,
2023-02-04 01:00:00,2023-02-04 02:00:00,151.75,252.25,46.3,52.77,65.7,46.85,2.4,3.18,17.48,7.85,,,,,87.25,0.1,139.25,8.0,12.1,0.0,
2023-02-04 02:00:00,2023-02-04 03:00:00,83.75,184.25,50.85,34.78,59.85,44.08,2.02,2.4,16.88,5.12,,,,,90.0,0.15,84.5,7.25,11.48,0.0,
2023-02-04 03:00:00,2023-02-04 04:00:00,68.75,124.0,45.62,29.62,52.88,42.52,1.8,1.98,16.48,4.53,15.8,3.0,5.9,4.0,91.25,0.1,88.5,7.25,11.03,0.0,
2023-02-04 04:00:00,2023-02-04 05:00:00,66.25,98.75,53.83,25.95,57.55,40.15,2.02,1.74,16.35,3.97,,,,,91.25,0.25,93.25,7.0,10.9,0.0,
2023-02-04 05:00:00,2023-02-04 06:00:00,66.0,90.5,39.73,28.98,47.7,36.42,2.1,1.57,13.3,3.23,,,,,91.0,0.38,81.0,7.25,10.32,0.0,
2023-02-04 06:00:00,2023-02-04 07:00:00,60.25,71.0,57.53,26.95,61.12,37.1,2.58,1.69,18.05,4.4,20.3,3.9,6.8,4.9,91.0,0.38,89.0,9.75,9.8,0.0,
2023-02-04 07:00:00,2023-02-04 08:00:00,84.25,127.0,72.38,29.98,74.75,39.08,2.85,1.92,20.35,5.97,21.4,4.1,7.65,5.2,88.0,0.27,83.5,145.0,10.62,0.0,
2023-02-04 08:00:00,2023-02-04 09:00:00,96.75,168.25,81.35,72.97,104.95,55.8,3.17,2.45,24.7,8.57,33.77,7.77,14.97,10.9,71.75,0.3,158.75,227.25,15.02,0.0,
2023-02-04 09:00:00,2023-02-04 10:00:00,131.75,221.5,11.62,65.93,44.53,44.98,5.55,2.3,71.62,7.7,22.93,5.23,9.97,7.28,52.5,0.35,126.5,170.0,19.0,0.0,
2023-02-04 10:00:00,2023-02-04 11:00:00,114.75,191.5,10.25,66.2,43.6,42.62,9.2,1.99,87.88,5.03,15.58,2.95,5.45,4.1,48.0,0.5,241.5,132.5,20.45,0.0,
2023-02-04 11:00:00,2023-02-04 12:00:00,96.75,167.25,5.55,50.78,31.5,36.92,12.15,1.74,102.37,4.23,14.93,2.8,5.43,4.0,42.25,0.8,287.5,111.5,21.38,0.0,
2023-02-04 12:00:00,2023-02-04 13:00:00,68.25,132.75,5.8,43.38,27.8,28.58,13.1,1.49,90.57,,,,,,41.0,0.73,294.0,138.75,22.45,0.0,
2023-02-04 13:00:00,2023-02-04 14:00:00,47.75,73.0,3.73,26.98,17.4,26.05,10.83,1.31,99.38,1.8,,,,,36.5,0.87,282.5,171.5,24.97,0.0,
2023-02-04 14:00:00,2023-02-04 15:00:00,30.75,42.0,1.85,23.35,13.9,22.65,11.28,1.17,108.92,1.25,,,,,32.75,0.67,244.75,241.25,31.47,0.0,
2023-02-04 15:00:00,2023-02-04 16:00:00,29.5,47.25,0.97,20.95,11.95,20.4,9.72,1.12,113.4,0.93,,,,,27.5,0.55,174.25,221.75,32.08,0.0,
2023-02-04 16:00:00,2023-02-04 17:00:00,18.25,43.0,1.02,29.75,16.65,18.65,7.23,1.14,109.52,1.05,,,,,28.0,0.48,248.75,101.25,31.7,0.0,
2023-02-04 17:00:00,2023-02-04 18:00:00,19.75,61.25,12.75,68.3,46.7,23.6,5.15,1.34,54.48,1.6,,,,,42.75,0.28,60.75,40.25,26.12,0.0,
2023-02-04 18:00:00,2023-02-04 19:00:00,30.5,121.5,51.35,94.4,91.95,33.95,4.0,2.01,16.32,5.35,,,,,58.0,0.32,74.25,9.75,20.02,0.0,
2023-02-04 19:00:00,2023-02-04 20:00:00,62.25,181.25,57.12,84.92,91.62,33.08,3.62,2.37,19.88,6.25,,,,,65.0,0.2,98.75,8.5,18.7,0.0,
2023-02-04 20:00:00,2023-02-04 21:00:00,75.75,172.25,106.9,85.28,132.3,43.83,3.85,2.71,23.43,6.53,,,,,70.75,0.17,89.5,8.0,17.9,0.0,
2023-02-04 21:00:00,2023-02-04 22:00:00,96.75,199.5,157.68,89.45,175.77,56.12,4.9,3.54,30.35,11.47,59.5,17.7,24.7,23.3,74.0,0.17,98.75,8.5,17.52,0.0,
