From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2021-11-22 16:00:00,2021-11-22 17:00:00,79.0,,20.0,133.4,87.2,,,0.71,59.5,,,,,,44.0,0.2,282.0,15.0,,,0.0,25.6
2021-11-22 17:00:00,2021-11-22 18:00:00,86.0,339.0,14.75,137.15,84.92,,,0.88,58.2,,,,,,50.25,0.3,279.25,12.0,,,0.0,25.15
2021-11-22 18:00:00,2021-11-22 19:00:00,108.75,402.25,11.97,125.72,76.6,0.1,4.75,0.68,72.4,,,,,,55.25,0.22,278.75,11.5,,,0.0,24.62
2021-11-22 19:00:00,2021-11-22 20:00:00,124.25,391.25,13.47,172.65,102.78,0.1,7.43,1.2,33.27,,,,,,64.5,0.3,249.5,11.0,,,0.0,24.15
2021-11-22 20:00:00,2021-11-22 21:00:00,156.75,469.0,7.23,144.15,82.5,0.1,9.03,1.04,51.82,,,,,,64.75,0.3,265.75,11.25,,,0.0,23.95
2021-11-22 21:00:00,2021-11-22 22:00:00,161.5,429.0,8.5,133.05,77.65,,10.18,0.92,56.83,,,,,,67.0,0.33,258.5,11.25,,,0.0,23.73
2021-11-22 22:00:00,2021-11-22 23:00:00,159.75,421.5,9.35,106.33,64.15,0.1,6.2,0.66,57.67,,,,,,73.25,0.25,265.75,12.0,,,0.0,23.23
2021-11-22 23:00:00,2021-11-23 00:00:00,156.25,404.25,11.4,88.97,56.63,,,0.26,66.4,,,,,,72.0,0.3,276.75,12.0,,,0.0,23.13
2021-11-23 00:00:00,2021-11-23 01:00:00,144.5,379.25,14.43,104.65,67.4,,,0.26,65.47,,,,,,69.5,0.27,230.0,12.0,,,0.0,23.0
2021-11-23 01:00:00,2021-11-23 02:00:00,134.0,360.5,11.57,101.6,63.45,,,0.22,39.5,,,,,,82.5,0.38,251.75,12.0,,,0.0,22.18
2021-11-23 02:00:00,2021-11-23 03:00:00,134.5,362.75,12.58,99.0,62.9,,3.2,0.16,24.35,,,,,,90.75,0.32,254.0,11.25,,,0.0,21.48
2021-11-23 03:00:00,2021-11-23 04:00:00,136.25,335.0,10.95,113.05,69.03,,9.27,0.17,20.12,,,,,,91.0,0.2,237.25,11.25,,,0.0,21.25
2021-11-23 04:00:00,2021-11-23 05:00:00,135.0,317.25,10.77,118.6,71.85,,11.77,0.22,14.15,,,,,,92.0,0.2,245.75,10.75,,,0.0,21.05
2021-11-23 05:00:00,2021-11-23 06:00:00,132.25,259.5,10.03,118.7,71.3,,12.2,0.21,13.03,,,,,,91.25,0.33,254.75,11.0,,,0.0,21.02
2021-11-23 06:00:00,2021-11-23 07:00:00,146.75,386.67,25.95,126.6,88.42,0.1,10.85,0.32,9.18,,,,,,86.0,0.45,253.0,25.0,,,0.0,21.5
2021-11-23 07:00:00,2021-11-23 08:00:00,168.25,414.0,19.65,116.95,78.2,0.1,,0.18,18.07,,,,,,78.25,0.4,260.0,82.75,,,0.0,22.35
2021-11-23 08:00:00,2021-11-23 09:00:00,184.25,438.25,11.47,91.83,58.13,,,0.1,62.75,,,,,,64.75,0.85,300.75,160.0,,,0.0,23.35
2021-11-23 09:00:00,2021-11-23 10:00:00,164.25,380.75,11.8,94.6,59.9,,,0.07,79.25,,,,,,56.25,0.92,315.5,231.25,,,0.0,24.02
2021-11-23 10:00:00,2021-11-23 11:00:00,156.0,414.5,15.87,86.38,54.08,39.5,4.53,0.12,79.43,,,,,,49.25,0.65,236.25,275.75,,,0.0,25.85
2021-11-23 11:00:00,2021-11-23 12:00:00,,406.25,14.1,107.97,68.9,51.42,4.6,0.08,103.17,,,,,,41.5,0.73,310.75,272.25,,,0.0,26.3
2021-11-23 12:00:00,2021-11-23 13:00:00,87.0,376.75,16.27,94.98,63.73,41.85,20.7,3.16,115.05,,,,,,31.25,0.8,334.75,273.5,,,0.0,26.4
2021-11-23 13:00:00,2021-11-23 14:00:00,84.0,314.0,,,,,,4.09,111.88,,,,,,26.5,0.88,330.25,216.25,,,0.0,26.9
2021-11-23 14:00:00,2021-11-23 15:00:00,71.5,285.0,10.5,67.92,44.68,31.15,2.98,0.0,125.95,,,,,,25.5,0.72,333.25,156.0,,,0.0,26.8
2021-11-23 15:00:00,2021-11-23 16:00:00,59.5,251.0,12.87,54.2,39.33,23.62,0.95,0.0,120.05,,,,,,27.75,0.4,339.0,73.75,,,0.0,27.05
2021-11-23 16:00:00,2021-11-23 17:00:00,58.0,260.75,16.38,76.68,54.08,24.38,,0.0,79.05,,,,,,40.0,0.2,195.25,21.0,,,0.0,26.02
2021-11-23 17:00:00,2021-11-23 18:00:00,78.25,366.75,36.33,146.03,107.25,33.35,0.2,0.0,11.22,,,,,,57.25,0.17,260.0,12.0,,,0.0,23.88
2021-11-23 18:00:00,2021-11-23 19:00:00,131.5,240.5,34.8,142.92,104.3,40.7,1.73,0.0,10.57,,,,,,66.0,0.17,220.75,12.25,,,0.0,23.25
2021-11-23 19:00:00,2021-11-23 20:00:00,193.5,233.5,43.52,124.15,101.43,46.38,0.5,0.0,8.3,,,,,,75.0,0.23,253.75,11.75,,,0.0,22.75
2021-11-23 20:00:00,2021-11-23 21:00:00,204.0,281.0,20.6,105.8,73.03,44.95,,0.0,14.18,,,,,,76.25,0.25,237.25,11.5,,,0.0,22.42
2021-11-23 21:00:00,2021-11-23 22:00:00,,,21.02,105.65,73.3,47.38,0.3,0.0,15.72,,,,,,75.75,0.23,186.75,11.25,,,0.0,22.15
2021-11-23 22:00:00,2021-11-23 23:00:00,,,24.78,112.22,79.83,53.73,,0.0,7.83,,,,,,81.75,0.25,202.0,11.0,,,0.0,21.73
2021-11-23 23:00:00,2021-11-24 00:00:00,225.0,227.25,16.48,111.27,72.62,58.15,2.2,0.76,7.85,,,,,,87.5,0.38,249.5,11.5,,,0.0,21.45
2021-11-24 00:00:00,2021-11-24 01:00:00,207.0,208.0,13.52,104.6,66.65,55.47,3.72,1.33,6.88,,,,,,91.5,0.25,255.5,11.5,,,0.0,21.23
2021-11-24 01:00:00,2021-11-24 02:00:00,,,15.25,106.88,69.22,56.0,3.75,,7.32,,,,,,90.25,0.23,229.25,11.25,,,0.0,21.07
2021-11-24 02:00:00,2021-11-24 03:00:00,,,12.83,97.12,62.07,51.78,4.05,,13.88,,,,,,84.75,0.12,214.25,11.5,,,0.0,20.85
2021-11-24 03:00:00,2021-11-24 04:00:00,,,14.6,83.4,56.2,45.98,4.2,,16.9,,,,,,85.75,0.17,198.25,11.25,,,0.0,20.73
2021-11-24 04:00:00,2021-11-24 05:00:00,,,16.47,88.1,60.27,44.67,4.15,,14.95,,,,,,85.0,0.15,199.75,11.25,,,0.0,20.65
2021-11-24 05:00:00,2021-11-24 06:00:00,190.0,,23.32,95.4,69.67,41.7,4.1,1.23,8.42,,,,,,88.25,0.2,244.25,11.0,,,0.0,20.67
2021-11-24 06:00:00,2021-11-24 07:00:00,193.0,,23.63,97.08,70.85,43.5,3.8,0.4,7.05,,,,,,89.0,0.25,218.75,24.25,,,0.0,20.75
2021-11-24 07:00:00,2021-11-24 08:00:00,203.67,,18.37,106.17,71.4,53.6,4.57,0.63,8.25,,,,,,82.67,0.33,240.0,82.67,,,0.0,21.33
