From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-03 17:00:00,2020-03-03 18:00:00,57.22,134.38,3.36,20.52,13.48,46.81,24.02,1.46,78.15,1.97,1.6,8.97,11.06,36.76,0.68,322.68,35.95,9.2,26.27,0.0
2020-03-03 18:00:00,2020-03-03 19:00:00,46.93,182.2,4.62,19.93,14.19,39.15,26.01,1.53,25.1,1.88,1.6,8.83,10.74,40.94,0.37,140.92,3.04,9.04,24.36,0.0
2020-03-03 19:00:00,2020-03-03 20:00:00,60.66,360.45,10.52,22.49,20.26,35.65,26.71,1.72,5.84,2.03,1.75,9.04,11.1,50.55,0.4,116.06,,9.29,22.38,0.0
2020-03-03 20:00:00,2020-03-03 21:00:00,98.41,498.08,13.26,21.14,21.75,30.34,27.28,1.87,7.05,2.15,1.82,9.23,11.43,55.73,0.27,69.33,,9.38,21.43,0.0
2020-03-03 21:00:00,2020-03-03 22:00:00,106.69,442.43,16.6,20.21,23.94,30.02,27.43,2.02,1.24,2.22,1.87,9.04,11.29,60.77,0.26,50.19,,9.22,20.53,0.0
2020-03-03 22:00:00,2020-03-03 23:00:00,129.53,532.81,22.51,20.02,28.59,32.34,27.34,2.14,0.79,2.27,1.91,8.91,11.18,68.66,0.15,112.71,,9.13,19.11,0.0
2020-03-03 23:00:00,2020-03-04 00:00:00,137.68,506.13,25.88,19.41,30.96,33.13,26.97,2.2,0.84,2.31,1.94,8.79,11.07,69.78,0.16,106.75,,8.98,18.58,0.0
2020-03-04 00:00:00,2020-03-04 01:00:00,145.12,285.64,25.74,18.58,30.42,31.79,22.86,2.2,5.93,2.3,1.95,8.85,10.95,68.32,0.14,132.91,,8.94,18.36,0.0
2020-03-04 01:00:00,2020-03-04 02:00:00,128.82,234.69,23.05,18.7,28.33,31.77,20.36,2.2,5.78,2.14,1.93,11.31,12.46,70.9,0.17,151.07,,10.54,17.88,0.0
2020-03-04 02:00:00,2020-03-04 03:00:00,137.31,208.87,20.82,18.67,26.52,33.11,20.31,2.17,5.3,2.08,1.92,14.11,14.69,74.64,0.15,176.75,,11.96,17.33,0.0
2020-03-04 03:00:00,2020-03-04 04:00:00,147.63,209.84,18.94,18.23,24.78,32.2,19.8,2.16,1.51,2.0,1.91,15.99,16.21,78.84,0.17,94.8,,12.57,16.99,0.0
2020-03-04 04:00:00,2020-03-04 05:00:00,152.69,215.26,17.72,17.61,23.48,33.39,19.45,2.13,1.4,1.99,1.9,16.36,16.45,78.85,0.19,141.0,,12.57,16.84,0.0
2020-03-04 05:00:00,2020-03-04 06:00:00,149.78,252.51,16.78,16.92,22.37,31.12,19.45,2.15,0.37,1.93,1.88,19.66,19.78,81.61,0.17,79.19,,13.86,16.49,0.0
2020-03-04 06:00:00,2020-03-04 07:00:00,162.09,333.87,17.02,17.27,22.74,32.46,19.0,2.14,0.06,1.89,1.85,21.54,21.8,80.73,0.22,95.89,2.96,14.63,16.43,0.0
2020-03-04 07:00:00,2020-03-04 08:00:00,174.29,293.71,19.18,17.7,24.7,31.19,18.7,2.2,0.57,1.84,1.83,20.46,20.56,76.77,0.15,141.91,75.61,14.34,17.39,0.0
2020-03-04 08:00:00,2020-03-04 09:00:00,199.32,393.94,21.12,18.42,26.63,32.2,19.16,2.27,13.8,1.9,1.82,18.32,18.66,64.43,0.43,148.77,274.29,13.3,20.22,0.0
2020-03-04 09:00:00,2020-03-04 10:00:00,193.39,359.52,18.71,18.83,24.91,30.98,19.8,2.27,49.77,1.95,1.83,16.77,17.39,57.29,0.69,101.59,443.59,12.58,21.92,0.0
2020-03-04 10:00:00,2020-03-04 11:00:00,195.28,337.37,13.57,18.81,20.78,34.0,19.0,2.2,76.83,1.93,1.82,15.49,16.33,53.28,1.15,122.25,582.16,11.99,23.42,0.0
2020-03-04 11:00:00,2020-03-04 12:00:00,170.96,282.59,6.62,19.36,15.49,53.23,15.49,1.95,90.48,1.92,1.63,13.34,14.42,46.71,1.12,134.38,668.81,10.76,25.2,0.0
2020-03-04 12:00:00,2020-03-04 13:00:00,142.1,214.17,3.91,17.46,12.33,45.7,14.87,1.83,107.35,1.63,1.29,11.22,12.14,47.46,1.28,138.5,648.18,9.27,25.97,0.0
2020-03-04 13:00:00,2020-03-04 14:00:00,106.96,180.86,3.99,15.66,11.45,40.89,16.27,1.78,110.01,1.68,1.37,11.08,12.16,47.81,1.43,141.12,593.35,9.54,26.37,0.0
2020-03-04 14:00:00,2020-03-04 15:00:00,81.28,177.12,3.75,15.03,10.93,37.81,17.41,1.75,110.81,1.71,1.42,10.73,11.94,49.8,0.96,152.25,376.89,9.54,26.71,0.0
2020-03-04 15:00:00,2020-03-04 16:00:00,87.62,184.12,3.74,14.75,10.77,34.98,17.87,1.73,109.35,1.72,1.44,10.8,11.76,51.29,1.45,148.97,124.94,9.49,25.64,0.0
2020-03-04 16:00:00,2020-03-04 17:00:00,93.67,196.87,3.63,15.2,10.93,32.86,18.2,1.71,97.64,1.7,1.45,10.43,11.37,58.97,1.41,160.36,38.59,9.31,24.05,0.0
2020-03-04 17:00:00,2020-03-04 18:00:00,95.67,195.97,3.48,15.45,10.94,29.02,16.37,1.65,72.36,1.59,1.36,9.86,10.61,63.89,1.42,171.55,59.7,8.74,20.95,0.0
2020-03-04 18:00:00,2020-03-04 19:00:00,77.31,176.16,3.76,14.24,10.53,23.05,14.81,1.63,64.8,1.4,1.21,9.15,9.68,65.53,1.4,146.11,5.58,8.02,19.03,0.0
2020-03-04 19:00:00,2020-03-04 20:00:00,56.9,104.33,4.24,14.11,10.85,22.81,15.17,1.63,56.87,1.36,1.22,8.45,9.14,67.13,0.72,149.57,,7.63,18.59,0.0
2020-03-04 20:00:00,2020-03-04 21:00:00,44.02,83.69,4.84,14.32,11.44,23.98,15.83,1.64,48.79,1.4,1.27,8.07,8.87,65.93,0.84,51.25,,7.46,18.93,0.0
2020-03-04 21:00:00,2020-03-04 22:00:00,36.93,88.93,5.58,14.34,12.04,24.68,16.39,1.64,29.73,1.48,1.38,8.44,9.43,77.69,0.73,70.5,0.46,7.67,17.87,0.08
2020-03-04 22:00:00,2020-03-04 23:00:00,42.2,76.5,6.41,14.32,12.7,25.91,16.87,1.64,34.11,1.55,1.46,8.36,9.43,69.57,1.27,34.24,0.36,7.69,18.08,0.0
2020-03-04 23:00:00,2020-03-05 00:00:00,37.1,71.28,6.58,14.54,12.94,27.22,17.34,1.63,35.73,1.57,1.53,9.47,10.56,62.22,1.16,44.3,,8.19,18.1,0.0
2020-03-05 00:00:00,2020-03-05 01:00:00,37.32,65.83,6.79,14.62,13.16,24.99,18.94,1.55,31.26,1.56,1.57,9.81,10.79,74.84,0.9,302.94,0.05,8.31,16.78,0.28
2020-03-05 01:00:00,2020-03-05 02:00:00,32.09,69.23,6.65,15.36,13.43,28.14,19.35,1.54,35.28,1.55,1.56,9.2,10.21,80.64,1.47,177.63,0.55,7.97,16.25,0.05
2020-03-05 02:00:00,2020-03-05 03:00:00,30.69,47.36,6.54,15.06,13.19,28.64,19.26,1.52,41.47,1.55,1.55,9.02,10.14,80.34,1.05,52.99,0.28,7.84,15.97,0.03
2020-03-05 03:00:00,2020-03-05 04:00:00,28.89,45.5,6.43,14.41,12.75,28.31,19.11,1.51,38.06,1.58,1.58,8.85,10.07,80.64,0.66,49.41,0.17,7.79,15.69,0.0
2020-03-05 04:00:00,2020-03-05 05:00:00,24.63,43.54,6.57,13.9,12.6,28.68,19.31,1.49,31.66,1.55,1.58,8.55,9.77,81.15,1.03,43.18,0.04,7.63,15.7,0.0
2020-03-05 05:00:00,2020-03-05 06:00:00,32.19,44.51,6.71,13.54,12.54,27.55,19.08,1.48,27.49,1.54,1.6,8.58,9.78,82.58,0.79,48.83,,7.67,15.19,0.0
2020-03-05 06:00:00,2020-03-05 07:00:00,34.3,36.8,6.81,13.54,12.6,26.06,18.74,1.49,19.73,1.5,1.6,8.29,9.45,84.44,0.4,87.93,4.12,7.55,14.74,0.0
2020-03-05 07:00:00,2020-03-05 08:00:00,35.6,43.6,7.65,14.26,13.66,27.04,18.41,1.53,16.67,1.48,1.55,7.59,8.77,80.76,0.89,97.85,97.05,7.13,15.41,0.0
2020-03-05 08:00:00,2020-03-05 09:00:00,48.35,67.48,8.58,14.12,14.33,27.41,18.39,1.56,25.46,1.5,1.53,7.18,8.45,76.53,1.27,110.23,198.02,6.92,16.58,0.0
2020-03-05 09:00:00,2020-03-05 10:00:00,57.89,75.29,8.4,13.91,14.08,26.77,18.47,1.58,36.86,1.53,1.5,6.95,8.32,72.39,1.21,115.78,225.69,6.88,18.17,0.0
