From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C)
2022-11-21 17:00:00,2022-11-21 18:00:00,55.95,86.49,5.66,19.6,15.03,9.42,1.06,0.78,74.69,0.4,1.71,0.55,0.48,0.36,55.97,3.2,346.95,14.93,828.57,0.09,0.0,23.81
2022-11-21 18:00:00,2022-11-21 19:00:00,52.85,81.68,5.0,22.85,16.22,10.68,1.72,0.97,70.64,0.39,1.68,0.56,0.48,0.36,58.52,2.83,264.7,2.31,822.68,0.34,0.0,23.54
2022-11-21 19:00:00,2022-11-21 20:00:00,53.32,82.41,5.62,21.9,16.18,10.26,0.86,1.03,54.21,0.38,1.71,0.55,0.48,0.35,65.22,2.5,267.31,1.34,823.36,0.64,0.0,23.14
2022-11-21 20:00:00,2022-11-21 21:00:00,52.8,81.62,11.51,22.38,21.26,14.83,1.1,1.2,47.83,0.4,1.7,0.57,0.49,0.35,67.16,2.64,339.37,1.4,823.92,0.85,0.0,22.93
2022-11-21 21:00:00,2022-11-21 22:00:00,53.27,82.33,1.69,12.87,8.22,7.96,1.05,0.57,73.7,0.39,1.69,0.55,0.51,0.37,67.59,1.51,271.16,2.0,823.81,0.72,0.0,22.81
2022-11-21 22:00:00,2022-11-21 23:00:00,50.61,78.22,2.77,13.16,9.25,6.59,1.05,0.47,59.52,0.39,1.66,0.56,0.49,0.37,71.29,1.17,267.4,2.01,824.28,0.93,0.0,22.56
2022-11-21 23:00:00,2022-11-22 00:00:00,48.93,75.63,1.25,9.6,6.12,5.6,1.01,0.35,61.08,0.39,1.71,0.56,0.48,0.35,72.42,1.09,319.69,2.02,824.02,0.8,0.0,22.59
2022-11-22 00:00:00,2022-11-22 01:00:00,47.08,72.77,1.36,7.55,5.12,4.6,2.42,0.33,60.59,0.39,1.68,0.56,0.47,0.35,73.36,1.13,272.08,1.89,823.89,0.82,0.0,22.37
2022-11-22 01:00:00,2022-11-22 02:00:00,42.97,66.41,1.61,6.21,4.61,4.27,2.5,0.32,60.67,0.4,1.7,0.55,0.47,0.35,73.99,1.22,283.55,1.97,823.74,0.77,0.0,22.24
2022-11-22 02:00:00,2022-11-22 03:00:00,42.08,65.04,1.55,7.41,5.2,4.24,2.35,0.31,49.1,0.39,1.68,0.54,0.5,0.36,75.26,1.4,290.61,1.98,823.95,0.86,0.0,22.19
2022-11-22 03:00:00,2022-11-22 04:00:00,40.5,62.59,2.17,10.29,7.24,5.57,2.33,0.29,38.8,0.39,1.67,0.55,0.49,0.37,77.19,2.31,344.39,1.97,823.75,0.81,0.0,22.16
2022-11-22 04:00:00,2022-11-22 05:00:00,37.52,57.99,1.78,7.01,5.18,4.75,2.54,0.3,51.84,0.39,1.69,0.56,0.47,0.38,76.5,2.17,333.64,2.0,823.05,0.44,0.0,22.4
2022-11-22 05:00:00,2022-11-22 06:00:00,28.94,44.74,4.4,4.99,6.19,4.45,2.71,0.31,61.14,0.39,1.67,0.56,0.47,0.35,77.02,1.18,148.4,1.88,823.18,0.49,0.0,22.42
2022-11-22 06:00:00,2022-11-22 07:00:00,32.65,50.47,3.75,8.19,7.4,5.02,2.79,0.4,43.68,0.39,1.69,0.55,0.49,0.35,79.54,2.58,195.93,6.5,825.22,0.37,0.0,22.32
2022-11-22 07:00:00,2022-11-22 08:00:00,30.88,47.73,4.63,9.75,8.95,6.51,2.65,0.49,48.27,0.39,1.63,0.56,0.47,0.36,73.45,3.15,349.95,150.45,897.13,-0.09,0.0,23.05
2022-11-22 08:00:00,2022-11-22 09:00:00,31.74,49.05,4.36,8.3,7.96,5.8,2.55,0.55,47.23,0.39,1.66,0.55,0.47,0.36,66.99,3.54,345.53,405.84,1026.41,-0.23,0.0,24.3
2022-11-22 09:00:00,2022-11-22 10:00:00,33.31,51.48,4.67,7.96,8.03,6.33,2.44,0.55,45.68,0.39,1.66,0.55,0.47,0.36,62.14,3.7,345.85,566.67,,-0.42,0.0,25.23
2022-11-22 10:00:00,2022-11-22 11:00:00,32.02,49.5,3.61,6.89,6.6,5.63,2.52,0.46,45.24,0.39,1.74,0.56,0.49,0.35,61.01,3.64,259.86,677.67,,-0.72,0.0,25.64
2022-11-22 11:00:00,2022-11-22 12:00:00,31.56,48.77,4.05,6.95,6.99,5.48,2.36,0.52,45.82,0.43,1.79,0.61,0.52,0.37,62.62,3.48,259.56,415.5,1029.98,-0.36,0.0,25.5
2022-11-22 12:00:00,2022-11-22 13:00:00,24.62,38.05,3.25,6.12,5.89,4.96,2.38,0.47,50.1,0.45,1.78,0.6,0.56,0.38,62.1,3.06,180.91,371.24,1006.56,-0.74,0.0,25.71
2022-11-22 13:00:00,2022-11-22 14:00:00,26.77,41.36,4.17,6.22,6.7,5.09,2.52,0.5,49.55,0.45,1.81,0.58,0.54,0.37,63.46,2.84,352.0,179.09,910.86,-0.18,0.0,25.32
2022-11-22 14:00:00,2022-11-22 15:00:00,36.43,56.31,3.89,7.29,7.04,5.14,2.64,0.5,49.4,0.45,1.87,0.6,0.56,0.38,64.78,3.13,351.29,109.02,875.63,-0.24,0.0,25.0
2022-11-22 15:00:00,2022-11-22 16:00:00,33.8,52.24,3.06,7.62,6.54,5.43,2.84,0.49,49.29,0.45,1.79,0.58,0.53,0.39,65.69,3.47,347.2,74.48,857.5,-0.49,0.0,24.77
2022-11-22 16:00:00,2022-11-22 17:00:00,31.35,48.46,6.68,8.72,10.07,6.54,2.68,0.58,44.32,0.46,1.8,0.6,0.55,0.36,66.64,3.05,347.79,23.05,832.59,0.06,0.0,24.62
2022-11-22 17:00:00,2022-11-22 18:00:00,33.41,51.64,8.69,12.69,13.82,9.45,2.76,0.76,41.03,0.46,1.77,0.57,0.54,0.37,70.65,2.96,172.04,6.09,824.16,0.16,0.0,24.23
2022-11-22 18:00:00,2022-11-22 19:00:00,42.09,65.06,5.54,11.41,10.57,7.44,2.64,0.78,44.27,0.45,1.82,0.6,0.54,0.37,75.25,2.45,179.07,2.2,822.93,0.42,0.0,23.72
2022-11-22 19:00:00,2022-11-22 20:00:00,37.65,58.18,4.08,11.51,9.44,7.2,2.48,0.65,43.58,0.45,1.83,0.62,0.52,0.38,74.33,2.04,265.35,2.07,822.91,0.51,0.0,23.79
2022-11-22 20:00:00,2022-11-22 21:00:00,32.18,49.73,2.25,7.79,5.98,5.05,2.55,0.5,47.97,0.45,1.77,0.62,0.54,0.37,74.71,0.8,198.23,1.93,823.38,0.77,0.0,23.76
2022-11-22 21:00:00,2022-11-22 22:00:00,32.6,50.39,3.62,10.13,8.33,5.45,2.58,0.56,38.62,0.45,1.76,0.6,0.54,0.36,75.65,2.13,176.07,1.88,823.38,0.76,0.0,23.7
2022-11-22 22:00:00,2022-11-22 23:00:00,31.66,48.93,3.79,8.31,7.5,5.65,2.24,0.45,39.94,0.45,1.84,0.6,0.54,0.37,76.4,1.83,313.99,1.96,823.28,0.74,0.0,23.62
2022-11-22 23:00:00,2022-11-23 00:00:00,22.82,35.27,4.75,7.47,7.83,5.46,2.42,0.4,33.91,0.45,1.78,0.61,0.53,0.38,77.95,2.45,238.38,2.0,824.06,0.91,0.0,23.46
2022-11-23 00:00:00,2022-11-23 01:00:00,23.85,36.87,1.73,7.92,5.62,4.86,2.21,0.35,36.16,0.44,1.78,0.6,0.54,0.37,79.12,1.91,270.64,2.02,824.32,1.03,0.0,23.35
2022-11-23 01:00:00,2022-11-23 02:00:00,19.92,30.8,1.37,5.68,4.14,3.89,2.06,0.3,44.88,0.44,1.8,0.6,0.53,0.37,79.94,1.42,242.58,1.96,823.95,0.95,0.0,23.19
2022-11-23 02:00:00,2022-11-23 03:00:00,18.67,28.86,1.79,9.83,6.68,4.6,1.74,0.32,24.21,0.44,1.77,0.6,0.54,0.38,82.15,1.25,223.61,1.61,823.51,0.9,0.0,22.86
2022-11-23 03:00:00,2022-11-23 04:00:00,14.49,22.4,1.71,10.17,6.8,5.31,1.55,0.3,19.27,0.45,1.79,0.61,0.53,0.37,83.08,1.75,202.14,1.85,823.52,0.87,0.0,22.77
2022-11-23 04:00:00,2022-11-23 05:00:00,16.51,25.51,1.59,6.33,4.67,4.15,1.37,0.3,27.05,0.45,1.78,0.57,0.54,0.36,81.76,1.62,228.75,1.84,823.7,0.89,0.0,22.91
2022-11-23 05:00:00,2022-11-23 06:00:00,16.81,25.98,3.28,7.3,6.54,4.43,1.28,0.36,23.69,0.45,1.73,0.6,0.53,0.35,82.93,0.65,222.49,1.48,823.5,0.9,0.0,22.85
2022-11-23 06:00:00,2022-11-23 07:00:00,13.5,20.87,6.17,10.56,10.63,6.69,1.27,0.47,14.6,0.45,1.8,0.61,0.53,0.37,82.21,1.8,202.25,3.68,824.48,0.91,0.0,22.95
2022-11-23 07:00:00,2022-11-23 08:00:00,14.85,22.95,11.16,10.05,13.18,7.81,1.14,0.74,14.3,0.45,1.77,0.59,0.55,0.35,81.83,1.56,175.64,16.73,830.91,0.88,0.0,23.07
2022-11-23 08:00:00,2022-11-23 09:00:00,17.32,26.77,13.06,10.51,15.87,10.25,1.32,1.05,13.89,0.45,1.79,0.57,0.56,0.37,80.8,1.38,217.4,44.69,845.38,0.89,0.0,23.29
2022-11-23 09:00:00,2022-11-23 10:00:00,21.03,32.51,7.71,10.51,11.76,8.54,1.36,0.97,25.2,0.44,1.81,0.61,0.55,0.36,80.99,1.65,341.73,118.73,882.93,0.76,0.0,23.47
2022-11-23 10:00:00,2022-11-23 11:00:00,27.99,45.09,9.62,7.38,11.37,7.66,1.59,0.73,28.21,0.45,1.77,0.6,0.54,0.37,84.07,1.41,235.92,121.75,884.37,0.8,0.0,23.42
2022-11-23 11:00:00,2022-11-23 12:00:00,18.57,33.94,5.85,6.88,8.05,5.99,1.32,0.54,32.95,0.45,1.83,0.58,0.53,0.37,82.2,0.92,108.09,211.44,928.8,0.5,0.0,23.99
2022-11-23 12:00:00,2022-11-23 13:00:00,18.09,33.08,3.45,5.78,5.88,5.01,1.3,0.47,41.36,0.46,1.81,0.6,0.53,0.36,72.36,2.9,174.65,599.36,,-0.66,0.0,25.28
2022-11-23 13:00:00,2022-11-23 14:00:00,17.58,32.13,4.41,4.96,6.22,3.96,1.29,0.44,46.71,0.45,1.78,0.58,0.55,0.36,67.98,1.87,100.52,248.67,945.32,-0.24,0.0,25.88
2022-11-23 14:00:00,2022-11-23 15:00:00,19.12,34.95,5.64,8.1,8.89,5.49,1.2,0.6,42.7,0.45,1.77,0.6,0.54,0.36,68.35,2.26,286.95,86.38,864.77,0.26,0.0,25.54
2022-11-23 15:00:00,2022-11-23 16:00:00,22.56,41.25,4.1,6.86,6.98,4.96,1.09,0.52,41.11,0.45,1.82,0.61,0.55,0.36,71.83,2.34,272.68,75.81,859.02,0.19,0.0,25.17
2022-11-23 16:00:00,2022-11-23 17:00:00,22.26,40.7,13.22,5.84,13.75,7.71,1.48,0.78,29.39,0.45,1.84,0.59,0.56,0.37,75.34,2.13,334.08,37.81,841.14,0.7,0.0,24.78
2022-11-23 17:00:00,2022-11-23 18:00:00,22.06,40.35,14.12,7.28,15.06,9.3,1.54,0.73,30.56,0.45,1.83,0.6,0.53,0.36,83.58,2.12,258.49,11.95,827.74,0.56,0.0,23.85
2022-11-23 18:00:00,2022-11-23 19:00:00,22.68,41.46,8.99,8.3,11.69,7.55,1.73,0.77,21.7,0.45,1.79,0.6,0.53,0.37,87.74,1.6,173.92,2.08,823.05,0.74,0.0,23.5
2022-11-23 19:00:00,2022-11-23 20:00:00,20.73,37.9,11.28,10.55,14.21,9.79,1.99,0.96,33.52,0.45,1.78,0.62,0.55,0.38,88.54,2.24,92.33,2.16,821.45,0.15,0.0,23.52
2022-11-23 20:00:00,2022-11-23 21:00:00,25.89,47.33,1.41,6.39,4.54,4.52,2.18,0.48,54.48,0.45,1.77,0.61,0.53,0.37,89.53,2.79,32.05,2.24,818.22,-1.08,0.0,23.37
2022-11-23 21:00:00,2022-11-23 22:00:00,24.59,44.95,1.19,3.81,2.99,3.02,1.82,0.36,40.62,0.45,1.81,0.59,0.55,0.38,89.43,3.08,62.34,2.34,814.34,-2.6,0.0,23.29
2022-11-23 22:00:00,2022-11-23 23:00:00,18.18,33.25,1.28,3.15,2.72,2.62,1.89,0.3,40.74,0.45,1.81,0.59,0.55,0.38,88.96,3.14,74.05,2.24,812.85,-3.1,0.0,23.22
2022-11-23 23:00:00,2022-11-24 00:00:00,14.64,26.77,1.29,2.86,2.57,2.54,2.17,0.28,42.16,0.46,1.78,0.6,0.53,0.35,89.36,2.85,74.36,2.29,816.51,-1.65,0.0,23.23
2022-11-24 00:00:00,2022-11-24 01:00:00,13.48,24.65,1.33,2.55,2.44,2.46,2.09,0.27,40.94,0.45,1.83,0.6,0.55,0.36,89.03,3.14,94.28,2.29,816.54,-1.68,0.0,23.24
