From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C)
2023-01-20 15:00:00,2023-01-20 16:00:00,38.74,62.19,4.17,9.01,8.15,4.53,2.23,1.26,87.24,1.55,2.79,0.8,,,46.89,0.73,84.19,296.08,1021.7,5.19,0.0,27.47
2023-01-20 16:00:00,2023-01-20 17:00:00,45.63,73.24,4.54,9.0,8.45,4.62,2.38,1.26,84.74,1.56,2.8,0.81,,,51.37,0.85,72.92,124.0,1004.05,1.76,0.0,26.6
2023-01-20 17:00:00,2023-01-20 18:00:00,46.58,74.76,4.57,9.0,8.47,4.63,2.89,1.33,80.96,1.57,2.8,0.8,,,55.67,0.4,97.15,25.84,985.35,0.36,0.0,25.75
2023-01-20 18:00:00,2023-01-20 19:00:00,48.82,78.36,4.52,8.99,8.42,4.62,2.92,1.4,59.5,1.56,2.79,0.8,,,65.66,0.42,38.38,1.04,979.32,0.78,0.0,24.44
2023-01-20 19:00:00,2023-01-20 20:00:00,55.69,89.39,4.35,9.02,8.3,4.59,3.44,1.68,50.5,1.55,2.79,0.8,,,65.85,0.23,114.6,0.48,978.43,1.63,0.0,24.33
2023-01-20 20:00:00,2023-01-20 21:00:00,46.83,75.17,4.1,9.02,8.1,4.51,3.25,1.75,44.33,1.56,2.8,0.8,,,70.57,0.68,156.43,0.79,998.28,4.84,0.0,24.35
2023-01-20 21:00:00,2023-01-20 22:00:00,53.95,86.6,4.12,8.98,8.1,4.53,3.46,1.6,47.08,1.56,2.79,0.8,,,73.84,0.5,139.86,0.69,1002.5,4.54,0.0,23.97
2023-01-20 22:00:00,2023-01-20 23:00:00,153.2,245.9,4.14,8.99,8.12,4.53,4.33,1.65,29.81,1.55,2.81,0.8,,,80.77,0.2,75.39,1.04,994.6,3.85,0.0,22.98
2023-01-20 23:00:00,2023-01-21 00:00:00,88.24,141.64,4.29,9.02,8.25,4.56,3.57,1.64,28.05,1.55,2.82,0.8,,,86.27,0.17,28.08,0.79,988.54,2.62,0.0,22.41
2023-01-21 00:00:00,2023-01-21 01:00:00,8.01,12.84,4.06,9.01,8.06,4.51,0.42,1.44,15.33,1.57,2.78,0.8,,,89.99,0.17,24.98,0.68,978.98,0.36,0.0,21.84
2023-01-21 01:00:00,2023-01-21 02:00:00,41.92,67.28,4.12,9.01,8.11,4.53,0.08,1.54,3.64,1.57,2.79,0.8,,,90.55,0.36,29.12,0.72,977.04,0.39,0.0,21.64
2023-01-21 02:00:00,2023-01-21 03:00:00,88.5,142.06,4.11,8.99,8.09,4.53,0.14,1.6,11.01,1.56,2.82,0.79,,,91.19,0.42,112.98,0.64,978.77,0.49,0.0,21.51
2023-01-21 03:00:00,2023-01-21 04:00:00,152.18,244.28,4.04,9.0,8.04,4.51,0.95,2.16,13.28,1.57,2.81,0.81,,,92.44,0.47,30.34,0.52,982.6,2.0,0.0,21.33
2023-01-21 04:00:00,2023-01-21 05:00:00,119.73,192.19,4.0,9.0,8.01,4.5,0.57,1.8,21.79,1.56,2.81,0.8,,,92.34,0.58,33.85,0.58,995.26,4.2,0.0,21.21
2023-01-21 05:00:00,2023-01-21 06:00:00,37.25,59.79,4.0,9.0,8.01,4.5,1.84,1.96,16.29,1.56,2.8,0.8,,,93.58,0.41,32.43,0.61,995.63,3.79,0.0,20.97
2023-01-21 06:00:00,2023-01-21 07:00:00,215.39,345.73,4.0,9.0,8.01,4.5,2.54,1.85,21.95,1.56,2.79,0.8,,,94.16,0.54,35.86,4.09,996.17,4.21,0.0,20.89
2023-01-21 07:00:00,2023-01-21 08:00:00,242.21,388.76,4.02,9.0,8.02,4.5,3.83,1.75,29.91,1.56,2.8,0.8,,,93.94,0.86,28.6,55.36,1002.07,3.94,0.0,21.44
2023-01-21 08:00:00,2023-01-21 09:00:00,61.28,98.36,4.39,9.03,8.33,4.58,4.45,1.72,49.27,1.55,2.8,0.8,,,89.86,1.2,21.36,130.07,1003.47,2.54,0.0,22.81
2023-01-21 09:00:00,2023-01-21 10:00:00,28.13,45.15,4.45,9.0,8.37,4.6,3.32,1.36,69.57,1.55,2.79,0.79,,,83.23,1.32,39.87,217.57,1007.5,2.77,0.0,24.14
2023-01-21 10:00:00,2023-01-21 11:00:00,1.16,1.86,4.39,9.0,8.32,4.61,3.89,1.33,82.14,1.55,2.8,0.8,,,73.15,1.02,65.83,303.41,1006.34,2.5,0.0,25.39
2023-01-21 11:00:00,2023-01-21 12:00:00,0.07,0.12,4.13,8.99,8.11,4.54,4.84,1.34,91.12,1.55,2.82,0.8,,,63.61,0.78,72.81,441.29,1000.74,3.72,0.0,26.5
2023-01-21 12:00:00,2023-01-21 13:00:00,0.01,0.02,4.0,9.0,8.01,4.5,5.15,1.34,91.95,1.57,2.79,0.8,,,58.19,0.73,78.15,688.32,1013.72,5.79,0.0,27.19
2023-01-21 13:00:00,2023-01-21 14:00:00,,,4.0,9.0,8.01,4.5,5.61,1.33,94.25,1.55,2.8,0.81,,,54.77,0.72,65.97,364.43,1016.96,6.39,0.0,27.25
2023-01-21 14:00:00,2023-01-21 15:00:00,,,4.0,9.0,8.01,4.5,6.83,1.33,91.93,1.56,2.8,0.79,,,52.76,0.4,92.03,189.51,1008.34,5.6,0.0,27.12
2023-01-21 15:00:00,2023-01-21 16:00:00,92.32,148.19,4.01,8.99,8.02,4.5,7.17,1.28,96.72,1.55,2.8,0.81,,,50.22,0.7,83.14,193.98,1008.42,4.81,0.0,27.09
2023-01-21 16:00:00,2023-01-21 17:00:00,85.55,137.32,4.34,8.99,8.28,4.58,7.58,1.28,98.23,1.55,2.81,0.81,,,48.49,0.61,85.34,118.84,999.62,2.46,0.0,26.84
2023-01-21 17:00:00,2023-01-21 18:00:00,74.08,118.91,4.38,8.99,8.31,4.6,8.89,1.33,93.38,1.56,2.8,0.81,,,56.83,0.31,81.48,26.38,986.01,1.23,0.0,25.79
2023-01-21 18:00:00,2023-01-21 19:00:00,67.17,107.82,4.33,9.0,8.28,4.58,8.04,1.55,58.17,1.55,2.82,0.8,,,66.42,0.17,207.05,1.15,976.84,0.48,0.0,24.32
2023-01-21 19:00:00,2023-01-21 20:00:00,54.48,87.46,4.1,8.99,8.08,4.52,7.25,1.68,61.63,1.55,2.8,0.8,,,72.9,0.63,138.49,0.57,987.5,3.09,0.0,24.36
2023-01-21 20:00:00,2023-01-21 21:00:00,69.88,112.17,4.0,9.0,8.01,4.5,7.1,1.73,47.04,1.56,2.81,0.8,,,81.16,0.47,46.78,0.96,996.73,4.32,0.0,23.48
2023-01-21 21:00:00,2023-01-21 22:00:00,106.29,170.61,4.0,9.0,8.01,4.5,6.2,1.63,44.37,1.57,2.81,0.8,,,86.86,0.46,22.95,0.78,997.82,4.23,0.0,22.75
2023-01-21 22:00:00,2023-01-21 23:00:00,97.75,156.91,4.0,9.0,8.01,4.5,6.08,1.59,42.86,1.56,2.79,0.8,,,89.59,0.06,244.58,0.68,991.14,3.46,0.0,22.39
2023-01-21 23:00:00,2023-01-22 00:00:00,90.04,144.52,4.12,8.99,8.1,4.53,6.38,1.66,35.22,1.56,2.82,0.8,,,92.27,0.14,189.13,0.62,986.99,2.26,0.0,21.97
2023-01-22 00:00:00,2023-01-22 01:00:00,84.2,135.16,4.05,8.99,8.04,4.52,0.66,1.55,6.29,1.57,2.79,0.8,,,94.17,0.26,13.01,0.66,979.71,0.81,0.0,21.67
2023-01-22 01:00:00,2023-01-22 02:00:00,36.76,59.0,4.07,9.0,8.07,4.52,0.29,1.6,5.39,1.56,2.81,0.8,,,95.19,0.09,38.86,0.66,973.21,0.07,0.0,21.45
2023-01-22 02:00:00,2023-01-22 03:00:00,96.44,154.8,4.01,9.0,8.02,4.5,0.14,1.75,11.6,1.57,2.81,0.8,,,95.94,0.27,35.53,0.71,974.8,0.45,0.0,21.35
2023-01-22 03:00:00,2023-01-22 04:00:00,140.24,225.1,4.0,9.0,8.01,4.5,0.2,2.01,11.11,1.56,2.79,0.8,,,96.41,0.26,28.21,0.77,977.75,2.02,0.0,21.21
2023-01-22 04:00:00,2023-01-22 05:00:00,94.34,151.43,4.0,9.0,8.01,4.5,0.17,2.23,12.25,1.56,2.79,0.8,,,96.74,0.3,26.99,0.81,987.25,3.4,0.0,21.06
2023-01-22 05:00:00,2023-01-22 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 06:00:00,2023-01-22 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 07:00:00,2023-01-22 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 08:00:00,2023-01-22 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 09:00:00,2023-01-22 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 10:00:00,2023-01-22 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 11:00:00,2023-01-22 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 12:00:00,2023-01-22 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 13:00:00,2023-01-22 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 14:00:00,2023-01-22 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 15:00:00,2023-01-22 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 16:00:00,2023-01-22 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 17:00:00,2023-01-22 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 18:00:00,2023-01-22 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 19:00:00,2023-01-22 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 20:00:00,2023-01-22 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 21:00:00,2023-01-22 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 22:00:00,2023-01-22 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-22 23:00:00,2023-01-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-23 00:00:00,2023-01-23 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-23 01:00:00,2023-01-23 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2023-01-23 02:00:00,2023-01-23 03:00:00,,,,,,,,,,,,,,,,,,,,,,
