From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-28 17:00:00,2023-02-28 18:00:00,27.0,95.0,4.65,47.67,29.1,,10.43,0.64,81.18,0.7,2.45,0.15,0.25,0.2,24.0,0.75,128.5,59.75,24.1,,
2023-02-28 18:00:00,2023-02-28 19:00:00,49.5,,2.88,47.65,27.7,,14.47,0.99,47.83,2.35,5.7,0.53,0.85,0.73,36.75,0.65,128.5,26.0,21.4,,
2023-02-28 19:00:00,2023-02-28 20:00:00,89.75,,10.15,63.12,41.83,,11.55,1.46,13.12,5.55,7.2,0.77,1.12,0.88,47.0,0.4,128.5,24.75,19.8,,
2023-02-28 20:00:00,2023-02-28 21:00:00,116.0,369.0,5.73,53.5,33.1,,6.73,0.63,14.97,8.3,12.6,1.6,2.3,1.9,49.0,0.3,129.0,21.33,18.23,,
2023-02-28 21:00:00,2023-02-28 22:00:00,71.0,,2.6,26.82,16.4,,5.62,0.86,44.05,,,,,,49.5,0.42,128.25,28.0,19.73,,
2023-02-28 22:00:00,2023-02-28 23:00:00,81.0,139.0,2.75,29.12,17.7,,5.5,1.17,24.67,,,,,,54.25,0.3,128.5,26.25,18.95,,
2023-02-28 23:00:00,2023-03-01 00:00:00,69.25,152.5,6.02,40.15,26.22,,5.05,0.64,21.77,,,,,,57.75,0.88,128.5,25.0,18.65,,
2023-03-01 00:00:00,2023-03-01 01:00:00,42.25,108.5,2.9,12.43,8.97,,4.27,0.54,54.73,,,,,,61.75,1.1,128.5,25.5,18.52,,
2023-03-01 01:00:00,2023-03-01 02:00:00,46.0,106.0,2.33,12.18,8.35,,1.7,0.6,61.55,,,,,,69.0,1.28,128.5,25.5,18.38,,
2023-03-01 02:00:00,2023-03-01 03:00:00,56.75,129.5,2.3,12.65,8.62,,1.32,0.63,61.08,,,,,,73.75,1.02,128.5,25.25,17.88,,
2023-03-01 03:00:00,2023-03-01 04:00:00,74.5,142.25,2.58,12.93,8.98,,1.5,0.63,52.3,,,,,,79.0,0.62,128.5,25.0,17.2,,
2023-03-01 04:00:00,2023-03-01 05:00:00,82.5,145.25,2.42,19.68,12.43,,1.95,0.66,35.55,,,,,,80.25,0.45,128.5,24.5,16.88,,
2023-03-01 05:00:00,2023-03-01 06:00:00,80.75,139.5,3.58,24.92,16.17,,4.65,0.62,33.32,,,,,,75.25,0.78,128.5,23.5,17.2,,
2023-03-01 06:00:00,2023-03-01 07:00:00,77.0,137.0,3.33,22.77,14.83,,5.47,0.42,24.33,,,,,,77.0,0.93,128.67,22.67,15.67,,
2023-03-01 07:00:00,2023-03-01 08:00:00,,207.0,3.92,25.38,16.7,,3.45,0.81,28.82,3.3,4.17,0.4,0.27,0.2,78.0,0.8,128.5,61.5,17.2,,
2023-03-01 08:00:00,2023-03-01 09:00:00,110.0,205.0,3.25,18.57,12.55,,5.18,0.85,43.52,4.02,4.7,0.5,0.27,0.2,71.0,1.1,128.5,157.5,18.22,,
2023-03-01 09:00:00,2023-03-01 10:00:00,107.25,193.0,3.2,15.8,10.97,,4.52,0.78,61.2,3.4,4.15,0.35,0.18,0.15,61.75,1.48,128.5,281.75,20.27,,
2023-03-01 10:00:00,2023-03-01 11:00:00,93.5,180.5,3.08,15.58,10.78,,5.55,0.68,83.65,2.82,3.25,0.3,0.1,0.1,53.25,2.38,128.5,371.5,21.25,,
