From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-13 14:00:00,2020-11-13 15:00:00,,177.37,4.29,20.84,9.84,13.22,2.9,1.47,74.33,19.48,39.65,22.96,25.59,53.41,0.33,293.8,,21.02,31.61,0.0
2020-11-13 15:00:00,2020-11-13 16:00:00,44.4,154.39,6.15,10.43,8.68,13.55,1.39,1.48,65.0,18.48,37.43,23.69,25.22,59.09,0.38,296.2,,21.06,31.13,0.0
2020-11-13 16:00:00,2020-11-13 17:00:00,21.55,146.77,6.12,11.56,9.28,13.2,0.99,1.44,68.75,17.35,34.67,24.17,24.61,56.83,0.17,300.85,,20.91,30.53,0.0
2020-11-13 17:00:00,2020-11-13 18:00:00,21.45,141.19,6.84,20.41,12.32,13.44,0.47,1.44,60.0,16.35,32.48,23.91,23.83,62.24,0.1,307.06,,20.77,29.42,0.0
2020-11-13 18:00:00,2020-11-13 19:00:00,45.93,150.21,7.29,13.92,10.96,14.69,1.65,1.47,70.5,15.59,30.84,23.16,23.04,70.27,0.1,316.76,,20.95,28.5,0.0
2020-11-13 19:00:00,2020-11-13 20:00:00,45.61,128.74,5.84,10.22,8.51,12.89,1.96,1.45,73.25,14.97,29.57,21.98,21.91,66.48,0.13,297.95,,20.73,28.51,0.0
2020-11-13 20:00:00,2020-11-13 21:00:00,45.37,128.22,6.52,13.09,9.74,14.03,1.54,1.46,63.0,14.4,28.45,20.83,20.85,67.11,0.04,314.28,,20.64,28.26,0.0
2020-11-13 21:00:00,2020-11-13 22:00:00,48.11,118.9,6.75,32.32,15.65,13.31,1.68,1.57,46.0,14.14,28.22,20.19,20.53,63.69,0.02,172.66,,20.75,28.14,0.0
2020-11-13 22:00:00,2020-11-13 23:00:00,53.16,100.37,7.88,80.19,30.16,11.5,1.66,1.86,25.0,14.49,30.4,20.13,21.34,66.38,,317.09,,20.68,27.08,0.0
2020-11-13 23:00:00,2020-11-14 00:00:00,49.98,153.96,8.83,168.75,55.74,11.59,2.75,1.98,8.67,15.35,34.62,20.63,23.58,62.83,0.36,108.97,,20.49,27.76,0.0
2020-11-14 00:00:00,2020-11-14 01:00:00,51.99,133.29,5.88,40.26,46.08,11.38,4.7,1.82,10.75,17.14,40.62,21.83,26.98,62.77,0.16,84.89,,20.45,27.87,0.0
2020-11-14 01:00:00,2020-11-14 02:00:00,51.62,145.73,7.45,39.01,46.41,11.99,3.58,1.82,7.25,17.78,42.39,22.21,27.83,70.69,,136.0,,20.36,26.44,0.0
2020-11-14 02:00:00,2020-11-14 03:00:00,50.29,155.43,10.01,33.95,43.96,10.32,4.84,1.65,12.25,18.2,44.66,22.77,29.01,61.55,,258.57,,20.46,26.45,0.0
2020-11-14 03:00:00,2020-11-14 04:00:00,52.47,137.63,6.21,34.57,40.67,10.17,4.71,1.6,11.75,18.33,44.86,22.77,29.37,62.13,,237.36,,20.52,25.81,0.0
2020-11-14 04:00:00,2020-11-14 05:00:00,44.04,198.1,6.79,39.28,46.07,10.45,7.31,1.62,10.5,18.48,44.5,22.58,29.32,60.16,0.6,99.25,,20.48,27.01,0.0
2020-11-14 05:00:00,2020-11-14 06:00:00,41.92,158.54,10.44,31.18,41.59,12.43,5.62,1.65,12.0,18.68,43.81,22.19,28.2,68.03,0.86,105.19,,20.66,26.73,0.0
2020-11-14 06:00:00,2020-11-14 07:00:00,43.29,257.39,16.04,34.92,50.97,12.21,7.37,1.76,3.0,18.73,43.57,22.22,28.32,76.09,1.56,106.16,,20.79,26.17,0.0
2020-11-14 07:00:00,2020-11-14 08:00:00,48.33,185.66,23.77,31.07,54.84,11.8,9.52,1.77,3.75,19.54,45.73,22.57,28.03,75.92,2.31,106.26,,20.86,26.28,0.0
2020-11-14 08:00:00,2020-11-14 09:00:00,34.09,177.83,20.45,28.34,48.79,9.79,9.49,1.72,10.5,20.06,47.23,22.15,27.26,73.14,2.55,89.8,,20.6,26.66,0.0
2020-11-14 09:00:00,2020-11-14 10:00:00,36.53,200.78,18.9,32.5,51.4,11.06,7.69,1.73,15.5,20.23,46.77,21.35,25.98,72.52,2.08,71.76,1000.0,20.23,27.66,0.0
2020-11-14 10:00:00,2020-11-14 11:00:00,63.47,207.5,18.44,45.46,63.91,11.05,8.09,1.75,16.25,20.35,46.02,20.79,24.71,71.0,1.55,102.3,,20.01,28.33,0.0
2020-11-14 11:00:00,2020-11-14 12:00:00,45.82,159.85,9.27,37.75,47.0,11.17,9.53,1.71,42.75,20.23,45.82,20.44,23.73,58.74,1.23,100.51,,19.78,30.36,0.0
2020-11-14 12:00:00,2020-11-14 13:00:00,31.12,108.46,5.91,13.26,19.13,12.4,5.26,1.56,57.5,20.52,45.26,20.92,23.3,48.57,0.75,99.11,,19.92,32.13,0.0
2020-11-14 13:00:00,2020-11-14 14:00:00,15.54,78.87,6.52,3.82,10.22,13.04,3.83,1.52,54.0,23.57,43.01,21.51,22.78,44.01,0.29,226.87,,20.1,33.7,0.0
2020-11-14 14:00:00,2020-11-14 15:00:00,15.15,124.62,6.84,2.48,9.07,14.71,2.12,1.48,61.0,24.29,39.74,22.22,22.25,51.38,0.37,283.4,,20.31,32.98,0.0
2020-11-14 15:00:00,2020-11-14 16:00:00,20.2,246.3,6.49,4.95,11.41,13.91,1.87,1.51,77.5,24.62,37.51,23.31,22.08,61.17,0.37,278.95,,20.32,31.68,0.0
2020-11-14 16:00:00,2020-11-14 17:00:00,20.06,108.17,6.11,3.96,9.91,13.72,1.18,1.49,78.25,24.74,35.86,24.36,22.27,65.58,0.25,291.25,,20.26,30.57,0.0
2020-11-14 17:00:00,2020-11-14 18:00:00,24.87,96.56,6.65,3.75,10.32,13.16,0.74,1.52,77.5,24.49,33.33,24.41,22.02,73.09,0.26,300.32,,20.3,29.36,0.0
2020-11-14 18:00:00,2020-11-14 19:00:00,43.33,89.0,6.82,5.06,9.0,13.89,1.54,1.52,78.75,23.52,31.1,23.57,21.3,76.89,0.35,299.25,,20.48,28.8,0.0
2020-11-14 19:00:00,2020-11-14 20:00:00,45.81,85.77,6.27,1.18,6.94,14.48,1.47,1.54,71.75,22.05,29.17,22.39,20.31,76.03,0.41,295.58,,20.45,28.69,0.0
2020-11-14 20:00:00,2020-11-14 21:00:00,46.53,82.81,9.21,5.3,14.47,13.68,1.48,1.56,62.5,20.55,27.75,21.28,19.46,76.04,0.03,168.6,,20.36,28.3,0.0
2020-11-14 21:00:00,2020-11-14 22:00:00,47.1,80.91,7.17,11.87,14.7,12.69,1.83,1.61,55.25,19.32,26.94,20.42,19.18,73.69,,126.33,,20.38,28.05,0.0
2020-11-14 22:00:00,2020-11-14 23:00:00,40.61,122.12,7.51,19.47,26.76,13.53,2.14,1.71,33.25,18.36,26.7,19.8,19.2,71.33,,57.29,,20.4,28.17,0.0
2020-11-14 23:00:00,2020-11-15 00:00:00,59.78,211.9,5.66,107.19,35.47,12.82,2.52,1.88,21.33,18.18,27.82,19.57,20.12,68.82,,47.3,,20.41,28.2,0.0
2020-11-15 00:00:00,2020-11-15 01:00:00,85.45,234.28,5.41,122.52,39.21,13.16,1.8,2.02,16.0,18.65,31.03,19.76,22.5,74.03,,27.11,,20.32,27.16,0.0
2020-11-15 01:00:00,2020-11-15 02:00:00,82.94,196.37,6.99,87.42,31.29,14.21,1.86,1.92,19.0,19.46,35.06,20.29,25.47,76.55,,26.43,,20.16,26.74,0.0
2020-11-15 02:00:00,2020-11-15 03:00:00,92.02,256.33,7.23,85.02,30.81,14.45,2.4,1.87,17.25,19.67,37.55,20.47,27.17,78.43,,22.41,,20.14,26.66,0.0
2020-11-15 03:00:00,2020-11-15 04:00:00,78.96,253.29,9.25,68.33,28.27,15.54,1.97,1.82,19.0,19.56,38.71,20.48,28.13,82.96,,20.86,,20.13,26.21,0.0
2020-11-15 04:00:00,2020-11-15 05:00:00,61.05,243.64,10.4,72.42,30.54,15.83,1.7,1.75,24.0,19.23,38.85,20.2,28.21,82.3,,71.47,,20.14,26.9,0.0
2020-11-15 05:00:00,2020-11-15 06:00:00,79.55,286.83,21.94,142.15,61.48,12.78,1.79,1.9,4.5,19.07,38.57,20.05,27.73,91.97,0.12,79.1,,20.27,26.55,0.0
2020-11-15 06:00:00,2020-11-15 07:00:00,76.09,278.75,37.87,140.81,77.09,11.72,1.71,1.95,1.75,19.77,40.02,20.58,28.52,92.02,,57.92,,20.55,26.61,0.0
2020-11-15 07:00:00,2020-11-15 08:00:00,75.44,212.72,19.41,110.58,50.2,14.38,1.94,1.92,8.25,20.9,42.32,21.34,29.7,85.83,0.71,90.07,,20.62,27.05,0.0
2020-11-15 08:00:00,2020-11-15 09:00:00,61.45,194.65,10.38,69.35,29.69,15.62,2.7,1.78,22.0,21.46,43.92,22.0,31.38,82.57,1.09,102.41,,20.62,27.61,0.0
2020-11-15 09:00:00,2020-11-15 10:00:00,81.58,291.51,10.42,97.53,37.58,16.07,2.28,1.8,26.0,21.41,43.33,21.8,30.63,81.93,1.18,104.9,,20.67,27.86,0.0
2020-11-15 10:00:00,2020-11-15 11:00:00,93.32,252.12,11.16,131.12,47.6,14.61,2.58,1.78,36.0,21.68,43.33,21.61,29.46,78.31,1.21,103.41,,20.59,28.44,0.0
2020-11-15 11:00:00,2020-11-15 12:00:00,59.65,145.89,8.29,69.04,27.48,14.67,3.17,1.66,56.25,21.89,43.5,21.6,28.63,63.64,0.94,97.65,,20.62,30.33,0.0
2020-11-15 12:00:00,2020-11-15 13:00:00,42.78,115.67,8.74,21.24,14.6,15.68,3.66,1.59,76.0,21.27,41.62,21.23,27.13,55.83,0.23,185.3,,20.73,31.97,0.0
2020-11-15 13:00:00,2020-11-15 14:00:00,50.7,165.18,6.42,19.42,11.7,15.17,2.36,1.6,82.0,20.43,39.4,21.49,25.89,62.2,0.29,275.22,,20.93,32.17,0.0
2020-11-15 14:00:00,2020-11-15 15:00:00,42.2,175.03,6.04,6.29,6.87,14.91,1.83,1.52,62.5,19.67,37.65,22.39,25.03,66.58,0.41,290.85,,20.99,31.14,0.0
2020-11-15 15:00:00,2020-11-15 16:00:00,41.97,136.82,8.63,2.34,8.03,15.14,1.0,1.5,58.75,18.45,35.16,23.01,24.21,71.56,0.42,295.04,,20.91,30.56,0.0
2020-11-15 16:00:00,2020-11-15 17:00:00,42.27,116.09,6.7,3.48,6.97,15.59,0.7,1.5,66.0,17.54,32.62,23.38,23.47,72.83,0.31,292.87,,20.87,30.12,0.0
2020-11-15 17:00:00,2020-11-15 18:00:00,47.5,97.73,7.17,5.73,8.27,15.26,0.23,1.54,72.75,16.59,30.53,23.24,22.7,85.37,0.39,292.39,,20.77,29.0,0.0
2020-11-15 18:00:00,2020-11-15 19:00:00,47.96,98.02,7.48,3.81,7.89,15.22,0.33,1.53,70.75,15.97,28.6,22.26,21.56,86.92,0.33,296.72,,20.62,28.36,0.0
2020-11-15 19:00:00,2020-11-15 20:00:00,43.38,119.29,7.1,5.79,8.54,15.76,0.42,1.56,74.25,15.28,26.98,21.17,20.58,81.45,0.09,316.4,,20.6,28.38,0.0
2020-11-15 20:00:00,2020-11-15 21:00:00,56.86,180.91,7.71,5.14,8.55,16.19,0.36,1.61,76.5,14.84,25.77,20.24,19.82,79.58,0.06,320.6,,20.63,28.34,0.0
2020-11-15 21:00:00,2020-11-15 22:00:00,89.85,122.94,6.03,23.32,12.18,16.45,1.4,1.69,64.0,14.72,25.18,19.41,19.21,76.16,0.1,146.9,,20.54,28.45,0.0
2020-11-15 22:00:00,2020-11-15 23:00:00,90.73,142.13,8.21,116.61,40.69,12.9,4.1,1.99,24.0,15.03,26.26,19.07,19.63,66.04,0.32,99.15,,20.53,29.12,0.0
2020-11-15 23:00:00,2020-11-16 00:00:00,89.67,167.34,7.22,108.69,37.49,15.53,3.2,1.88,16.0,15.88,29.68,19.55,21.96,83.04,1.73,107.45,,20.33,28.37,0.0
2020-11-16 00:00:00,2020-11-16 01:00:00,74.84,216.51,7.31,101.71,35.54,16.38,2.83,1.84,17.0,17.02,32.76,19.95,23.27,82.19,1.1,107.42,,20.28,28.04,0.0
2020-11-16 01:00:00,2020-11-16 02:00:00,35.22,112.21,5.82,46.68,18.68,15.96,3.82,1.71,33.75,17.68,34.12,19.79,23.46,69.13,0.56,86.89,,20.27,28.14,0.0
2020-11-16 02:00:00,2020-11-16 03:00:00,37.34,186.28,6.95,69.83,26.36,15.61,6.37,1.63,34.0,17.67,34.42,19.31,23.12,60.1,0.41,99.66,,20.28,28.58,0.0
2020-11-16 03:00:00,2020-11-16 04:00:00,55.87,244.21,7.9,70.35,27.4,15.36,2.52,1.68,23.75,17.52,33.91,18.95,22.86,73.16,0.02,257.76,,20.41,27.14,0.0
2020-11-16 04:00:00,2020-11-16 05:00:00,53.36,109.97,6.21,12.93,9.62,16.2,1.26,1.63,41.5,17.46,33.89,18.72,23.01,84.59,0.01,248.04,,20.38,26.88,0.0
2020-11-16 05:00:00,2020-11-16 06:00:00,52.0,113.19,6.95,6.82,8.5,13.84,1.2,1.57,43.25,16.97,32.66,18.14,22.14,73.87,0.01,344.82,,20.46,26.77,0.0
2020-11-16 06:00:00,2020-11-16 07:00:00,49.51,109.02,6.72,17.39,11.27,14.15,1.76,1.61,34.75,16.45,31.47,17.59,21.21,74.04,,78.31,,20.52,26.51,0.0
2020-11-16 07:00:00,2020-11-16 08:00:00,44.02,189.27,7.75,50.96,21.92,13.75,2.32,1.67,27.0,16.24,31.34,17.38,21.1,77.37,1.07,167.93,,20.41,26.97,0.0
2020-11-16 08:00:00,2020-11-16 09:00:00,34.26,104.71,7.3,57.27,23.23,13.94,3.88,1.67,33.5,16.71,31.52,17.32,21.02,72.75,0.99,108.63,,20.4,28.19,0.0
2020-11-16 09:00:00,2020-11-16 10:00:00,39.84,153.15,6.85,26.13,13.98,14.57,3.23,1.66,51.5,17.2,31.42,17.31,20.77,71.09,2.24,106.76,,20.57,28.47,0.0
2020-11-16 10:00:00,2020-11-16 11:00:00,30.96,145.24,7.97,26.46,15.28,14.96,2.37,1.59,60.5,17.23,30.42,16.73,19.77,69.36,2.16,107.32,,20.09,29.08,0.0
2020-11-16 11:00:00,2020-11-16 12:00:00,43.93,93.76,7.44,37.53,17.78,13.66,2.37,1.61,61.25,17.08,29.13,16.14,18.62,57.05,1.34,107.34,,19.44,30.98,0.0
2020-11-16 12:00:00,2020-11-16 13:00:00,43.49,139.22,7.93,23.37,14.4,13.75,3.56,1.56,70.25,16.83,28.22,16.32,18.12,48.22,0.88,103.46,,19.28,32.27,0.0
2020-11-16 13:00:00,2020-11-16 14:00:00,46.16,138.73,7.96,17.48,12.7,13.77,2.74,1.56,83.0,16.78,27.69,17.17,18.05,53.79,0.26,256.6,,19.53,33.07,0.0
2020-11-16 14:00:00,2020-11-16 15:00:00,43.86,142.08,7.28,12.05,10.4,13.63,2.52,1.57,82.5,16.87,29.46,18.99,18.53,54.42,0.26,292.99,,19.64,32.84,0.0
2020-11-16 15:00:00,2020-11-16 16:00:00,50.8,133.96,5.33,6.48,6.94,14.42,1.8,1.56,71.0,16.49,28.85,20.6,19.05,68.85,0.28,305.41,,19.7,31.38,0.0
2020-11-16 16:00:00,2020-11-16 17:00:00,48.52,124.84,8.05,7.13,9.71,14.44,1.42,1.58,78.25,16.32,27.72,21.58,19.32,73.54,0.34,303.35,,19.55,30.27,0.0
2020-11-16 17:00:00,2020-11-16 18:00:00,79.58,295.72,7.84,10.49,10.58,16.19,1.03,1.62,91.5,16.27,26.95,21.64,19.19,79.77,0.23,312.54,,19.51,29.28,0.0
2020-11-16 18:00:00,2020-11-16 19:00:00,90.66,142.99,7.54,6.06,8.78,16.7,1.5,1.67,94.25,16.48,26.64,20.93,18.62,80.27,0.14,309.18,,19.42,28.8,0.0
2020-11-16 19:00:00,2020-11-16 20:00:00,84.27,154.58,7.12,5.9,7.79,16.88,1.54,1.66,93.5,16.61,26.17,20.04,18.12,79.97,0.15,302.69,,19.48,28.77,0.0
2020-11-16 20:00:00,2020-11-16 21:00:00,80.34,151.95,6.32,7.63,8.54,15.25,1.45,1.94,79.75,16.52,25.59,19.2,17.59,77.36,0.06,318.66,,19.47,28.71,0.0
2020-11-16 21:00:00,2020-11-16 22:00:00,89.81,152.05,8.0,18.29,12.96,16.74,1.53,1.75,62.0,16.47,25.89,18.86,17.59,76.48,0.02,104.48,,19.69,28.49,0.0
2020-11-16 22:00:00,2020-11-16 23:00:00,90.63,182.33,5.92,43.51,17.89,16.09,1.61,1.89,39.5,16.74,27.49,18.65,18.18,80.46,,240.58,,19.66,27.79,0.0
2020-11-16 23:00:00,2020-11-17 00:00:00,87.69,177.07,7.3,41.01,18.5,16.29,1.77,1.89,32.33,17.33,30.08,18.79,19.59,84.55,,321.72,,19.54,27.32,0.0
2020-11-17 00:00:00,2020-11-17 01:00:00,80.44,214.84,6.25,42.12,17.95,16.75,2.0,1.92,26.0,17.91,33.37,19.07,21.36,88.24,,319.14,,19.45,26.98,0.0
2020-11-17 01:00:00,2020-11-17 02:00:00,78.95,237.32,6.25,41.36,17.76,18.62,2.1,1.95,22.5,18.46,36.1,19.32,22.81,88.22,,326.5,,19.32,26.86,0.0
2020-11-17 02:00:00,2020-11-17 03:00:00,95.0,216.45,6.18,90.43,31.36,16.41,2.55,1.98,17.75,19.05,38.15,19.5,24.09,88.31,,183.32,,19.27,26.84,0.0
2020-11-17 03:00:00,2020-11-17 04:00:00,67.53,157.72,7.41,117.78,40.1,15.67,1.65,1.84,14.25,19.71,39.73,19.84,25.29,72.5,0.34,104.48,,19.32,27.87,0.0
2020-11-17 04:00:00,2020-11-17 05:00:00,40.54,134.16,6.23,71.19,26.01,15.23,1.91,1.72,22.25,20.07,39.67,19.91,25.62,74.37,0.66,104.16,,19.37,27.69,0.0
2020-11-17 05:00:00,2020-11-17 06:00:00,37.63,158.16,7.35,66.73,25.92,13.05,1.61,1.71,20.5,20.21,38.69,19.39,24.58,73.8,0.1,77.06,,19.48,27.19,0.0
