From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-19 15:00:00,2021-07-19 16:00:00,30.0,73.0,1.4,47.6,26.5,12.2,3.1,0.35,85.5,0.8,10.6,3.9,0.9,,82.0,0.4,343.0,159.0,,1.3,29.8,0.0
2021-07-19 16:00:00,2021-07-19 17:00:00,29.67,72.67,1.3,51.43,28.4,18.27,3.03,0.37,85.2,0.77,11.67,4.13,0.9,,82.0,0.5,140.67,110.67,,1.33,29.6,0.0
2021-07-19 17:00:00,2021-07-19 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 18:00:00,2021-07-19 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 19:00:00,2021-07-19 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 20:00:00,2021-07-19 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 21:00:00,2021-07-19 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 22:00:00,2021-07-19 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-19 23:00:00,2021-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 00:00:00,2021-07-20 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 01:00:00,2021-07-20 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 02:00:00,2021-07-20 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 03:00:00,2021-07-20 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 04:00:00,2021-07-20 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 05:00:00,2021-07-20 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 06:00:00,2021-07-20 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 07:00:00,2021-07-20 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 08:00:00,2021-07-20 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 09:00:00,2021-07-20 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 10:00:00,2021-07-20 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 11:00:00,2021-07-20 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 12:00:00,2021-07-20 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 13:00:00,2021-07-20 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 14:00:00,2021-07-20 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 15:00:00,2021-07-20 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 16:00:00,2021-07-20 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 17:00:00,2021-07-20 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 18:00:00,2021-07-20 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 19:00:00,2021-07-20 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 20:00:00,2021-07-20 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 21:00:00,2021-07-20 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 22:00:00,2021-07-20 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-20 23:00:00,2021-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 00:00:00,2021-07-21 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 01:00:00,2021-07-21 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 02:00:00,2021-07-21 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 03:00:00,2021-07-21 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 04:00:00,2021-07-21 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 05:00:00,2021-07-21 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 06:00:00,2021-07-21 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 07:00:00,2021-07-21 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 08:00:00,2021-07-21 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 09:00:00,2021-07-21 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 10:00:00,2021-07-21 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 11:00:00,2021-07-21 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 12:00:00,2021-07-21 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 13:00:00,2021-07-21 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 14:00:00,2021-07-21 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 15:00:00,2021-07-21 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 16:00:00,2021-07-21 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 17:00:00,2021-07-21 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 18:00:00,2021-07-21 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 19:00:00,2021-07-21 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 20:00:00,2021-07-21 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 21:00:00,2021-07-21 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 22:00:00,2021-07-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 23:00:00,2021-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 00:00:00,2021-07-22 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 01:00:00,2021-07-22 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 02:00:00,2021-07-22 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 03:00:00,2021-07-22 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 04:00:00,2021-07-22 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 05:00:00,2021-07-22 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 06:00:00,2021-07-22 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 07:00:00,2021-07-22 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 08:00:00,2021-07-22 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 09:00:00,2021-07-22 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 10:00:00,2021-07-22 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-22 11:00:00,2021-07-22 12:00:00,20.75,53.25,2.23,42.98,24.65,5.42,3.38,0.6,47.52,1.18,8.43,4.32,0.62,,85.0,0.7,161.25,273.5,,0.7,29.05,0.0
2021-07-22 12:00:00,2021-07-22 13:00:00,15.0,55.5,3.03,43.22,25.48,7.72,3.23,0.62,57.12,1.18,7.75,4.45,0.88,,85.0,0.8,152.25,287.5,,0.7,29.18,0.0
2021-07-22 13:00:00,2021-07-22 14:00:00,15.25,67.0,2.27,43.67,25.05,9.62,3.1,0.56,71.45,1.05,7.67,4.72,0.62,,85.0,0.95,146.5,267.0,,0.73,29.23,0.0
2021-07-22 14:00:00,2021-07-22 15:00:00,17.5,65.75,1.43,40.75,22.82,10.43,3.07,0.55,85.0,0.92,7.08,3.97,0.62,,85.0,0.95,148.0,184.25,,0.77,30.65,0.0
2021-07-22 15:00:00,2021-07-22 16:00:00,22.25,71.25,1.45,40.45,22.73,9.73,3.08,0.56,92.1,0.95,6.88,4.22,0.65,,85.0,0.9,131.0,162.0,,0.75,29.48,0.0
2021-07-22 16:00:00,2021-07-22 17:00:00,24.5,79.75,1.35,41.42,23.13,10.57,2.5,0.55,67.0,0.95,7.65,3.83,0.67,,85.0,0.85,153.5,89.0,,0.9,29.4,0.0
2021-07-22 17:00:00,2021-07-22 18:00:00,22.25,79.25,1.57,49.6,27.65,11.02,2.48,0.59,59.0,1.2,8.1,3.6,0.77,,84.75,0.72,156.25,36.5,,1.0,29.08,0.0
2021-07-22 18:00:00,2021-07-22 19:00:00,18.25,73.25,1.2,46.5,25.7,10.2,2.38,0.46,47.17,1.1,6.93,3.15,0.75,,82.75,0.48,207.5,6.5,,1.05,29.63,0.0
2021-07-22 19:00:00,2021-07-22 20:00:00,15.5,32.25,19.43,82.8,59.83,14.98,3.0,1.36,10.0,1.55,9.22,4.88,1.45,,84.0,0.1,221.75,5.0,,1.15,27.15,0.0
2021-07-22 20:00:00,2021-07-22 21:00:00,28.25,35.75,7.4,81.55,49.4,16.75,3.1,1.2,13.62,2.58,10.62,5.58,2.6,,84.0,0.1,166.0,5.25,,1.0,28.2,0.0
2021-07-22 21:00:00,2021-07-22 22:00:00,40.5,48.25,2.1,86.25,47.58,19.02,2.88,0.83,27.85,1.92,8.22,4.08,1.53,,84.0,0.23,157.25,5.0,,1.08,27.8,0.0
2021-07-22 22:00:00,2021-07-22 23:00:00,30.5,37.5,1.0,86.38,46.73,27.27,2.75,0.51,44.15,1.12,6.05,2.55,0.7,,84.0,0.35,153.5,5.5,,1.08,28.8,0.0
2021-07-22 23:00:00,2021-07-23 00:00:00,24.0,36.0,0.57,77.6,41.72,52.83,2.67,0.47,43.33,0.8,5.28,1.52,0.7,,84.25,0.22,138.0,5.5,,1.02,27.85,0.0
2021-07-23 00:00:00,2021-07-23 01:00:00,23.75,34.75,0.45,73.95,39.67,35.5,2.62,0.47,38.88,0.9,5.33,1.38,0.7,,84.0,0.27,116.75,5.0,,1.05,27.67,0.0
2021-07-23 01:00:00,2021-07-23 02:00:00,24.0,32.25,0.98,80.3,43.45,33.95,2.7,0.48,34.67,0.9,5.3,1.25,0.7,,84.0,0.28,134.25,4.75,,1.02,27.6,0.0
2021-07-23 02:00:00,2021-07-23 03:00:00,25.75,34.75,0.43,88.75,47.55,32.9,2.65,0.46,34.85,0.9,5.3,1.2,0.7,,84.0,0.43,114.75,4.75,,1.0,27.58,0.0
2021-07-23 03:00:00,2021-07-23 04:00:00,23.75,34.5,0.77,97.53,52.5,27.62,2.62,0.52,26.25,1.07,5.25,1.22,0.7,,84.0,0.35,136.5,4.75,,1.1,27.5,0.0
