From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2023-02-09 17:00:00,2023-02-09 18:00:00,53.19,117.78,,5.25,2.74,38.27,5.6,0.38,30.71,14.69,6.6,1.12,1.43,0.82,32.0,0.39,104.76,18.55,962.1,0.0,,0.0,24.99
2023-02-09 18:00:00,2023-02-09 19:00:00,53.76,119.09,0.23,7.62,4.16,40.74,5.8,0.56,23.93,16.03,9.4,2.15,3.4,1.85,43.53,0.35,29.62,3.58,962.25,0.06,,0.0,22.59
2023-02-09 19:00:00,2023-02-09 20:00:00,47.31,104.09,0.67,7.8,4.62,40.23,5.84,0.61,18.99,15.51,10.4,2.52,4.41,2.35,49.35,0.24,37.85,3.16,962.93,0.07,,0.0,21.05
2023-02-09 20:00:00,2023-02-09 21:00:00,49.22,108.51,0.93,8.04,4.95,39.05,5.33,0.6,13.8,14.35,10.32,2.4,4.5,2.31,56.71,0.23,96.47,2.99,963.55,0.07,,0.0,19.68
2023-02-09 21:00:00,2023-02-09 22:00:00,46.55,102.33,0.91,6.0,3.87,37.89,5.41,0.54,12.69,13.79,10.07,2.27,4.46,2.26,61.46,0.38,33.77,3.11,964.38,0.01,,0.0,18.66
2023-02-09 22:00:00,2023-02-09 23:00:00,47.17,103.74,0.76,4.71,3.07,38.09,5.38,0.43,12.67,13.65,8.96,2.01,3.79,2.02,64.47,0.16,109.99,2.88,964.67,0.06,,0.0,17.93
2023-02-09 23:00:00,2023-02-10 00:00:00,42.18,92.16,0.79,5.05,3.28,38.41,5.3,0.35,13.22,13.08,7.84,1.74,3.15,1.74,66.44,0.19,95.14,2.78,964.22,0.06,,0.0,17.2
2023-02-10 00:00:00,2023-02-10 01:00:00,36.96,80.03,0.06,4.23,2.26,35.33,5.96,0.27,11.76,11.73,6.54,1.46,2.5,1.43,69.18,0.22,65.6,2.64,963.67,0.12,,0.0,16.58
2023-02-10 01:00:00,2023-02-10 02:00:00,31.61,67.58,0.07,3.71,1.99,34.73,5.93,0.23,11.85,10.99,5.56,1.25,2.0,1.19,70.74,0.47,147.47,2.93,963.6,0.03,,0.0,16.87
2023-02-10 02:00:00,2023-02-10 03:00:00,32.15,68.84,0.13,3.8,2.09,34.15,5.87,0.24,7.71,11.4,5.5,1.22,1.82,1.1,71.73,0.38,194.94,3.06,963.73,0.01,,0.0,17.07
2023-02-10 03:00:00,2023-02-10 04:00:00,33.36,71.65,0.15,3.78,2.1,34.79,5.74,0.24,5.16,12.09,5.74,1.24,1.77,1.11,74.79,0.19,111.65,2.98,963.48,0.01,,0.0,16.71
2023-02-10 04:00:00,2023-02-10 05:00:00,33.56,72.12,0.15,3.77,2.09,35.04,5.58,0.25,7.05,11.98,5.67,1.21,1.67,1.06,77.52,0.34,140.7,2.65,962.83,0.05,,0.0,16.14
