From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2021-07-26 10:00:00,2021-07-26 11:00:00,21.0,133.0,2.8,33.0,19.8,14.3,1.4,0.37,60.0,0.5,78.0,8.3,,,49.0,0.9,240.0,469.0,,4.6,0.0,32.8
2021-07-26 11:00:00,2021-07-26 12:00:00,20.0,130.0,2.63,42.57,24.77,14.2,1.8,0.54,55.63,0.97,71.13,8.2,,,49.33,0.63,245.0,229.0,,4.67,0.0,32.8
2021-07-26 12:00:00,2021-07-26 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 13:00:00,2021-07-26 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 14:00:00,2021-07-26 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 15:00:00,2021-07-26 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 16:00:00,2021-07-26 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 17:00:00,2021-07-26 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 18:00:00,2021-07-26 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 19:00:00,2021-07-26 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 20:00:00,2021-07-26 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 21:00:00,2021-07-26 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 22:00:00,2021-07-26 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-26 23:00:00,2021-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 00:00:00,2021-07-27 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 01:00:00,2021-07-27 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 02:00:00,2021-07-27 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 03:00:00,2021-07-27 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 04:00:00,2021-07-27 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 05:00:00,2021-07-27 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 06:00:00,2021-07-27 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 07:00:00,2021-07-27 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 08:00:00,2021-07-27 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 09:00:00,2021-07-27 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 10:00:00,2021-07-27 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 11:00:00,2021-07-27 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 12:00:00,2021-07-27 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 13:00:00,2021-07-27 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 14:00:00,2021-07-27 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 15:00:00,2021-07-27 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 16:00:00,2021-07-27 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 17:00:00,2021-07-27 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 18:00:00,2021-07-27 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 19:00:00,2021-07-27 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 20:00:00,2021-07-27 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 21:00:00,2021-07-27 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 22:00:00,2021-07-27 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-27 23:00:00,2021-07-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 00:00:00,2021-07-28 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 01:00:00,2021-07-28 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 02:00:00,2021-07-28 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 03:00:00,2021-07-28 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 04:00:00,2021-07-28 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 05:00:00,2021-07-28 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 06:00:00,2021-07-28 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 07:00:00,2021-07-28 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 08:00:00,2021-07-28 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 09:00:00,2021-07-28 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 10:00:00,2021-07-28 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 11:00:00,2021-07-28 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 12:00:00,2021-07-28 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 13:00:00,2021-07-28 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 14:00:00,2021-07-28 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 15:00:00,2021-07-28 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 16:00:00,2021-07-28 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 17:00:00,2021-07-28 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 18:00:00,2021-07-28 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 19:00:00,2021-07-28 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 20:00:00,2021-07-28 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 21:00:00,2021-07-28 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 22:00:00,2021-07-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 23:00:00,2021-07-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 00:00:00,2021-07-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 01:00:00,2021-07-29 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 02:00:00,2021-07-29 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 03:00:00,2021-07-29 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 04:00:00,2021-07-29 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 05:00:00,2021-07-29 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 06:00:00,2021-07-29 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 07:00:00,2021-07-29 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 08:00:00,2021-07-29 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 09:00:00,2021-07-29 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 10:00:00,2021-07-29 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 11:00:00,2021-07-29 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 12:00:00,2021-07-29 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 13:00:00,2021-07-29 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 14:00:00,2021-07-29 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 15:00:00,2021-07-29 16:00:00,,,,,,,,,,,,,,,,,,,,,,
