From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-26 16:00:00,2022-05-26 17:00:00,55.71,169.74,10.1,7.79,,15.01,7.58,0.26,12.24,0.38,0.43,0.4,1.01,,48.84,3.11,217.62,188.24,0.44,31.17,0.0
2022-05-26 17:00:00,2022-05-26 18:00:00,51.79,158.52,10.07,8.11,19.9,14.98,7.72,0.26,9.81,0.34,0.46,0.41,1.06,,52.52,1.74,124.47,54.46,0.43,29.2,0.0
2022-05-26 18:00:00,2022-05-26 19:00:00,48.98,145.75,9.93,8.01,19.91,14.82,7.91,0.27,9.18,0.36,0.56,0.49,1.26,,49.74,1.21,266.74,11.13,0.52,29.0,0.0
2022-05-26 19:00:00,2022-05-26 20:00:00,45.22,129.97,10.09,7.95,19.84,14.96,7.9,0.28,6.12,0.38,0.61,0.55,1.36,,44.24,0.93,295.2,1.56,0.66,29.2,0.0
2022-05-26 20:00:00,2022-05-26 21:00:00,39.86,112.79,9.8,7.98,20.09,15.04,7.9,0.29,6.42,0.45,0.62,0.59,1.36,,46.97,0.74,251.32,2.15,0.71,28.74,0.0
2022-05-26 21:00:00,2022-05-26 22:00:00,36.16,89.61,9.94,7.77,19.96,15.01,7.84,0.31,5.88,0.48,0.64,0.64,1.41,,50.91,0.54,217.66,2.16,0.75,28.23,0.0
2022-05-26 22:00:00,2022-05-26 23:00:00,38.55,83.06,10.04,7.98,19.86,15.0,7.92,0.34,6.46,0.53,0.71,0.69,1.54,,51.71,1.17,212.98,1.99,0.84,28.04,0.0
2022-05-26 23:00:00,2022-05-27 00:00:00,41.14,91.53,10.06,7.83,20.08,14.92,8.06,0.34,7.3,0.55,0.81,0.76,1.75,,50.68,1.08,221.01,1.89,0.94,28.37,0.0
2022-05-27 00:00:00,2022-05-27 01:00:00,46.64,105.54,10.13,8.02,20.11,15.0,7.75,0.38,6.95,0.56,0.86,0.79,1.87,,47.23,0.81,29.84,2.02,0.98,29.01,0.0
2022-05-27 01:00:00,2022-05-27 02:00:00,48.26,124.84,9.8,8.11,20.18,14.95,7.83,0.39,7.32,0.6,0.88,0.8,1.89,,47.27,0.35,259.73,2.41,1.0,28.7,0.0
2022-05-27 02:00:00,2022-05-27 03:00:00,43.6,135.98,9.89,7.97,20.08,14.96,7.97,0.36,4.61,0.6,0.87,0.8,1.86,,50.37,0.83,271.74,1.82,0.95,27.83,0.0
2022-05-27 03:00:00,2022-05-27 04:00:00,41.0,133.28,10.01,7.96,19.95,14.86,7.68,0.32,4.04,0.56,0.83,0.77,1.77,,54.62,1.46,269.98,2.11,0.86,26.96,0.0
2022-05-27 04:00:00,2022-05-27 05:00:00,36.02,133.49,10.07,7.98,20.06,14.97,7.4,0.28,4.25,0.47,0.75,0.71,1.65,,60.75,1.92,262.92,2.04,0.75,26.25,0.0
2022-05-27 05:00:00,2022-05-27 06:00:00,43.11,134.67,10.03,8.0,19.83,14.94,7.48,0.26,4.97,0.41,0.68,0.65,1.52,,65.56,2.02,268.81,3.99,0.66,25.57,0.0
2022-05-27 06:00:00,2022-05-27 07:00:00,49.09,128.4,10.01,7.81,20.09,15.01,7.46,0.24,4.53,0.37,0.65,0.6,1.45,,68.19,2.08,264.47,62.24,0.6,25.36,0.0
2022-05-27 07:00:00,2022-05-27 08:00:00,40.65,123.19,10.04,8.16,19.96,14.93,7.33,0.22,3.86,0.34,0.61,0.58,1.4,,67.35,2.54,274.81,239.25,0.57,26.41,0.0
2022-05-27 08:00:00,2022-05-27 09:00:00,37.71,120.44,9.85,7.96,20.03,15.01,7.35,0.22,6.79,0.33,0.56,0.54,1.29,,62.93,2.63,305.49,456.43,0.53,28.2,0.0
2022-05-27 09:00:00,2022-05-27 10:00:00,33.56,104.74,10.13,7.98,20.02,14.93,7.37,0.21,8.54,0.3,0.48,0.48,1.14,,57.28,2.44,297.65,650.98,0.47,30.15,0.0
